OXXX**OO
*OOXO***
O*OOX*X*
*OOX*XOO
X**OOO**
*O*X*X*X
OO*XXX*X
X*XXX*O*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
b3,3,-3,-Infinity,Infinity
e1,2,-3,-3,Infinity
a4,3,-13,-3,Infinity
e1,2,-3,-3,Infinity
g5,3,-30,-3,Infinity
e1,2,-3,-3,Infinity
a6,3,-77,-3,Infinity
e1,2,-3,-3,Infinity
c6,3,-62,-3,Infinity
e1,2,-3,-3,Infinity
c7,3,-33,-3,Infinity
e1,2,-3,-3,Infinity
b1,1,-3,-Infinity,-3
f2,2,-Infinity,-Infinity,-3
e1,3,3,-Infinity,-3
f2,2,3,-Infinity,-3
b1,1,-3,-Infinity,-3
g2,2,-Infinity,-Infinity,-3
e1,3,23,-Infinity,-3
g2,2,23,-Infinity,-3
b1,1,-3,-Infinity,-3
h2,2,-Infinity,-Infinity,-3
e1,3,-1,-Infinity,-3
h2,2,-1,-Infinity,-3
b1,1,-3,-Infinity,-3
f3,2,-Infinity,-Infinity,-3
a2,3,-96,-Infinity,-3
f3,2,-96,-96,-3
f2,3,-4,-96,-3
f3,2,-4,-4,-3
b3,3,-48,-4,-3
f3,2,-4,-4,-3
a4,3,-24,-4,-3
f3,2,-4,-4,-3
e4,3,-32,-4,-3
f3,2,-4,-4,-3
c5,3,-14,-4,-3
f3,2,-4,-4,-3
g5,3,-25,-4,-3
f3,2,-4,-4,-3
h5,3,-24,-4,-3
f3,2,-4,-4,-3
a6,3,-88,-4,-3
f3,2,-4,-4,-3
c6,3,-73,-4,-3
f3,2,-4,-4,-3
c7,3,-44,-4,-3
f3,2,-4,-4,-3
b1,1,-4,-Infinity,-4
e4,2,-Infinity,-Infinity,-4
a2,3,-89,-Infinity,-4
e4,2,-89,-89,-4
f2,3,-35,-89,-4
e4,2,-35,-35,-4
b3,3,-85,-35,-4
e4,2,-35,-35,-4
f3,3,-8,-35,-4
e4,2,-8,-8,-4
c5,3,-7,-8,-4
e4,2,-7,-7,-4
g5,3,-18,-7,-4
e4,2,-7,-7,-4
a6,3,-81,-7,-4
e4,2,-7,-7,-4
c6,3,-66,-7,-4
e4,2,-7,-7,-4
g6,3,-21,-7,-4
e4,2,-7,-7,-4
