XOX**XOO
X*O*XXO*
*XX***OX
XO*O**XO
OX*XXXO*
XXOXO*X*
**OOOX**
OOOOX*O*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
b2,3,-63,-Infinity,Infinity
e1,2,-63,-63,Infinity
d2,3,-48,-63,Infinity
e1,2,-48,-48,Infinity
h2,3,-37,-48,Infinity
e1,2,-37,-37,Infinity
a3,3,-25,-37,Infinity
e1,2,-25,-25,Infinity
e3,3,-49,-25,Infinity
e1,2,-25,-25,Infinity
c4,3,-27,-25,Infinity
e1,2,-25,-25,Infinity
e4,3,-45,-25,Infinity
e1,2,-25,-25,Infinity
f4,3,-39,-25,Infinity
e1,2,-25,-25,Infinity
c5,3,-31,-25,Infinity
e1,2,-25,-25,Infinity
f6,3,-38,-25,Infinity
e1,2,-25,-25,Infinity
a7,3,-37,-25,Infinity
e1,2,-25,-25,Infinity
b7,3,-83,-25,Infinity
e1,2,-25,-25,Infinity
g7,3,-85,-25,Infinity
e1,2,-25,-25,Infinity
a8,3,38,-25,Infinity
e1,2,38,38,Infinity
f8,3,-25,38,Infinity
e1,2,38,38,Infinity
d1,1,38,-Infinity,38
h2,2,-Infinity,-Infinity,38
e1,3,43,-Infinity,38
h2,2,43,-Infinity,38
d1,1,38,-Infinity,38
d3,2,-Infinity,-Infinity,38
e1,3,-17,-Infinity,38
d3,2,-17,-17,38
b2,3,-63,-17,38
d3,2,-17,-17,38
d2,3,-18,-17,38
d3,2,-17,-17,38
h2,3,-23,-17,38
d3,2,-17,-17,38
a3,3,-11,-17,38
d3,2,-11,-11,38
e3,3,-35,-11,38
d3,2,-11,-11,38
f3,3,-30,-11,38
d3,2,-11,-11,38
c4,3,-13,-11,38
d3,2,-11,-11,38
e4,3,-23,-11,38
d3,2,-11,-11,38
f4,3,-25,-11,38
d3,2,-11,-11,38
c5,3,-17,-11,38
d3,2,-11,-11,38
a7,3,-23,-11,38
d3,2,-11,-11,38
b7,3,-69,-11,38
d3,2,-11,-11,38
g7,3,-71,-11,38
d3,2,-11,-11,38
a8,3,52,-11,38
d3,2,52,-11,38
