*OXXXXOX
*OO*X*OO
OXOX**OX
*XX*O*OX
OXXXXXXX
*XXXX*X*
XOXXXX*O
*OO***O*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
d2,3,310,-Infinity,Infinity
a2,2,310,310,Infinity
f2,3,287,310,Infinity
a2,2,310,310,Infinity
e3,3,303,310,Infinity
a2,2,310,310,Infinity
f3,3,244,310,Infinity
a2,2,310,310,Infinity
a4,3,289,310,Infinity
a2,2,310,310,Infinity
d4,3,281,310,Infinity
a2,2,310,310,Infinity
f4,3,297,310,Infinity
a2,2,310,310,Infinity
c5,3,339,310,Infinity
a2,2,339,339,Infinity
a1,1,339,-Infinity,339
e3,2,-Infinity,-Infinity,339
d2,3,290,-Infinity,339
e3,2,290,290,339
f2,3,267,290,339
e3,2,290,290,339
f3,3,254,290,339
e3,2,290,290,339
d4,3,253,290,339
e3,2,290,290,339
f4,3,277,290,339
e3,2,290,290,339
c5,3,305,290,339
e3,2,305,305,339
a1,1,305,-Infinity,305
a4,2,-Infinity,-Infinity,305
a2,3,283,-Infinity,305
a4,2,283,283,305
d2,3,310,283,305
a4,2,310,283,305
a1,1,305,-Infinity,305
f4,2,-Infinity,-Infinity,305
d2,3,298,-Infinity,305
f4,2,298,298,305
f2,3,275,298,305
f4,2,298,298,305
e3,3,299,298,305
f4,2,299,299,305
f3,3,240,299,305
f4,2,299,299,305
d4,3,263,299,305
f4,2,299,299,305
c5,3,313,299,305
f4,2,313,299,305
a1,1,305,-Infinity,305
c5,2,-Infinity,-Infinity,305
f2,3,279,-Infinity,305
c5,2,279,279,305
e3,3,295,279,305
c5,2,295,295,305
f3,3,236,295,305
c5,2,295,295,305
a4,3,305,295,305
c5,2,305,295,305
a1,1,305,-Infinity,305
a6,2,-Infinity,-Infinity,305
d2,3,302,-Infinity,305
a6,2,302,302,305
f2,3,279,302,305
a6,2,302,302,305
e3,3,295,302,305
a6,2,302,302,305
f3,3,236,302,305
a6,2,302,302,305
a4,3,325,302,305
a6,2,325,302,305
a1,1,305,-Infinity,305
f6,2,-Infinity,-Infinity,305
d2,3,287,-Infinity,305
f6,2,287,287,305
f2,3,264,287,305
f6,2,287,287,305
e3,3,280,287,305
f6,2,287,287,305
f3,3,221,287,305
f6,2,287,287,305
d4,3,250,287,305
f6,2,287,287,305
f4,3,274,287,305
f6,2,287,287,305
c5,3,302,287,305
f6,2,302,302,305
g7,3,266,302,305
f6,2,302,302,305
a1,1,302,-Infinity,302
h6,2,-Infinity,-Infinity,302
d2,3,254,-Infinity,302
h6,2,254,254,302
e3,3,247,254,302
h6,2,254,254,302
f3,3,202,254,302
h6,2,254,254,302
d4,3,217,254,302
h6,2,254,254,302
c5,3,269,254,302
h6,2,269,269,302
h8,3,366,269,302
h6,2,366,269,302
a1,1,302,-Infinity,302
g7,2,-Infinity,-Infinity,302
d2,3,368,-Infinity,302
g7,2,368,-Infinity,302
a1,1,302,-Infinity,302
d8,2,-Infinity,-Infinity,302
d2,3,318,-Infinity,302
d8,2,318,-Infinity,302
a1,1,302,-Infinity,302
e8,2,-Infinity,-Infinity,302
d2,3,300,-Infinity,302
e8,2,300,300,302
f2,3,277,300,302
e8,2,300,300,302
f3,3,234,300,302
e8,2,300,300,302
d4,3,255,300,302
e8,2,300,300,302
f4,3,295,300,302
e8,2,300,300,302
c5,3,307,300,302
e8,2,307,300,302
a1,1,302,-Infinity,302
f8,2,-Infinity,-Infinity,302
d2,3,300,-Infinity,302
f8,2,300,300,302
f2,3,277,300,302
f8,2,300,300,302
e3,3,293,300,302
f8,2,300,300,302
f3,3,234,300,302
f8,2,300,300,302
d4,3,263,300,302
f8,2,300,300,302
f4,3,287,300,302
f8,2,300,300,302
c5,3,307,300,302
f8,2,307,300,302
a1,1,302,-Infinity,302
root,0,302,302,Infinity
d2,1,Infinity,302,Infinity
a2,2,-Infinity,302,Infinity
a1,3,262,302,Infinity
a2,2,262,302,Infinity
f2,3,215,302,Infinity
a2,2,262,302,Infinity
e3,3,231,302,Infinity
a2,2,262,302,Infinity
f3,3,172,302,Infinity
a2,2,262,302,Infinity
a4,3,217,302,Infinity
a2,2,262,302,Infinity
d4,3,243,302,Infinity
a2,2,262,302,Infinity
f4,3,225,302,Infinity
a2,2,262,302,Infinity
c5,3,261,302,Infinity
a2,2,262,302,Infinity
d2,1,262,302,Infinity
root,0,302,302,Infinity
f2,1,Infinity,302,Infinity
a2,2,-Infinity,302,Infinity
a1,3,287,302,Infinity
a2,2,287,302,Infinity
d2,3,215,302,Infinity
a2,2,287,302,Infinity
e3,3,208,302,Infinity
a2,2,287,302,Infinity
f3,3,157,302,Infinity
a2,2,287,302,Infinity
a4,3,194,302,Infinity
a2,2,287,302,Infinity
d4,3,220,302,Infinity
a2,2,287,302,Infinity
f4,3,202,302,Infinity
a2,2,287,302,Infinity
c5,3,244,302,Infinity
a2,2,287,302,Infinity
f2,1,287,302,Infinity
root,0,302,302,Infinity
e3,1,Infinity,302,Infinity
a2,2,-Infinity,302,Infinity
a1,3,303,302,Infinity
a2,2,303,303,Infinity
d2,3,231,303,Infinity
a2,2,303,303,Infinity
f2,3,208,303,Infinity
a2,2,303,303,Infinity
f3,3,165,303,Infinity
a2,2,303,303,Infinity
a4,3,210,303,Infinity
a2,2,303,303,Infinity
d4,3,236,303,Infinity
a2,2,303,303,Infinity
f4,3,218,303,Infinity
a2,2,303,303,Infinity
c5,3,260,303,Infinity
a2,2,303,303,Infinity
a8,3,285,303,Infinity
a2,2,303,303,Infinity
e3,1,303,302,303
f3,2,-Infinity,302,303
a1,3,272,302,303
f3,2,272,302,303
d2,3,200,302,303
f3,2,272,302,303
f2,3,177,302,303
f3,2,272,302,303
d4,3,197,302,303
f3,2,272,302,303
f4,3,187,302,303
f3,2,272,302,303
c5,3,215,302,303
f3,2,272,302,303
a8,3,220,302,303
f3,2,272,302,303
e3,1,272,302,303
root,0,302,302,Infinity
f3,1,Infinity,302,Infinity
a2,2,-Infinity,302,Infinity
a1,3,244,302,Infinity
a2,2,244,302,Infinity
d2,3,172,302,Infinity
a2,2,244,302,Infinity
e3,3,165,302,Infinity
a2,2,244,302,Infinity
a4,3,151,302,Infinity
a2,2,244,302,Infinity
d4,3,177,302,Infinity
a2,2,244,302,Infinity
c5,3,201,302,Infinity
a2,2,244,302,Infinity
a8,3,226,302,Infinity
a2,2,244,302,Infinity
f3,1,244,302,Infinity
root,0,302,302,Infinity
d4,1,Infinity,302,Infinity
a2,2,-Infinity,302,Infinity
a1,3,273,302,Infinity
