*XX*XOXO
*OOOO*OX
*O*X*OX*
XOXXXO**
OXX*XOX*
OXO****X
OOO*OXXO
OX****XO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
a1,3,305,-Infinity,Infinity
a2,2,305,305,Infinity
a3,3,226,305,Infinity
a2,2,305,305,Infinity
c3,3,229,305,Infinity
a2,2,305,305,Infinity
h3,3,190,305,Infinity
a2,2,305,305,Infinity
g4,3,195,305,Infinity
a2,2,305,305,Infinity
d5,3,216,305,Infinity
a2,2,305,305,Infinity
h5,3,222,305,Infinity
a2,2,305,305,Infinity
d6,3,218,305,Infinity
a2,2,305,305,Infinity
f6,3,165,305,Infinity
a2,2,305,305,Infinity
a8,3,305,305,Infinity
a2,2,305,305,Infinity
f8,3,198,305,Infinity
a2,2,305,305,Infinity
d1,1,305,-Infinity,305
f2,2,-Infinity,-Infinity,305
a1,3,341,-Infinity,305
f2,2,341,-Infinity,305
d1,1,305,-Infinity,305
a3,2,-Infinity,-Infinity,305
a1,3,335,-Infinity,305
a3,2,335,-Infinity,305
d1,1,305,-Infinity,305
c3,2,-Infinity,-Infinity,305
a1,3,290,-Infinity,305
c3,2,290,290,305
a3,3,211,290,305
c3,2,290,290,305
e3,3,217,290,305
c3,2,290,290,305
h3,3,175,290,305
c3,2,290,290,305
g4,3,180,290,305
c3,2,290,290,305
d5,3,209,290,305
c3,2,290,290,305
h5,3,207,290,305
c3,2,290,290,305
d6,3,203,290,305
c3,2,290,290,305
f6,3,164,290,305
c3,2,290,290,305
a8,3,290,290,305
c3,2,290,290,305
f8,3,183,290,305
c3,2,290,290,305
d1,1,290,-Infinity,290
e3,2,-Infinity,-Infinity,290
a1,3,269,-Infinity,290
e3,2,269,269,290
f2,3,188,269,290
e3,2,269,269,290
a3,3,190,269,290
e3,2,269,269,290
c3,3,187,269,290
e3,2,269,269,290
h3,3,162,269,290
e3,2,269,269,290
g4,3,189,269,290
e3,2,269,269,290
d5,3,196,269,290
e3,2,269,269,290
h5,3,186,269,290
e3,2,269,269,290
d6,3,182,269,290
e3,2,269,269,290
e6,3,182,269,290
