*XXX****
**XXOXOO
O**OXXXX
X*XO**XO
XXX**X**
XXXOX*OO
O**XO**O
X*XOXXOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
g1,3,80,-Infinity,Infinity
f1,2,80,80,Infinity
a2,3,88,80,Infinity
f1,2,88,88,Infinity
c3,3,95,88,Infinity
f1,2,95,95,Infinity
h3,3,98,95,Infinity
f1,2,98,98,Infinity
e4,3,88,98,Infinity
f1,2,98,98,Infinity
d5,3,88,98,Infinity
f1,2,98,98,Infinity
e5,3,82,98,Infinity
f1,2,98,98,Infinity
h5,3,88,98,Infinity
f1,2,98,98,Infinity
f6,3,103,98,Infinity
f1,2,103,103,Infinity
e1,1,103,-Infinity,103
g1,2,-Infinity,-Infinity,103
a2,3,90,-Infinity,103
g1,2,90,90,103
h3,3,94,90,103
g1,2,94,94,103
e4,3,98,94,103
g1,2,98,98,103
f4,3,94,98,103
g1,2,98,98,103
d5,3,90,98,103
g1,2,98,98,103
e5,3,84,98,103
g1,2,98,98,103
h5,3,96,98,103
g1,2,98,98,103
f6,3,105,98,103
g1,2,105,98,103
e1,1,103,-Infinity,103
b2,2,-Infinity,-Infinity,103
f1,3,136,-Infinity,103
b2,2,136,-Infinity,103
e1,1,103,-Infinity,103
b4,2,-Infinity,-Infinity,103
a2,3,69,-Infinity,103
b4,2,69,69,103
b3,3,51,69,103
b4,2,69,69,103
c3,3,86,69,103
b4,2,86,86,103
h3,3,79,86,103
b4,2,86,86,103
e4,3,71,86,103
b4,2,86,86,103
f4,3,79,86,103
b4,2,86,86,103
d5,3,77,86,103
b4,2,86,86,103
e5,3,63,86,103
b4,2,86,86,103
h5,3,75,86,103
b4,2,86,86,103
f6,3,84,86,103
b4,2,86,86,103
e1,1,86,-Infinity,86
b8,2,-Infinity,-Infinity,86
a2,3,74,-Infinity,86
b8,2,74,74,86
c3,3,81,74,86
b8,2,81,81,86
h3,3,80,81,86
b8,2,81,81,86
e4,3,74,81,86
b8,2,81,81,86
f4,3,84,81,86
b8,2,84,84,86
d5,3,74,84,86
b8,2,84,84,86
e5,3,68,84,86
b8,2,84,84,86
h5,3,80,84,86
b8,2,84,84,86
f6,3,89,84,86
b8,2,89,84,86
e1,1,86,-Infinity,86
root,0,86,86,Infinity
f1,1,Infinity,86,Infinity
e1,2,-Infinity,86,Infinity
g1,3,70,86,Infinity
e1,2,70,86,Infinity
a2,3,94,86,Infinity
e1,2,94,94,Infinity
h3,3,56,94,Infinity
e1,2,94,94,Infinity
e4,3,86,94,Infinity
e1,2,94,94,Infinity
f4,3,96,94,Infinity
e1,2,96,96,Infinity
d5,3,86,96,Infinity
e1,2,96,96,Infinity
e5,3,88,96,Infinity
e1,2,96,96,Infinity
h5,3,100,96,Infinity
e1,2,100,100,Infinity
f6,3,109,100,Infinity
e1,2,109,109,Infinity
f1,1,109,86,109
g1,2,-Infinity,86,109
h1,3,175,86,109
g1,2,175,86,109
