*O**XO*O
*X*O*OXX
O*XO*OO*
XO*X**XO
OXXXXOOO
**OOXXOO
XO*XX*X*
X*XOOOOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
g1,3,-1,-Infinity,Infinity
a1,2,-1,-1,Infinity
a2,3,-1,-1,Infinity
a1,2,-1,-1,Infinity
e2,3,-6,-1,Infinity
a1,2,-1,-1,Infinity
b3,3,-5,-1,Infinity
a1,2,-1,-1,Infinity
c4,3,-11,-1,Infinity
a1,2,-1,-1,Infinity
e4,3,5,-1,Infinity
a1,2,5,5,Infinity
f4,3,-13,5,Infinity
a1,2,5,5,Infinity
e5,3,-35,5,Infinity
a1,2,5,5,Infinity
a6,3,-37,5,Infinity
a1,2,5,5,Infinity
b6,3,1,5,Infinity
a1,2,5,5,Infinity
c7,3,-47,5,Infinity
a1,2,5,5,Infinity
f7,3,-5,5,Infinity
a1,2,5,5,Infinity
d1,1,5,-Infinity,5
c1,2,-Infinity,-Infinity,5
a1,3,123,-Infinity,5
c1,2,123,-Infinity,5
d1,1,5,-Infinity,5
g1,2,-Infinity,-Infinity,5
a2,3,106,-Infinity,5
g1,2,106,-Infinity,5
d1,1,5,-Infinity,5
b3,2,-Infinity,-Infinity,5
a1,3,159,-Infinity,5
b3,2,159,-Infinity,5
d1,1,5,-Infinity,5
e3,2,-Infinity,-Infinity,5
g1,3,38,-Infinity,5
e3,2,38,-Infinity,5
d1,1,5,-Infinity,5
h3,2,-Infinity,-Infinity,5
g1,3,112,-Infinity,5
h3,2,112,-Infinity,5
d1,1,5,-Infinity,5
c4,2,-Infinity,-Infinity,5
g1,3,38,-Infinity,5
c4,2,38,-Infinity,5
d1,1,5,-Infinity,5
e4,2,-Infinity,-Infinity,5
g1,3,50,-Infinity,5
e4,2,50,-Infinity,5
d1,1,5,-Infinity,5
f4,2,-Infinity,-Infinity,5
g1,3,52,-Infinity,5
f4,2,52,-Infinity,5
d1,1,5,-Infinity,5
e5,2,-Infinity,-Infinity,5
g1,3,48,-Infinity,5
e5,2,48,-Infinity,5
d1,1,5,-Infinity,5
