O*OOO*O*
*XX*OOX*
OOOOOOO*
XXX***OX
OXXX*OOX
XOXXXOXO
X**X*XO*
OX*XOXO*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
f1,3,165,-Infinity,Infinity
a2,2,165,165,Infinity
d2,3,154,165,Infinity
a2,2,165,165,Infinity
h2,3,107,165,Infinity
a2,2,165,165,Infinity
f3,3,172,165,Infinity
a2,2,172,172,Infinity
h3,3,195,172,Infinity
a2,2,195,195,Infinity
d4,3,179,195,Infinity
a2,2,195,195,Infinity
e4,3,165,195,Infinity
a2,2,195,195,Infinity
e5,3,165,195,Infinity
a2,2,195,195,Infinity
c7,3,189,195,Infinity
a2,2,195,195,Infinity
e7,3,152,195,Infinity
a2,2,195,195,Infinity
h7,3,147,195,Infinity
a2,2,195,195,Infinity
c8,3,169,195,Infinity
a2,2,195,195,Infinity
b1,1,195,-Infinity,195
d2,2,-Infinity,-Infinity,195
f1,3,154,-Infinity,195
d2,2,154,154,195
h2,3,96,154,195
d2,2,154,154,195
f3,3,161,154,195
d2,2,161,161,195
h3,3,184,161,195
d2,2,184,184,195
d4,3,182,184,195
d2,2,184,184,195
e4,3,154,184,195
d2,2,184,184,195
f4,3,158,184,195
d2,2,184,184,195
e5,3,154,184,195
d2,2,184,184,195
c7,3,192,184,195
d2,2,192,192,195
e7,3,151,192,195
d2,2,192,192,195
h7,3,136,192,195
d2,2,192,192,195
c8,3,158,192,195
d2,2,192,192,195
b1,1,192,-Infinity,192
f3,2,-Infinity,-Infinity,192
f1,3,164,-Infinity,192
f3,2,164,164,192
d2,3,153,164,192
f3,2,164,164,192
h2,3,106,164,192
f3,2,164,164,192
h3,3,188,164,192
f3,2,188,188,192
d4,3,178,188,192
f3,2,188,188,192
e4,3,164,188,192
f3,2,188,188,192
f4,3,180,188,192
f3,2,188,188,192
e5,3,164,188,192
f3,2,188,188,192
c7,3,188,188,192
f3,2,188,188,192
e7,3,161,188,192
f3,2,188,188,192
h7,3,146,188,192
f3,2,188,188,192
c8,3,168,188,192
f3,2,188,188,192
b1,1,188,-Infinity,188
h3,2,-Infinity,-Infinity,188
f1,3,155,-Infinity,188
h3,2,155,155,188
d2,3,144,155,188
h3,2,155,155,188
h2,3,137,155,188
h3,2,155,155,188
