O**XOOOX
**OX***O
OXOXO*X*
*XO*OOOX
*X**OO*O
*OOO*OO*
O**OOOOO
X*OXXX**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
a2,3,-166,-Infinity,Infinity
b1,2,-166,-166,Infinity
b2,3,-202,-166,Infinity
b1,2,-166,-166,Infinity
e2,3,-145,-166,Infinity
b1,2,-145,-145,Infinity
g2,3,-182,-145,Infinity
b1,2,-145,-145,Infinity
h3,3,-130,-145,Infinity
b1,2,-130,-130,Infinity
a4,3,-142,-130,Infinity
b1,2,-130,-130,Infinity
d4,3,-142,-130,Infinity
b1,2,-130,-130,Infinity
a5,3,-150,-130,Infinity
b1,2,-130,-130,Infinity
c5,3,-152,-130,Infinity
b1,2,-130,-130,Infinity
d5,3,-150,-130,Infinity
b1,2,-130,-130,Infinity
a6,3,-148,-130,Infinity
b1,2,-130,-130,Infinity
d6,3,-132,-130,Infinity
b1,2,-130,-130,Infinity
e6,3,-146,-130,Infinity
b1,2,-130,-130,Infinity
g8,3,-118,-130,Infinity
b1,2,-118,-118,Infinity
c1,1,-118,-Infinity,-118
e2,2,-Infinity,-Infinity,-118
a2,3,-147,-Infinity,-118
e2,2,-147,-147,-118
b2,3,-175,-147,-118
e2,2,-147,-147,-118
f2,3,-141,-147,-118
e2,2,-141,-141,-118
g2,3,-163,-141,-118
e2,2,-141,-141,-118
f3,3,-114,-141,-118
e2,2,-114,-141,-118
c1,1,-118,-Infinity,-118
f3,2,-Infinity,-Infinity,-118
a2,3,-179,-Infinity,-118
f3,2,-179,-179,-118
b2,3,-207,-179,-118
f3,2,-179,-179,-118
e2,3,-136,-179,-118
f3,2,-136,-136,-118
g2,3,-181,-136,-118
f3,2,-136,-136,-118
h3,3,-121,-136,-118
f3,2,-121,-121,-118
a4,3,-163,-121,-118
f3,2,-121,-121,-118
d4,3,-141,-121,-118
f3,2,-121,-121,-118
a5,3,-163,-121,-118
f3,2,-121,-121,-118
c5,3,-165,-121,-118
f3,2,-121,-121,-118
g5,3,-136,-121,-118
f3,2,-121,-121,-118
a6,3,-161,-121,-118
f3,2,-121,-121,-118
d6,3,-145,-121,-118
f3,2,-121,-121,-118
e6,3,-137,-121,-118
f3,2,-121,-121,-118
g8,3,-131,-121,-118
f3,2,-121,-121,-118
c1,1,-121,-Infinity,-121
h3,2,-Infinity,-Infinity,-121
a2,3,-134,-Infinity,-121
h3,2,-134,-134,-121
b2,3,-162,-134,-121
h3,2,-134,-134,-121
e2,3,-113,-134,-121
h3,2,-113,-134,-121
c1,1,-121,-Infinity,-121
d4,2,-Infinity,-Infinity,-121
b2,3,-180,-Infinity,-121
d4,2,-180,-180,-121
f3,3,-127,-180,-121
d4,2,-127,-127,-121
h3,3,-122,-127,-121
d4,2,-122,-122,-121
a4,3,-130,-122,-121
d4,2,-122,-122,-121
a5,3,-136,-122,-121
d4,2,-122,-122,-121
c5,3,-130,-122,-121
d4,2,-122,-122,-121
d5,3,-128,-122,-121
d4,2,-122,-122,-121
g5,3,-131,-122,-121
d4,2,-122,-122,-121
d6,3,-118,-122,-121
d4,2,-118,-122,-121
c1,1,-121,-Infinity,-121
d5,2,-Infinity,-Infinity,-121
b2,3,-178,-Infinity,-121
d5,2,-178,-178,-121
g2,3,-166,-178,-121
d5,2,-166,-166,-121
h3,3,-114,-166,-121
d5,2,-114,-166,-121
c1,1,-121,-Infinity,-121
g5,2,-Infinity,-Infinity,-121
a2,3,-149,-Infinity,-121
g5,2,-149,-149,-121
b2,3,-177,-149,-121
g5,2,-149,-149,-121
e2,3,-128,-149,-121
g5,2,-128,-128,-121
g2,3,-177,-128,-121
g5,2,-128,-128,-121
f3,3,-132,-128,-121
g5,2,-128,-128,-121
h3,3,-113,-128,-121
g5,2,-113,-128,-121
c1,1,-121,-Infinity,-121
a6,2,-Infinity,-Infinity,-121
a2,3,-126,-Infinity,-121
a6,2,-126,-126,-121
e2,3,-105,-126,-121
a6,2,-105,-126,-121
c1,1,-121,-Infinity,-121
d6,2,-Infinity,-Infinity,-121
a2,3,-134,-Infinity,-121
d6,2,-134,-134,-121
b2,3,-162,-134,-121
d6,2,-134,-134,-121
e2,3,-113,-134,-121
d6,2,-113,-134,-121
c1,1,-121,-Infinity,-121
e6,2,-Infinity,-Infinity,-121
a2,3,-140,-Infinity,-121
e6,2,-140,-140,-121
b2,3,-168,-140,-121
e6,2,-140,-140,-121
e2,3,-119,-140,-121
e6,2,-119,-140,-121
c1,1,-121,-Infinity,-121
h6,2,-Infinity,-Infinity,-121
a2,3,-114,-Infinity,-121
h6,2,-114,-Infinity,-121
c1,1,-121,-Infinity,-121
b7,2,-Infinity,-Infinity,-121
a2,3,-110,-Infinity,-121
b7,2,-110,-Infinity,-121
c1,1,-121,-Infinity,-121
b8,2,-Infinity,-Infinity,-121
a2,3,-150,-Infinity,-121
b8,2,-150,-150,-121
b2,3,-178,-150,-121
b8,2,-150,-150,-121
e2,3,-129,-150,-121
b8,2,-129,-129,-121
g2,3,-166,-129,-121
b8,2,-129,-129,-121
h3,3,-114,-129,-121
b8,2,-114,-129,-121
c1,1,-121,-Infinity,-121
h8,2,-Infinity,-Infinity,-121
a2,3,-207,-Infinity,-121
h8,2,-207,-207,-121
b2,3,-235,-207,-121
h8,2,-207,-207,-121
e2,3,-186,-207,-121
h8,2,-186,-186,-121
g2,3,-223,-186,-121
h8,2,-186,-186,-121
h3,3,-171,-186,-121
h8,2,-171,-171,-121
a4,3,-191,-171,-121
h8,2,-171,-171,-121
d4,3,-183,-171,-121
h8,2,-171,-171,-121
a5,3,-191,-171,-121
h8,2,-171,-171,-121
c5,3,-193,-171,-121
h8,2,-171,-171,-121
d5,3,-191,-171,-121
h8,2,-171,-171,-121
g5,3,-180,-171,-121
