OOO*X*XO
*XXO*OXO
*X**X*OX
O***XX*X
OOXXXOXX
*O*OXOXX
OXXXX*X*
*XX**XX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e2,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
f3,3,-312,-Infinity,Infinity
d1,2,-312,-312,Infinity
b4,3,-336,-312,Infinity
d1,2,-312,-312,Infinity
g4,3,-312,-312,Infinity
d1,2,-312,-312,Infinity
c6,3,-296,-312,Infinity
d1,2,-296,-296,Infinity
h6,3,-277,-296,Infinity
d1,2,-277,-277,Infinity
e2,1,-277,-Infinity,-277
f1,2,-Infinity,-Infinity,-277
f3,3,-314,-Infinity,-277
f1,2,-314,-314,-277
b4,3,-330,-314,-277
f1,2,-314,-314,-277
g4,3,-314,-314,-277
f1,2,-314,-314,-277
c6,3,-298,-314,-277
f1,2,-298,-298,-277
h6,3,-279,-298,-277
f1,2,-279,-279,-277
e2,1,-279,-Infinity,-279
a2,2,-Infinity,-Infinity,-279
d1,3,-191,-Infinity,-279
a2,2,-191,-Infinity,-279
e2,1,-279,-Infinity,-279
a3,2,-Infinity,-Infinity,-279
a2,3,-337,-Infinity,-279
a3,2,-337,-337,-279
f3,3,-282,-337,-279
a3,2,-282,-282,-279
b4,3,-298,-282,-279
a3,2,-282,-282,-279
g4,3,-282,-282,-279
a3,2,-282,-282,-279
c6,3,-266,-282,-279
a3,2,-266,-282,-279
e2,1,-279,-Infinity,-279
c3,2,-Infinity,-Infinity,-279
d1,3,-274,-Infinity,-279
c3,2,-274,-Infinity,-279
e2,1,-279,-Infinity,-279
d3,2,-Infinity,-Infinity,-279
d1,3,-319,-Infinity,-279
d3,2,-319,-319,-279
c3,3,-302,-319,-279
d3,2,-302,-302,-279
f3,3,-318,-302,-279
d3,2,-302,-302,-279
b4,3,-334,-302,-279
d3,2,-302,-302,-279
c4,3,-305,-302,-279
d3,2,-302,-302,-279
d4,3,-309,-302,-279
d3,2,-302,-302,-279
g4,3,-326,-302,-279
d3,2,-302,-302,-279
c6,3,-302,-302,-279
d3,2,-302,-302,-279
h6,3,-283,-302,-279
d3,2,-283,-283,-279
e2,1,-283,-Infinity,-283
f3,2,-Infinity,-Infinity,-283
f1,3,-320,-Infinity,-283
f3,2,-320,-320,-283
b4,3,-297,-320,-283
f3,2,-297,-297,-283
g4,3,-315,-297,-283
f3,2,-297,-297,-283
c6,3,-265,-297,-283
f3,2,-265,-297,-283
e2,1,-283,-Infinity,-283
b4,2,-Infinity,-Infinity,-283
a2,3,-326,-Infinity,-283
b4,2,-326,-326,-283
a3,3,-252,-326,-283
b4,2,-252,-326,-283
e2,1,-283,-Infinity,-283
d4,2,-Infinity,-Infinity,-283
c3,3,-308,-Infinity,-283
d4,2,-308,-308,-283
d3,3,-309,-308,-283
d4,2,-308,-308,-283
f3,3,-330,-308,-283
d4,2,-308,-308,-283
b4,3,-330,-308,-283
d4,2,-308,-308,-283
c4,3,-325,-308,-283
d4,2,-308,-308,-283
g4,3,-338,-308,-283
d4,2,-308,-308,-283
c6,3,-314,-308,-283
d4,2,-308,-308,-283
h6,3,-295,-308,-283
d4,2,-295,-295,-283
e2,1,-295,-Infinity,-295
h6,2,-Infinity,-Infinity,-295
f3,3,-322,-Infinity,-295
h6,2,-322,-322,-295
b4,3,-338,-322,-295
h6,2,-322,-322,-295
g4,3,-330,-322,-295
h6,2,-322,-322,-295
c6,3,-306,-322,-295
h6,2,-306,-306,-295
h7,3,-289,-306,-295
h6,2,-289,-306,-295
e2,1,-295,-Infinity,-295
f7,2,-Infinity,-Infinity,-295
f3,3,-220,-Infinity,-295
f7,2,-220,-Infinity,-295
e2,1,-295,-Infinity,-295
h7,2,-Infinity,-Infinity,-295
f3,3,-306,-Infinity,-295
h7,2,-306,-306,-295
b4,3,-322,-306,-295
h7,2,-306,-306,-295
g4,3,-314,-306,-295
h7,2,-306,-306,-295
c6,3,-290,-306,-295
h7,2,-290,-306,-295
e2,1,-295,-Infinity,-295
d8,2,-Infinity,-Infinity,-295
f3,3,-308,-Infinity,-295
d8,2,-308,-308,-295
b4,3,-324,-308,-295
d8,2,-308,-308,-295
g4,3,-308,-308,-295
d8,2,-308,-308,-295
c6,3,-300,-308,-295
d8,2,-300,-300,-295
h6,3,-273,-300,-295
d8,2,-273,-300,-295
e2,1,-295,-Infinity,-295
h8,2,-Infinity,-Infinity,-295
f3,3,-373,-Infinity,-295
h8,2,-373,-373,-295
b4,3,-389,-373,-295
h8,2,-373,-373,-295
g4,3,-373,-373,-295
h8,2,-373,-373,-295
c6,3,-357,-373,-295
h8,2,-357,-357,-295
h6,3,-386,-357,-295
h8,2,-357,-357,-295
e2,1,-357,-Infinity,-357
root,0,-357,-357,Infinity
c3,1,Infinity,-357,Infinity
d1,2,-Infinity,-357,Infinity
e2,3,-304,-357,Infinity
d1,2,-304,-304,Infinity
a3,3,-293,-304,Infinity
d1,2,-293,-293,Infinity
f3,3,-294,-293,Infinity
d1,2,-293,-293,Infinity
b4,3,-318,-293,Infinity
d1,2,-293,-293,Infinity
g4,3,-294,-293,Infinity
d1,2,-293,-293,Infinity
c6,3,-278,-293,Infinity
d1,2,-278,-278,Infinity
h6,3,-259,-278,Infinity
d1,2,-259,-259,Infinity
c3,1,-259,-357,-259
f1,2,-Infinity,-357,-259
e2,3,-306,-357,-259
f1,2,-306,-306,-259
f3,3,-296,-306,-259
f1,2,-296,-296,-259
b4,3,-312,-296,-259
f1,2,-296,-296,-259
g4,3,-296,-296,-259
f1,2,-296,-296,-259
c6,3,-280,-296,-259
f1,2,-280,-280,-259
h6,3,-261,-280,-259
f1,2,-261,-261,-259
c3,1,-261,-357,-261
a3,2,-Infinity,-357,-261
a2,3,-319,-357,-261
a3,2,-319,-319,-261
e2,3,-274,-319,-261
a3,2,-274,-274,-261
f3,3,-264,-274,-261
a3,2,-264,-264,-261
b4,3,-280,-264,-261
a3,2,-264,-264,-261
g4,3,-264,-264,-261
a3,2,-264,-264,-261
c6,3,-248,-264,-261
a3,2,-248,-264,-261
c3,1,-261,-357,-261
d3,2,-Infinity,-357,-261
d1,3,-301,-357,-261
d3,2,-301,-301,-261
e2,3,-310,-301,-261
d3,2,-301,-301,-261
f3,3,-300,-301,-261
d3,2,-300,-300,-261
