XOO*XXXX
*XXXXX*O
OOX*O**O
OXOOXX**
OOO**XX*
O*XX*OXX
O*OOXOOO
OXO**XXO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
g2,3,-64,-Infinity,Infinity
a2,2,-64,-64,Infinity
d3,3,-8,-64,Infinity
a2,2,-8,-8,Infinity
f3,3,-3,-8,Infinity
a2,2,-3,-3,Infinity
g4,3,-29,-3,Infinity
a2,2,-3,-3,Infinity
h4,3,-20,-3,Infinity
a2,2,-3,-3,Infinity
d5,3,-12,-3,Infinity
a2,2,-3,-3,Infinity
e5,3,-12,-3,Infinity
a2,2,-3,-3,Infinity
h5,3,-6,-3,Infinity
a2,2,-3,-3,Infinity
a6,3,-18,-3,Infinity
a2,2,-3,-3,Infinity
b6,3,-36,-3,Infinity
a2,2,-3,-3,Infinity
d8,3,-20,-3,Infinity
a2,2,-3,-3,Infinity
e8,3,-14,-3,Infinity
a2,2,-3,-3,Infinity
d1,1,-3,-Infinity,-3
d3,2,-Infinity,-Infinity,-3
a2,3,-68,-Infinity,-3
d3,2,-68,-68,-3
g2,3,-56,-68,-3
d3,2,-56,-56,-3
f3,3,5,-56,-3
d3,2,5,-56,-3
d1,1,-3,-Infinity,-3
h4,2,-Infinity,-Infinity,-3
a2,3,-62,-Infinity,-3
h4,2,-62,-62,-3
g2,3,-50,-62,-3
h4,2,-50,-50,-3
d3,3,6,-50,-3
h4,2,6,-50,-3
d1,1,-3,-Infinity,-3
d5,2,-Infinity,-Infinity,-3
a2,3,-64,-Infinity,-3
d5,2,-64,-64,-3
g2,3,-52,-64,-3
d5,2,-52,-52,-3
d3,3,4,-52,-3
d5,2,4,-52,-3
d1,1,-3,-Infinity,-3
e5,2,-Infinity,-Infinity,-3
a2,3,-56,-Infinity,-3
e5,2,-56,-56,-3
g2,3,-44,-56,-3
e5,2,-44,-44,-3
d3,3,12,-44,-3
e5,2,12,-44,-3
d1,1,-3,-Infinity,-3
b6,2,-Infinity,-Infinity,-3
a2,3,-68,-Infinity,-3
b6,2,-68,-68,-3
g2,3,-56,-68,-3
