XXXOOOXO
*XO**OO*
X**O*OX*
OXOXOOOX
O**OOXX*
*OO**XOX
*OOXX***
OX*O*XXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a2,1,Infinity,-Infinity,Infinity
d2,2,-Infinity,-Infinity,Infinity
e2,3,-34,-Infinity,Infinity
d2,2,-34,-34,Infinity
c3,3,-44,-34,Infinity
d2,2,-34,-34,Infinity
f4,3,-29,-34,Infinity
d2,2,-29,-29,Infinity
c5,3,-41,-29,Infinity
d2,2,-29,-29,Infinity
h5,3,-31,-29,Infinity
d2,2,-29,-29,Infinity
d6,3,-41,-29,Infinity
d2,2,-29,-29,Infinity
e6,3,-13,-29,Infinity
d2,2,-13,-13,Infinity
f7,3,-55,-13,Infinity
d2,2,-13,-13,Infinity
g7,3,-49,-13,Infinity
d2,2,-13,-13,Infinity
c8,3,-47,-13,Infinity
d2,2,-13,-13,Infinity
e8,3,-39,-13,Infinity
d2,2,-13,-13,Infinity
a2,1,-13,-Infinity,-13
h2,2,-Infinity,-Infinity,-13
e2,3,33,-Infinity,-13
h2,2,33,-Infinity,-13
a2,1,-13,-Infinity,-13
b3,2,-Infinity,-Infinity,-13
e2,3,21,-Infinity,-13
b3,2,21,-Infinity,-13
a2,1,-13,-Infinity,-13
c3,2,-Infinity,-Infinity,-13
d2,3,-36,-Infinity,-13
c3,2,-36,-36,-13
e2,3,18,-36,-13
c3,2,18,-36,-13
a2,1,-13,-Infinity,-13
h3,2,-Infinity,-Infinity,-13
e2,3,-47,-Infinity,-13
h3,2,-47,-47,-13
c3,3,-35,-47,-13
h3,2,-35,-35,-13
f4,3,-26,-35,-13
h3,2,-26,-26,-13
c5,3,-38,-26,-13
h3,2,-26,-26,-13
h5,3,-28,-26,-13
h3,2,-26,-26,-13
d6,3,-38,-26,-13
h3,2,-26,-26,-13
e6,3,-18,-26,-13
h3,2,-18,-18,-13
f7,3,-52,-18,-13
h3,2,-18,-18,-13
g7,3,-46,-18,-13
h3,2,-18,-18,-13
c8,3,-44,-18,-13
h3,2,-18,-18,-13
e8,3,-36,-18,-13
h3,2,-18,-18,-13
a2,1,-18,-Infinity,-18
f4,2,-Infinity,-Infinity,-18
e2,3,-43,-Infinity,-18
f4,2,-43,-43,-18
h2,3,-40,-43,-18
f4,2,-40,-40,-18
c3,3,-31,-40,-18
f4,2,-31,-31,-18
e3,3,-28,-31,-18
f4,2,-28,-28,-18
c5,3,-34,-28,-18
f4,2,-28,-28,-18
h5,3,-24,-28,-18
f4,2,-24,-24,-18
d6,3,-34,-24,-18
f4,2,-24,-24,-18
e6,3,-14,-24,-18
f4,2,-14,-24,-18
a2,1,-18,-Infinity,-18
b5,2,-Infinity,-Infinity,-18
e2,3,14,-Infinity,-18
b5,2,14,-Infinity,-18
a2,1,-18,-Infinity,-18
c5,2,-Infinity,-Infinity,-18
e2,3,-35,-Infinity,-18
c5,2,-35,-35,-18
c3,3,-37,-35,-18
c5,2,-35,-35,-18
e3,3,-26,-35,-18
c5,2,-26,-26,-18
f4,3,-28,-26,-18
c5,2,-26,-26,-18
d6,3,-38,-26,-18
c5,2,-26,-26,-18
e6,3,-12,-26,-18
c5,2,-12,-26,-18
a2,1,-18,-Infinity,-18
h5,2,-Infinity,-Infinity,-18
e2,3,-45,-Infinity,-18
h5,2,-45,-45,-18
c3,3,-33,-45,-18
h5,2,-33,-33,-18
f4,3,-24,-33,-18
h5,2,-24,-24,-18
c5,3,-36,-24,-18
h5,2,-24,-24,-18
d6,3,-36,-24,-18
h5,2,-24,-24,-18
e6,3,-16,-24,-18
h5,2,-16,-24,-18
a2,1,-18,-Infinity,-18
a6,2,-Infinity,-Infinity,-18
e2,3,-63,-Infinity,-18
a6,2,-63,-63,-18
c3,3,-59,-63,-18
a6,2,-59,-59,-18
f4,3,-56,-59,-18
a6,2,-56,-56,-18
h5,3,-58,-56,-18
a6,2,-56,-56,-18
d6,3,-68,-56,-18
a6,2,-56,-56,-18
e6,3,-40,-56,-18
a6,2,-40,-40,-18
f7,3,-82,-40,-18
a6,2,-40,-40,-18
g7,3,-76,-40,-18
a6,2,-40,-40,-18
c8,3,-74,-40,-18
a6,2,-40,-40,-18
e8,3,-66,-40,-18
a6,2,-40,-40,-18
a2,1,-40,-Infinity,-40
d6,2,-Infinity,-Infinity,-40
e2,3,-27,-Infinity,-40
d6,2,-27,-Infinity,-40
a2,1,-40,-Infinity,-40
a7,2,-Infinity,-Infinity,-40
e2,3,33,-Infinity,-40
a7,2,33,-Infinity,-40
a2,1,-40,-Infinity,-40
g7,2,-Infinity,-Infinity,-40
e2,3,1,-Infinity,-40
g7,2,1,-Infinity,-40
a2,1,-40,-Infinity,-40
h7,2,-Infinity,-Infinity,-40
e2,3,-15,-Infinity,-40
h7,2,-15,-Infinity,-40
a2,1,-40,-Infinity,-40
root,0,-40,-40,Infinity
e2,1,Infinity,-40,Infinity
d2,2,-Infinity,-40,Infinity
a2,3,-42,-40,Infinity
d2,2,-42,-40,Infinity
b3,3,0,-40,Infinity
d2,2,0,0,Infinity
c3,3,7,0,Infinity
d2,2,7,7,Infinity
h3,3,12,7,Infinity
d2,2,12,12,Infinity
h5,3,20,12,Infinity
d2,2,20,20,Infinity
d6,3,10,20,Infinity
d2,2,20,20,Infinity
e6,3,38,20,Infinity
d2,2,38,38,Infinity
f7,3,-4,38,Infinity
d2,2,38,38,Infinity
g7,3,2,38,Infinity
d2,2,38,38,Infinity
c8,3,4,38,Infinity
d2,2,38,38,Infinity
e8,3,12,38,Infinity
d2,2,38,38,Infinity
e2,1,38,-40,38
c3,2,-Infinity,-40,38
a2,3,18,-40,38
c3,2,18,18,38
d2,3,15,18,38
c3,2,18,18,38
b3,3,12,18,38
c3,2,18,18,38
h3,3,10,18,38
c3,2,18,18,38
h5,3,18,18,38
c3,2,18,18,38
d6,3,8,18,38
c3,2,18,18,38
e6,3,36,18,38
c3,2,36,36,38
f7,3,-6,36,38
c3,2,36,36,38
g7,3,0,36,38
c3,2,36,36,38
c8,3,2,36,38
c3,2,36,36,38
e8,3,10,36,38
c3,2,36,36,38
e2,1,36,-40,36
e3,2,-Infinity,-40,36
a2,3,-41,-40,36
e3,2,-41,-40,36
c3,3,0,-40,36
e3,2,0,0,36
h3,3,21,0,36
e3,2,21,21,36
f4,3,9,21,36
e3,2,21,21,36
h5,3,7,21,36
e3,2,21,21,36
d6,3,-3,21,36
e3,2,21,21,36
e6,3,25,21,36
e3,2,25,25,36
f7,3,-17,25,36
e3,2,25,25,36
g7,3,-11,25,36
e3,2,25,25,36
c8,3,-9,25,36
e3,2,25,25,36
e8,3,-1,25,36
e3,2,25,25,36
e2,1,25,-40,25
h3,2,-Infinity,-40,25
a2,3,-33,-40,25
h3,2,-33,-33,25
c3,3,8,-33,25
h3,2,8,8,25
h5,3,9,8,25
h3,2,9,9,25
d6,3,5,9,25
h3,2,9,9,25
e6,3,25,9,25
h3,2,25,9,25
e2,1,25,-40,25
f4,2,-Infinity,-40,25
a2,3,-29,-40,25
f4,2,-29,-29,25
h2,3,3,-29,25
f4,2,3,3,25
c3,3,12,3,25
f4,2,12,12,25
e3,3,15,12,25
f4,2,15,15,25
h3,3,11,15,25
f4,2,15,15,25
h5,3,13,15,25
f4,2,15,15,25
d6,3,9,15,25
f4,2,15,15,25
e6,3,29,15,25
f4,2,29,15,25
e2,1,25,-40,25
b5,2,-Infinity,-40,25
a2,3,14,-40,25
b5,2,14,14,25
c3,3,55,14,25
b5,2,55,14,25
e2,1,25,-40,25
c5,2,-Infinity,-40,25
a2,3,-35,-40,25
c5,2,-35,-35,25
c3,3,6,-35,25
c5,2,6,6,25
e3,3,17,6,25
c5,2,17,17,25
h3,3,5,17,25
c5,2,17,17,25
d6,3,3,17,25
c5,2,17,17,25
e6,3,31,17,25
c5,2,31,17,25
e2,1,25,-40,25
a6,2,-Infinity,-40,25
a2,3,-79,-40,25
a6,2,-79,-40,25
c3,3,-16,-40,25
a6,2,-16,-16,25
h3,3,-23,-16,25
a6,2,-16,-16,25
h5,3,-15,-16,25
a6,2,-15,-15,25
d6,3,-25,-15,25
a6,2,-15,-15,25
e6,3,3,-15,25
a6,2,3,3,25
f7,3,-39,3,25
a6,2,3,3,25
g7,3,-33,3,25
a6,2,3,3,25
c8,3,-31,3,25
a6,2,3,3,25
e8,3,-23,3,25
a6,2,3,3,25
e2,1,3,-40,3
d6,2,-Infinity,-40,3
a2,3,-27,-40,3
d6,2,-27,-27,3
c3,3,14,-27,3
d6,2,14,-27,3
e2,1,3,-40,3
a7,2,-Infinity,-40,3
a2,3,33,-40,3
a7,2,33,-40,3
e2,1,3,-40,3
g7,2,-Infinity,-40,3
a2,3,1,-40,3
g7,2,1,1,3
c3,3,42,1,3
