**XXXXOX
*OO*X*X*
X*OX***X
XXO*X*X*
**OOXO*O
X*OO**O*
XOOX*OXX
OO*O*OXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
e3,3,-221,-Infinity,Infinity
a1,2,-221,-221,Infinity
f3,3,-232,-221,Infinity
a1,2,-221,-221,Infinity
f4,3,-229,-221,Infinity
a1,2,-221,-221,Infinity
a5,3,-233,-221,Infinity
a1,2,-221,-221,Infinity
b6,3,-285,-221,Infinity
a1,2,-221,-221,Infinity
h6,3,-273,-221,Infinity
a1,2,-221,-221,Infinity
e7,3,-242,-221,Infinity
a1,2,-221,-221,Infinity
a8,3,-182,-221,Infinity
a1,2,-182,-182,Infinity
e8,3,-233,-182,Infinity
a1,2,-182,-182,Infinity
b1,1,-182,-Infinity,-182
d2,2,-Infinity,-Infinity,-182
f2,3,-137,-Infinity,-182
d2,2,-137,-Infinity,-182
b1,1,-182,-Infinity,-182
b3,2,-Infinity,-Infinity,-182
a2,3,-136,-Infinity,-182
b3,2,-136,-Infinity,-182
b1,1,-182,-Infinity,-182
d4,2,-Infinity,-Infinity,-182
d2,3,-119,-Infinity,-182
d4,2,-119,-Infinity,-182
b1,1,-182,-Infinity,-182
b5,2,-Infinity,-Infinity,-182
e3,3,-131,-Infinity,-182
b5,2,-131,-Infinity,-182
b1,1,-182,-Infinity,-182
g5,2,-Infinity,-Infinity,-182
e3,3,-101,-Infinity,-182
g5,2,-101,-Infinity,-182
b1,1,-182,-Infinity,-182
e6,2,-Infinity,-Infinity,-182
e3,3,-108,-Infinity,-182
e6,2,-108,-Infinity,-182
b1,1,-182,-Infinity,-182
e7,2,-Infinity,-Infinity,-182
e3,3,-109,-Infinity,-182
e7,2,-109,-Infinity,-182
b1,1,-182,-Infinity,-182
e8,2,-Infinity,-Infinity,-182
e3,3,-126,-Infinity,-182
e8,2,-126,-Infinity,-182
b1,1,-182,-Infinity,-182
root,0,-182,-182,Infinity
e3,1,Infinity,-182,Infinity
b1,2,-Infinity,-182,Infinity
a1,3,1,-182,Infinity
b1,2,1,1,Infinity
d2,3,-149,1,Infinity
b1,2,1,1,Infinity
f3,3,-137,1,Infinity
b1,2,1,1,Infinity
g3,3,-190,1,Infinity
b1,2,1,1,Infinity
