O*OOXOOO
XXOOOX*O
XXO*OXO*
X*X****X
OXX*XXOO
*XXXOOOX
***OXO**
OXOO***X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
h1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
g2,3,166,-Infinity,Infinity
b1,2,166,166,Infinity
h3,3,218,166,Infinity
b1,2,218,218,Infinity
d4,3,198,218,Infinity
b1,2,218,218,Infinity
e4,3,206,218,Infinity
b1,2,218,218,Infinity
f4,3,216,218,Infinity
b1,2,218,218,Infinity
g4,3,217,218,Infinity
b1,2,218,218,Infinity
d5,3,216,218,Infinity
b1,2,218,218,Infinity
a6,3,220,218,Infinity
b1,2,220,220,Infinity
c7,3,216,220,Infinity
b1,2,220,220,Infinity
h7,3,206,220,Infinity
b1,2,220,220,Infinity
e8,3,198,220,Infinity
b1,2,220,220,Infinity
h1,1,220,-Infinity,220
d3,2,-Infinity,-Infinity,220
g2,3,160,-Infinity,220
d3,2,160,160,220
h3,3,212,160,220
d3,2,212,212,220
b4,3,203,212,220
d3,2,212,212,220
d4,3,166,212,220
d3,2,212,212,220
e4,3,216,212,220
d3,2,216,216,220
f4,3,218,216,220
d3,2,218,218,220
g4,3,211,218,220
d3,2,218,218,220
d5,3,210,218,220
d3,2,218,218,220
a6,3,224,218,220
d3,2,224,218,220
h1,1,220,-Infinity,220
h3,2,-Infinity,-Infinity,220
g2,3,186,-Infinity,220
h3,2,186,186,220
d4,3,218,186,220
h3,2,218,218,220
e4,3,226,218,220
h3,2,226,218,220
h1,1,220,-Infinity,220
b4,2,-Infinity,-Infinity,220
g2,3,181,-Infinity,220
b4,2,181,181,220
d3,3,211,181,220
b4,2,211,211,220
h3,3,233,211,220
b4,2,233,211,220
h1,1,220,-Infinity,220
d4,2,-Infinity,-Infinity,220
g2,3,164,-Infinity,220
d4,2,164,164,220
d3,3,222,164,220
d4,2,222,164,220
h1,1,220,-Infinity,220
e4,2,-Infinity,-Infinity,220
g2,3,178,-Infinity,220
e4,2,178,178,220
d3,3,244,178,220
e4,2,244,178,220
h1,1,220,-Infinity,220
f4,2,-Infinity,-Infinity,220
g2,3,188,-Infinity,220
f4,2,188,188,220
h3,3,240,188,220
f4,2,240,188,220
h1,1,220,-Infinity,220
a6,2,-Infinity,-Infinity,220
g2,3,166,-Infinity,220
a6,2,166,166,220
h3,3,218,166,220
a6,2,218,218,220
d4,3,198,218,220
a6,2,218,218,220
e4,3,206,218,220
a6,2,218,218,220
f4,3,216,218,220
a6,2,218,218,220
g4,3,217,218,220
a6,2,218,218,220
d5,3,214,218,220
a6,2,218,218,220
a7,3,230,218,220
a6,2,230,218,220
h1,1,220,-Infinity,220
c7,2,-Infinity,-Infinity,220
g2,3,196,-Infinity,220
c7,2,196,196,220
h3,3,248,196,220
c7,2,248,196,220
h1,1,220,-Infinity,220
g7,2,-Infinity,-Infinity,220
g2,3,204,-Infinity,220
g7,2,204,204,220
h3,3,256,204,220
g7,2,256,204,220
h1,1,220,-Infinity,220
h7,2,-Infinity,-Infinity,220
g2,3,202,-Infinity,220
h7,2,202,202,220
h3,3,254,202,220
h7,2,254,202,220
h1,1,220,-Infinity,220
e8,2,-Infinity,-Infinity,220
g2,3,158,-Infinity,220
e8,2,158,158,220
h3,3,210,158,220
e8,2,210,210,220
d4,3,190,210,220
e8,2,210,210,220
e4,3,198,210,220
e8,2,210,210,220
f4,3,208,210,220
e8,2,210,210,220
g4,3,209,210,220
e8,2,210,210,220
d5,3,200,210,220
e8,2,210,210,220
a6,3,212,210,220
e8,2,212,212,220
c7,3,196,212,220
e8,2,212,212,220
h7,3,198,212,220
e8,2,212,212,220
f8,3,222,212,220
e8,2,222,212,220
h1,1,220,-Infinity,220
f8,2,-Infinity,-Infinity,220
g2,3,172,-Infinity,220
f8,2,172,172,220
h3,3,224,172,220
f8,2,224,172,220
h1,1,220,-Infinity,220
root,0,220,220,Infinity
g2,1,Infinity,220,Infinity
b1,2,-Infinity,220,Infinity
h1,3,166,220,Infinity
b1,2,166,220,Infinity
h3,3,103,220,Infinity
b1,2,166,220,Infinity
d4,3,83,220,Infinity
b1,2,166,220,Infinity
e4,3,105,220,Infinity
b1,2,166,220,Infinity
f4,3,109,220,Infinity
b1,2,166,220,Infinity
g4,3,102,220,Infinity
b1,2,166,220,Infinity
d5,3,101,220,Infinity
b1,2,166,220,Infinity
a6,3,105,220,Infinity
b1,2,166,220,Infinity
c7,3,101,220,Infinity
b1,2,166,220,Infinity
h7,3,91,220,Infinity
b1,2,166,220,Infinity
e8,3,83,220,Infinity
b1,2,166,220,Infinity
g2,1,166,220,Infinity
root,0,220,220,Infinity
h3,1,Infinity,220,Infinity
b1,2,-Infinity,220,Infinity
h1,3,218,220,Infinity
b1,2,218,220,Infinity
g2,3,103,220,Infinity
b1,2,218,220,Infinity
d4,3,135,220,Infinity
b1,2,218,220,Infinity
e4,3,143,220,Infinity
b1,2,218,220,Infinity
f4,3,153,220,Infinity
b1,2,218,220,Infinity
g4,3,154,220,Infinity
b1,2,218,220,Infinity
d5,3,153,220,Infinity
b1,2,218,220,Infinity
a6,3,157,220,Infinity
b1,2,218,220,Infinity
c7,3,153,220,Infinity
b1,2,218,220,Infinity
h7,3,143,220,Infinity
b1,2,218,220,Infinity
e8,3,135,220,Infinity
b1,2,218,220,Infinity
h3,1,218,220,Infinity
root,0,220,220,Infinity
d4,1,Infinity,220,Infinity
b1,2,-Infinity,220,Infinity
h1,3,198,220,Infinity
b1,2,198,220,Infinity
g2,3,83,220,Infinity
b1,2,198,220,Infinity
h3,3,135,220,Infinity
b1,2,198,220,Infinity
b4,3,120,220,Infinity
b1,2,198,220,Infinity
e4,3,123,220,Infinity
b1,2,198,220,Infinity
f4,3,133,220,Infinity
b1,2,198,220,Infinity
g4,3,134,220,Infinity
b1,2,198,220,Infinity
d5,3,125,220,Infinity
b1,2,198,220,Infinity
a6,3,137,220,Infinity
b1,2,198,220,Infinity
a7,3,107,220,Infinity
b1,2,198,220,Infinity
c7,3,141,220,Infinity
b1,2,198,220,Infinity
h7,3,123,220,Infinity
b1,2,198,220,Infinity
e8,3,115,220,Infinity
b1,2,198,220,Infinity
d4,1,198,220,Infinity
root,0,220,220,Infinity
e4,1,Infinity,220,Infinity
b1,2,-Infinity,220,Infinity
h1,3,206,220,Infinity
b1,2,206,220,Infinity
g2,3,105,220,Infinity
b1,2,206,220,Infinity
h3,3,143,220,Infinity
b1,2,206,220,Infinity
f4,3,133,220,Infinity
b1,2,206,220,Infinity
g4,3,134,220,Infinity
b1,2,206,220,Infinity
d5,3,133,220,Infinity
b1,2,206,220,Infinity
a6,3,145,220,Infinity
b1,2,206,220,Infinity
c7,3,149,220,Infinity
b1,2,206,220,Infinity
h7,3,131,220,Infinity
b1,2,206,220,Infinity
e8,3,123,220,Infinity
b1,2,206,220,Infinity
e4,1,206,220,Infinity
root,0,220,220,Infinity
f4,1,Infinity,220,Infinity
b1,2,-Infinity,220,Infinity
h1,3,216,220,Infinity
b1,2,216,220,Infinity
h3,3,153,220,Infinity
b1,2,216,220,Infinity
d4,3,133,220,Infinity
b1,2,216,220,Infinity
e4,3,133,220,Infinity
b1,2,216,220,Infinity
d5,3,143,220,Infinity
b1,2,216,220,Infinity
a6,3,155,220,Infinity
b1,2,216,220,Infinity
c7,3,159,220,Infinity
b1,2,216,220,Infinity
h7,3,141,220,Infinity
b1,2,216,220,Infinity
e8,3,133,220,Infinity
b1,2,216,220,Infinity
f4,1,216,220,Infinity
