XXX*X*OX
*OXXOX*O
*XX*OO*O
OX*XOXXX
XXXOX**X
*OXOOO**
*XOOOO*O
*XX*X*XX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
g2,3,-364,-Infinity,Infinity
f1,2,-364,-364,Infinity
a3,3,-314,-364,Infinity
f1,2,-314,-314,Infinity
d3,3,-320,-314,Infinity
f1,2,-314,-314,Infinity
g3,3,-320,-314,Infinity
f1,2,-314,-314,Infinity
c4,3,-298,-314,Infinity
f1,2,-298,-298,Infinity
d5,3,-324,-298,Infinity
f1,2,-298,-298,Infinity
f5,3,-326,-298,Infinity
f1,2,-298,-298,Infinity
g5,3,-327,-298,Infinity
f1,2,-298,-298,Infinity
a6,3,-312,-298,Infinity
f1,2,-298,-298,Infinity
h6,3,-300,-298,Infinity
f1,2,-298,-298,Infinity
a7,3,-388,-298,Infinity
f1,2,-298,-298,Infinity
d1,1,-298,-Infinity,-298
a2,2,-Infinity,-Infinity,-298
f1,3,-264,-Infinity,-298
a2,2,-264,-Infinity,-298
d1,1,-298,-Infinity,-298
a3,2,-Infinity,-Infinity,-298
f1,3,-292,-Infinity,-298
a3,2,-292,-Infinity,-298
d1,1,-298,-Infinity,-298
d3,2,-Infinity,-Infinity,-298
f1,3,-324,-Infinity,-298
d3,2,-324,-324,-298
g2,3,-368,-324,-298
d3,2,-324,-324,-298
a3,3,-318,-324,-298
d3,2,-318,-318,-298
g3,3,-324,-318,-298
d3,2,-318,-318,-298
c4,3,-308,-318,-298
d3,2,-308,-308,-298
d5,3,-326,-308,-298
d3,2,-308,-308,-298
f5,3,-330,-308,-298
d3,2,-308,-308,-298
g5,3,-331,-308,-298
d3,2,-308,-308,-298
a6,3,-316,-308,-298
d3,2,-308,-308,-298
h6,3,-304,-308,-298
d3,2,-304,-304,-298
a7,3,-392,-304,-298
d3,2,-304,-304,-298
d1,1,-304,-Infinity,-304
d5,2,-Infinity,-Infinity,-304
f1,3,-328,-Infinity,-304
d5,2,-328,-328,-304
g2,3,-372,-328,-304
d5,2,-328,-328,-304
a3,3,-322,-328,-304
