OX*OOOOO
X*OXO*OX
XX*XX*XX
*XOOXXXO
*O*OX*OX
X*OXOX*X
XXO*OXXX
OOO*OO*O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
b2,3,447,-Infinity,Infinity
g1,2,447,447,Infinity
f2,3,473,447,Infinity
g1,2,473,473,Infinity
c3,3,500,473,Infinity
g1,2,500,500,Infinity
f3,3,444,500,Infinity
g1,2,500,500,Infinity
a4,3,477,500,Infinity
g1,2,500,500,Infinity
a5,3,491,500,Infinity
g1,2,500,500,Infinity
c5,3,497,500,Infinity
g1,2,500,500,Infinity
f5,3,503,500,Infinity
g1,2,503,503,Infinity
b6,3,433,503,Infinity
g1,2,503,503,Infinity
g6,3,487,503,Infinity
g1,2,503,503,Infinity
d7,3,490,503,Infinity
g1,2,503,503,Infinity
g8,3,469,503,Infinity
g1,2,503,503,Infinity
c1,1,503,-Infinity,503
f2,2,-Infinity,-Infinity,503
g1,3,431,-Infinity,503
f2,2,431,431,503
b2,3,443,431,503
f2,2,443,443,503
c3,3,496,443,503
f2,2,496,496,503
f3,3,440,496,503
f2,2,496,496,503
a4,3,473,496,503
f2,2,496,496,503
a5,3,487,496,503
f2,2,496,496,503
c5,3,493,496,503
f2,2,496,496,503
f5,3,499,496,503
f2,2,499,499,503
b6,3,429,499,503
f2,2,499,499,503
g6,3,483,499,503
f2,2,499,499,503
d7,3,486,499,503
f2,2,499,499,503
g8,3,465,499,503
f2,2,499,499,503
c1,1,499,-Infinity,499
c3,2,-Infinity,-Infinity,499
g1,3,448,-Infinity,499
c3,2,448,448,499
b2,3,370,448,499
c3,2,448,448,499
f2,3,416,448,499
c3,2,448,448,499
f3,3,435,448,499
c3,2,448,448,499
a4,3,420,448,499
c3,2,448,448,499
a5,3,434,448,499
c3,2,448,448,499
c5,3,440,448,499
c3,2,448,448,499
f5,3,446,448,499
c3,2,448,448,499
b6,3,376,448,499
c3,2,448,448,499
g6,3,430,448,499
c3,2,448,448,499
d7,3,433,448,499
c3,2,448,448,499
g8,3,412,448,499
c3,2,448,448,499
c1,1,448,-Infinity,448
f3,2,-Infinity,-Infinity,448
g1,3,434,-Infinity,448
f3,2,434,434,448
b2,3,376,434,448
f3,2,434,434,448
f2,3,424,434,448
f3,2,434,434,448
a4,3,406,434,448
f3,2,434,434,448
a5,3,420,434,448
f3,2,434,434,448
c5,3,426,434,448
f3,2,434,434,448
f5,3,432,434,448
f3,2,434,434,448
b6,3,362,434,448
f3,2,434,434,448
g6,3,416,434,448
f3,2,434,434,448
d7,3,419,434,448
f3,2,434,434,448
g8,3,398,434,448
f3,2,434,434,448
c1,1,434,-Infinity,434
c5,2,-Infinity,-Infinity,434
g1,3,445,-Infinity,434
c5,2,445,-Infinity,434
c1,1,434,-Infinity,434
f5,2,-Infinity,-Infinity,434
g1,3,451,-Infinity,434
f5,2,451,-Infinity,434
c1,1,434,-Infinity,434
b6,2,-Infinity,-Infinity,434
g1,3,445,-Infinity,434
b6,2,445,-Infinity,434
c1,1,434,-Infinity,434
g6,2,-Infinity,-Infinity,434
g1,3,459,-Infinity,434
g6,2,459,-Infinity,434
c1,1,434,-Infinity,434
d7,2,-Infinity,-Infinity,434
g1,3,466,-Infinity,434
d7,2,466,-Infinity,434
c1,1,434,-Infinity,434
d8,2,-Infinity,-Infinity,434
g1,3,449,-Infinity,434
d8,2,449,-Infinity,434
c1,1,434,-Infinity,434
root,0,434,434,Infinity
g1,1,Infinity,434,Infinity
b2,2,-Infinity,434,Infinity
c1,3,481,434,Infinity
b2,2,481,481,Infinity
f2,3,475,481,Infinity
b2,2,481,481,Infinity
c3,3,432,481,Infinity
b2,2,481,481,Infinity
f3,3,486,481,Infinity
b2,2,486,486,Infinity
a4,3,463,486,Infinity
b2,2,486,486,Infinity
a5,3,485,486,Infinity
b2,2,486,486,Infinity
c5,3,491,486,Infinity
b2,2,491,491,Infinity
f5,3,489,491,Infinity
b2,2,491,491,Infinity
b6,3,427,491,Infinity
b2,2,491,491,Infinity
g6,3,481,491,Infinity
b2,2,491,491,Infinity
d7,3,484,491,Infinity
b2,2,491,491,Infinity
g8,3,463,491,Infinity
b2,2,491,491,Infinity
g1,1,491,434,491
f2,2,-Infinity,434,491
c1,3,507,434,491
f2,2,507,434,491
g1,1,491,434,491
c3,2,-Infinity,434,491
c1,3,442,434,491
c3,2,442,442,491
b2,3,382,442,491
c3,2,442,442,491
f2,3,428,442,491
c3,2,442,442,491
f3,3,447,442,491
c3,2,447,447,491
a4,3,432,447,491
c3,2,447,447,491
a5,3,448,447,491
c3,2,448,448,491
c5,3,452,448,491
c3,2,452,452,491
f5,3,458,452,491
c3,2,458,458,491
b6,3,388,458,491
c3,2,458,458,491
g6,3,442,458,491
c3,2,458,458,491
d7,3,445,458,491
c3,2,458,458,491
g8,3,424,458,491
c3,2,458,458,491
g1,1,458,434,458
c5,2,-Infinity,434,458
c1,3,445,434,458
c5,2,445,445,458
b2,3,405,445,458
c5,2,445,445,458
f2,3,431,445,458
c5,2,445,445,458
c3,3,410,445,458
c5,2,445,445,458
f3,3,450,445,458
c5,2,450,450,458
a4,3,435,450,458
c5,2,450,450,458
a5,3,449,450,458
c5,2,450,450,458
f5,3,469,450,458
c5,2,469,450,458
g1,1,458,434,458
f5,2,-Infinity,434,458
c1,3,441,434,458
f5,2,441,441,458
b2,3,411,441,458
f5,2,441,441,458
f2,3,445,441,458
f5,2,445,445,458
c3,3,450,445,458
f5,2,450,450,458
f3,3,478,450,458
f5,2,478,450,458
g1,1,458,434,458
b6,2,-Infinity,434,458
c1,3,445,434,458
b6,2,445,445,458
b2,3,343,445,458
b6,2,445,445,458
f2,3,439,445,458
b6,2,445,445,458
c3,3,444,445,458
b6,2,445,445,458
f3,3,450,445,458
