*XX*XOXX
*XXX*XOO
OXXXXX*O
XXXXX*OO
XO*XXX*X
*OOOX*XO
*O*XXO**
*OX*XX**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a2,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
g3,3,29,-Infinity,Infinity
a1,2,29,29,Infinity
e4,3,91,29,Infinity
a1,2,91,91,Infinity
c5,3,103,91,Infinity
a1,2,103,103,Infinity
g5,3,86,103,Infinity
a1,2,103,103,Infinity
a6,3,57,103,Infinity
a1,2,103,103,Infinity
f6,3,80,103,Infinity
a1,2,103,103,Infinity
c7,3,69,103,Infinity
a1,2,103,103,Infinity
g7,3,49,103,Infinity
a1,2,103,103,Infinity
h7,3,89,103,Infinity
a1,2,103,103,Infinity
a8,3,130,103,Infinity
a1,2,130,130,Infinity
g8,3,65,130,Infinity
a1,2,130,130,Infinity
a2,1,130,-Infinity,130
d1,2,-Infinity,-Infinity,130
e2,3,117,-Infinity,130
d1,2,117,117,130
g3,3,74,117,130
d1,2,117,117,130
e4,3,144,117,130
d1,2,144,117,130
a2,1,130,-Infinity,130
e2,2,-Infinity,-Infinity,130
d1,3,143,-Infinity,130
e2,2,143,-Infinity,130
a2,1,130,-Infinity,130
e4,2,-Infinity,-Infinity,130
e2,3,137,-Infinity,130
e4,2,137,-Infinity,130
a2,1,130,-Infinity,130
f4,2,-Infinity,-Infinity,130
e2,3,141,-Infinity,130
f4,2,141,-Infinity,130
a2,1,130,-Infinity,130
c5,2,-Infinity,-Infinity,130
g3,3,90,-Infinity,130
c5,2,90,90,130
e4,3,152,90,130
c5,2,152,90,130
a2,1,130,-Infinity,130
f6,2,-Infinity,-Infinity,130
g3,3,87,-Infinity,130
f6,2,87,87,130
e4,3,149,87,130
f6,2,149,87,130
a2,1,130,-Infinity,130
c7,2,-Infinity,-Infinity,130
g3,3,110,-Infinity,130
c7,2,110,110,130
e4,3,172,110,130
c7,2,172,110,130
a2,1,130,-Infinity,130
h7,2,-Infinity,-Infinity,130
g3,3,110,-Infinity,130
h7,2,110,110,130
e4,3,164,110,130
h7,2,164,110,130
a2,1,130,-Infinity,130
d8,2,-Infinity,-Infinity,130
g3,3,78,-Infinity,130
d8,2,78,78,130
e4,3,140,78,130
d8,2,140,78,130
a2,1,130,-Infinity,130
root,0,130,130,Infinity
g3,1,Infinity,130,Infinity
a1,2,-Infinity,130,Infinity
a2,3,-19,130,Infinity
a1,2,-19,130,Infinity
e4,3,31,130,Infinity
a1,2,31,130,Infinity
c5,3,49,130,Infinity
a1,2,49,130,Infinity
g5,3,20,130,Infinity
a1,2,49,130,Infinity
a6,3,-3,130,Infinity
a1,2,49,130,Infinity
f6,3,20,130,Infinity
a1,2,49,130,Infinity
c7,3,9,130,Infinity
a1,2,49,130,Infinity
g7,3,-11,130,Infinity
a1,2,49,130,Infinity
h7,3,29,130,Infinity
a1,2,49,130,Infinity
a8,3,70,130,Infinity
a1,2,70,130,Infinity
g8,3,5,130,Infinity
a1,2,70,130,Infinity
g3,1,70,130,Infinity
root,0,130,130,Infinity
e4,1,Infinity,130,Infinity
d1,2,-Infinity,130,Infinity
a2,3,136,130,Infinity
d1,2,136,136,Infinity
e2,3,127,136,Infinity
d1,2,136,136,Infinity
g3,3,76,136,Infinity
d1,2,136,136,Infinity
c5,3,134,136,Infinity
d1,2,136,136,Infinity
a6,3,96,136,Infinity
d1,2,136,136,Infinity
f6,3,127,136,Infinity
d1,2,136,136,Infinity
c7,3,124,136,Infinity
d1,2,136,136,Infinity
g7,3,96,136,Infinity
d1,2,136,136,Infinity
h7,3,136,136,Infinity
d1,2,136,136,Infinity
a8,3,177,136,Infinity
d1,2,177,177,Infinity
g8,3,112,177,Infinity
d1,2,177,177,Infinity
e4,1,177,130,177
a2,2,-Infinity,130,177
a1,3,247,130,177
a2,2,247,130,177
e4,1,177,130,177
e2,2,-Infinity,130,177
d1,3,137,130,177
e2,2,137,137,177
a2,3,137,137,177
e2,2,137,137,177
g3,3,83,137,177
e2,2,137,137,177
c5,3,143,137,177
e2,2,143,143,177
a6,3,103,143,177
e2,2,143,143,177
f6,3,128,143,177
e2,2,143,143,177
c7,3,125,143,177
e2,2,143,143,177
g7,3,97,143,177
e2,2,143,143,177
h7,3,137,143,177
e2,2,143,143,177
a8,3,178,143,177
e2,2,178,143,177
e4,1,177,130,177
g3,2,-Infinity,130,177
a2,3,116,130,177
g3,2,116,130,177
e2,3,137,130,177
g3,2,137,137,177
f4,3,142,137,177
g3,2,142,142,177
c5,3,122,142,177
g3,2,142,142,177
g5,3,51,142,177
g3,2,142,142,177
a6,3,84,142,177
g3,2,142,142,177
f6,3,115,142,177
g3,2,142,142,177
c7,3,112,142,177
g3,2,142,142,177
g7,3,84,142,177
g3,2,142,142,177
h7,3,124,142,177
g3,2,142,142,177
a8,3,165,142,177
g3,2,165,165,177
g8,3,100,165,177
g3,2,165,165,177
e4,1,165,130,165
f4,2,-Infinity,130,165
a2,3,146,130,165
f4,2,146,146,165
e2,3,143,146,165
f4,2,146,146,165
g3,3,92,146,165
f4,2,146,146,165
c5,3,144,146,165
f4,2,146,146,165
g5,3,143,146,165
f4,2,146,146,165
a6,3,106,146,165
f4,2,146,146,165
f6,3,137,146,165
f4,2,146,146,165
c7,3,126,146,165
f4,2,146,146,165
g7,3,106,146,165
f4,2,146,146,165
h7,3,146,146,165
f4,2,146,146,165
a8,3,187,146,165
f4,2,187,146,165
e4,1,165,130,165
c5,2,-Infinity,130,165
a2,3,158,130,165
c5,2,158,158,165
g3,3,98,158,165
c5,2,158,158,165
a6,3,118,158,165
c5,2,158,158,165
f6,3,149,158,165
c5,2,158,158,165
a7,3,142,158,165
c5,2,158,158,165
c7,3,168,158,165
c5,2,168,158,165
e4,1,165,130,165
a6,2,-Infinity,130,165
g3,3,64,130,165
a6,2,64,130,165
c5,3,128,130,165
a6,2,128,130,165
f6,3,115,130,165
a6,2,128,130,165
c7,3,120,130,165
a6,2,128,130,165
g7,3,84,130,165
a6,2,128,130,165
h7,3,124,130,165
a6,2,128,130,165
a8,3,165,130,165
a6,2,165,130,165
e4,1,165,130,165
f6,2,-Infinity,130,165
a2,3,149,130,165
f6,2,149,149,165
g3,3,89,149,165
f6,2,149,149,165
c5,3,147,149,165
f6,2,149,149,165
g5,3,152,149,165
f6,2,152,152,165
a6,3,95,152,165
f6,2,152,152,165
c7,3,137,152,165
f6,2,152,152,165
g7,3,123,152,165
f6,2,152,152,165
h7,3,141,152,165
f6,2,152,152,165
a8,3,190,152,165
f6,2,190,152,165
e4,1,165,130,165
c7,2,-Infinity,130,165
a2,3,172,130,165
c7,2,172,130,165
e4,1,165,130,165
d8,2,-Infinity,130,165
a2,3,140,130,165
d8,2,140,140,165
g3,3,80,140,165
d8,2,140,140,165
c5,3,138,140,165
d8,2,140,140,165
a6,3,148,140,165
d8,2,148,148,165
f6,3,131,148,165
d8,2,148,148,165
c7,3,122,148,165
d8,2,148,148,165
g7,3,100,148,165
d8,2,148,148,165
h7,3,140,148,165
d8,2,148,148,165
a8,3,209,148,165
d8,2,209,148,165
e4,1,165,130,165
root,0,165,165,Infinity
c5,1,Infinity,165,Infinity
a1,2,-Infinity,165,Infinity
a2,3,47,165,Infinity
a1,2,47,165,Infinity
g3,3,35,165,Infinity
a1,2,47,165,Infinity
e4,3,95,165,Infinity
a1,2,95,165,Infinity
f4,3,91,165,Infinity
a1,2,95,165,Infinity
g5,3,92,165,Infinity
a1,2,95,165,Infinity
a6,3,53,165,Infinity
a1,2,95,165,Infinity
f6,3,86,165,Infinity
a1,2,95,165,Infinity
a7,3,71,165,Infinity
a1,2,95,165,Infinity
c7,3,89,165,Infinity
a1,2,95,165,Infinity
g7,3,55,165,Infinity
a1,2,95,165,Infinity
h7,3,95,165,Infinity
a1,2,95,165,Infinity
a8,3,136,165,Infinity
a1,2,136,165,Infinity
g8,3,71,165,Infinity
a1,2,136,165,Infinity
c5,1,136,165,Infinity
root,0,165,165,Infinity
g5,1,Infinity,165,Infinity
a1,2,-Infinity,165,Infinity
a2,3,38,165,Infinity
a1,2,38,165,Infinity
g3,3,20,165,Infinity
a1,2,38,165,Infinity
e4,3,80,165,Infinity
a1,2,80,165,Infinity
c5,3,106,165,Infinity
a1,2,106,165,Infinity
a6,3,54,165,Infinity
a1,2,106,165,Infinity
f6,3,77,165,Infinity
a1,2,106,165,Infinity
c7,3,74,165,Infinity
a1,2,106,165,Infinity
g7,3,46,165,Infinity
a1,2,106,165,Infinity
h7,3,86,165,Infinity
a1,2,106,165,Infinity
a8,3,127,165,Infinity
a1,2,127,165,Infinity
g8,3,62,165,Infinity
a1,2,127,165,Infinity
g5,1,127,165,Infinity
root,0,165,165,Infinity
