XXXOX*OX
O*OO**X*
**OO**OO
X*OOO**O
X*XXOXO*
X*****X*
OXX*O*O*
*OX**X**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f1,1,Infinity,-Infinity,Infinity
a3,2,-Infinity,-Infinity,Infinity
b2,3,-278,-Infinity,Infinity
a3,2,-278,-278,Infinity
c2,3,-250,-278,Infinity
a3,2,-250,-250,Infinity
e2,3,-263,-250,Infinity
a3,2,-250,-250,Infinity
b4,3,-257,-250,Infinity
a3,2,-250,-250,Infinity
b5,3,-263,-250,Infinity
a3,2,-250,-250,Infinity
b6,3,-312,-250,Infinity
a3,2,-250,-250,Infinity
c6,3,-253,-250,Infinity
a3,2,-250,-250,Infinity
d6,3,-272,-250,Infinity
a3,2,-250,-250,Infinity
e6,3,-264,-250,Infinity
a3,2,-250,-250,Infinity
d7,3,-327,-250,Infinity
a3,2,-250,-250,Infinity
h7,3,-276,-250,Infinity
a3,2,-250,-250,Infinity
d8,3,-246,-250,Infinity
a3,2,-246,-246,Infinity
f1,1,-246,-Infinity,-246
b3,2,-Infinity,-Infinity,-246
b2,3,-290,-Infinity,-246
b3,2,-290,-290,-246
c2,3,-276,-290,-246
b3,2,-276,-276,-246
a3,3,-232,-276,-246
b3,2,-232,-276,-246
f1,1,-246,-Infinity,-246
e3,2,-Infinity,-Infinity,-246
b2,3,-284,-Infinity,-246
e3,2,-284,-284,-246
c2,3,-256,-284,-246
e3,2,-256,-256,-246
e2,3,-261,-256,-246
e3,2,-256,-256,-246
a3,3,-226,-256,-246
e3,2,-226,-256,-246
f1,1,-246,-Infinity,-246
f3,2,-Infinity,-Infinity,-246
b2,3,-245,-Infinity,-246
f3,2,-245,-Infinity,-246
f1,1,-246,-Infinity,-246
g4,2,-Infinity,-Infinity,-246
b2,3,-277,-Infinity,-246
g4,2,-277,-277,-246
c2,3,-249,-277,-246
g4,2,-249,-249,-246
e2,3,-262,-249,-246
g4,2,-249,-249,-246
a3,3,-219,-249,-246
g4,2,-219,-249,-246
f1,1,-246,-Infinity,-246
b5,2,-Infinity,-Infinity,-246
b2,3,-291,-Infinity,-246
b5,2,-291,-291,-246
c2,3,-277,-291,-246
b5,2,-277,-277,-246
a3,3,-233,-277,-246
b5,2,-233,-277,-246
f1,1,-246,-Infinity,-246
h5,2,-Infinity,-Infinity,-246
b2,3,-286,-Infinity,-246
h5,2,-286,-286,-246
c2,3,-258,-286,-246
h5,2,-258,-258,-246
e2,3,-271,-258,-246
h5,2,-258,-258,-246
a3,3,-228,-258,-246
h5,2,-228,-258,-246
f1,1,-246,-Infinity,-246
d6,2,-Infinity,-Infinity,-246
b2,3,-284,-Infinity,-246
d6,2,-284,-284,-246
c2,3,-256,-284,-246
d6,2,-256,-256,-246
e2,3,-269,-256,-246
d6,2,-256,-256,-246
a3,3,-226,-256,-246
d6,2,-226,-256,-246
f1,1,-246,-Infinity,-246
f6,2,-Infinity,-Infinity,-246
b2,3,-279,-Infinity,-246
f6,2,-279,-279,-246
c2,3,-265,-279,-246
f6,2,-265,-265,-246
e2,3,-278,-265,-246
f6,2,-265,-265,-246
a3,3,-235,-265,-246
f6,2,-235,-265,-246
f1,1,-246,-Infinity,-246
h6,2,-Infinity,-Infinity,-246
b2,3,-246,-Infinity,-246
h6,2,-246,-Infinity,-246
f1,1,-246,-Infinity,-246
a8,2,-Infinity,-Infinity,-246
b2,3,-353,-Infinity,-246
a8,2,-353,-353,-246
c2,3,-325,-353,-246
a8,2,-325,-325,-246
e2,3,-338,-325,-246
a8,2,-325,-325,-246
b4,3,-332,-325,-246
a8,2,-325,-325,-246
b5,3,-338,-325,-246
a8,2,-325,-325,-246
b6,3,-339,-325,-246
a8,2,-325,-325,-246
c6,3,-328,-325,-246
a8,2,-325,-325,-246
