XXOOX*OX
X**XOX*X
XXXXXXX*
O***X***
**XXXXXX
O*X*OX*O
O*OOX*OX
O**XX*XX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f1,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
b2,3,174,-Infinity,Infinity
c2,2,174,174,Infinity
c3,3,219,174,Infinity
c2,2,219,219,Infinity
c4,3,216,219,Infinity
c2,2,219,219,Infinity
a5,3,236,219,Infinity
c2,2,236,236,Infinity
b6,3,206,236,Infinity
c2,2,236,236,Infinity
d6,3,224,236,Infinity
c2,2,236,236,Infinity
g6,3,166,236,Infinity
c2,2,236,236,Infinity
b7,3,180,236,Infinity
c2,2,236,236,Infinity
f7,3,174,236,Infinity
c2,2,236,236,Infinity
c8,3,220,236,Infinity
c2,2,236,236,Infinity
f1,1,236,-Infinity,236
g2,2,-Infinity,-Infinity,236
c2,3,174,-Infinity,236
g2,2,174,174,236
c3,3,247,174,236
g2,2,247,174,236
f1,1,236,-Infinity,236
h3,2,-Infinity,-Infinity,236
c2,3,176,-Infinity,236
h3,2,176,176,236
g2,3,174,176,236
h3,2,176,176,236
c3,3,185,176,236
h3,2,185,185,236
c4,3,190,185,236
h3,2,190,190,236
d4,3,192,190,236
h3,2,192,192,236
f4,3,194,192,236
h3,2,194,194,236
h4,3,198,194,236
h3,2,198,198,236
a5,3,202,198,236
h3,2,202,202,236
b6,3,172,202,236
h3,2,202,202,236
d6,3,190,202,236
h3,2,202,202,236
g6,3,132,202,236
h3,2,202,202,236
b7,3,146,202,236
h3,2,202,202,236
f7,3,140,202,236
h3,2,202,202,236
c8,3,186,202,236
h3,2,202,202,236
f1,1,202,-Infinity,202
c4,2,-Infinity,-Infinity,202
c2,3,172,-Infinity,202
c4,2,172,172,202
c3,3,189,172,202
c4,2,189,189,202
a5,3,198,189,202
c4,2,198,198,202
b5,3,203,198,202
c4,2,203,198,202
f1,1,202,-Infinity,202
d4,2,-Infinity,-Infinity,202
c2,3,184,-Infinity,202
d4,2,184,184,202
c3,3,167,184,202
d4,2,184,184,202
c4,3,198,184,202
d4,2,198,198,202
a5,3,210,198,202
d4,2,210,198,202
f1,1,202,-Infinity,202
f4,2,-Infinity,-Infinity,202
c2,3,192,-Infinity,202
f4,2,192,192,202
c3,3,217,192,202
f4,2,217,192,202
f1,1,202,-Infinity,202
g4,2,-Infinity,-Infinity,202
c2,3,179,-Infinity,202
g4,2,179,179,202
g2,3,177,179,202
g4,2,179,179,202
c3,3,196,179,202
g4,2,196,196,202
c4,3,193,196,202
g4,2,196,196,202
f4,3,213,196,202
g4,2,213,196,202
f1,1,202,-Infinity,202
h4,2,-Infinity,-Infinity,202
c2,3,180,-Infinity,202
h4,2,180,180,202
c3,3,197,180,202
h4,2,197,197,202
h3,3,236,197,202
h4,2,236,197,202
f1,1,202,-Infinity,202
b5,2,-Infinity,-Infinity,202
c2,3,187,-Infinity,202
b5,2,187,187,202
c3,3,204,187,202
b5,2,204,187,202
f1,1,202,-Infinity,202
g6,2,-Infinity,-Infinity,202
c2,3,180,-Infinity,202
g6,2,180,180,202
c3,3,197,180,202
g6,2,197,197,202
c4,3,194,197,202
g6,2,197,197,202
a5,3,206,197,202
g6,2,206,197,202
f1,1,202,-Infinity,202
f7,2,-Infinity,-Infinity,202
c2,3,208,-Infinity,202
f7,2,208,-Infinity,202
f1,1,202,-Infinity,202
root,0,202,202,Infinity
c2,1,Infinity,202,Infinity
f1,2,-Infinity,202,Infinity
a5,3,204,202,Infinity
f1,2,204,204,Infinity
b6,3,174,204,Infinity
f1,2,204,204,Infinity
d6,3,192,204,Infinity
f1,2,204,204,Infinity
g6,3,134,204,Infinity
f1,2,204,204,Infinity
b7,3,148,204,Infinity
f1,2,204,204,Infinity
