*OO*OXOO
X*XOX*OX
OOOOOO**
OOO*OO*X
XOX*X**O
**XO**O*
**XOX*O*
O****OX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
h3,3,32,-Infinity,Infinity
a1,2,32,32,Infinity
d4,3,36,32,Infinity
a1,2,36,36,Infinity
d5,3,36,36,Infinity
a1,2,36,36,Infinity
a6,3,48,36,Infinity
a1,2,48,48,Infinity
b6,3,38,48,Infinity
a1,2,48,48,Infinity
e6,3,32,48,Infinity
a1,2,48,48,Infinity
b7,3,-4,48,Infinity
a1,2,48,48,Infinity
f7,3,18,48,Infinity
a1,2,48,48,Infinity
b8,3,12,48,Infinity
a1,2,48,48,Infinity
c8,3,50,48,Infinity
a1,2,50,50,Infinity
h8,3,111,50,Infinity
a1,2,111,111,Infinity
d1,1,111,-Infinity,111
f2,2,-Infinity,-Infinity,111
g3,3,143,-Infinity,111
f2,2,143,-Infinity,111
d1,1,111,-Infinity,111
a3,2,-Infinity,-Infinity,111
b2,3,107,-Infinity,111
a3,2,107,107,111
h3,3,149,107,111
a3,2,149,107,111
d1,1,111,-Infinity,111
g3,2,-Infinity,-Infinity,111
h3,3,173,-Infinity,111
g3,2,173,-Infinity,111
d1,1,111,-Infinity,111
h3,2,-Infinity,-Infinity,111
g3,3,139,-Infinity,111
h3,2,139,-Infinity,111
d1,1,111,-Infinity,111
d5,2,-Infinity,-Infinity,111
b2,3,119,-Infinity,111
d5,2,119,-Infinity,111
d1,1,111,-Infinity,111
f5,2,-Infinity,-Infinity,111
h3,3,151,-Infinity,111
f5,2,151,-Infinity,111
d1,1,111,-Infinity,111
g5,2,-Infinity,-Infinity,111
g3,3,206,-Infinity,111
g5,2,206,-Infinity,111
d1,1,111,-Infinity,111
a6,2,-Infinity,-Infinity,111
h3,3,145,-Infinity,111
a6,2,145,-Infinity,111
d1,1,111,-Infinity,111
e6,2,-Infinity,-Infinity,111
h3,3,143,-Infinity,111
e6,2,143,-Infinity,111
d1,1,111,-Infinity,111
h6,2,-Infinity,-Infinity,111
h3,3,123,-Infinity,111
h6,2,123,-Infinity,111
