OX*XOOXO
OXXX*O**
*X*X*OOO
OO*X**OX
XX*O*OOX
OXO*XO**
OOXOOXX*
**O**XXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e2,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
g2,3,-285,-Infinity,Infinity
c1,2,-285,-285,Infinity
h2,3,-237,-285,Infinity
c1,2,-237,-237,Infinity
a3,3,-225,-237,Infinity
c1,2,-225,-225,Infinity
c3,3,-244,-225,Infinity
c1,2,-225,-225,Infinity
e3,3,-249,-225,Infinity
c1,2,-225,-225,Infinity
c4,3,-241,-225,Infinity
c1,2,-225,-225,Infinity
f4,3,-219,-225,Infinity
c1,2,-219,-219,Infinity
c5,3,-227,-219,Infinity
c1,2,-219,-219,Infinity
e5,3,-229,-219,Infinity
c1,2,-219,-219,Infinity
d6,3,-233,-219,Infinity
c1,2,-219,-219,Infinity
g6,3,-241,-219,Infinity
c1,2,-219,-219,Infinity
a8,3,-146,-219,Infinity
c1,2,-146,-146,Infinity
b8,3,-301,-146,Infinity
c1,2,-146,-146,Infinity
d8,3,-237,-146,Infinity
c1,2,-146,-146,Infinity
e8,3,-237,-146,Infinity
c1,2,-146,-146,Infinity
h8,3,-162,-146,Infinity
c1,2,-146,-146,Infinity
e2,1,-146,-Infinity,-146
c3,2,-Infinity,-Infinity,-146
g2,3,-234,-Infinity,-146
c3,2,-234,-234,-146
h2,3,-186,-234,-146
c3,2,-186,-186,-146
a3,3,-174,-186,-146
c3,2,-174,-174,-146
e3,3,-198,-174,-146
c3,2,-174,-174,-146
c4,3,-176,-174,-146
c3,2,-174,-174,-146
f4,3,-168,-174,-146
c3,2,-168,-168,-146
c5,3,-176,-168,-146
c3,2,-168,-168,-146
e5,3,-178,-168,-146
c3,2,-168,-168,-146
d6,3,-182,-168,-146
c3,2,-168,-168,-146
g6,3,-190,-168,-146
c3,2,-168,-168,-146
a8,3,-95,-168,-146
c3,2,-95,-168,-146
e2,1,-146,-Infinity,-146
e3,2,-Infinity,-Infinity,-146
g2,3,-299,-Infinity,-146
e3,2,-299,-299,-146
h2,3,-245,-299,-146
e3,2,-245,-245,-146
a3,3,-233,-245,-146
e3,2,-233,-233,-146
c3,3,-252,-233,-146
e3,2,-233,-233,-146
c4,3,-249,-233,-146
e3,2,-233,-233,-146
f4,3,-219,-233,-146
e3,2,-219,-219,-146
c5,3,-235,-219,-146
e3,2,-219,-219,-146
e5,3,-237,-219,-146
e3,2,-219,-219,-146
d6,3,-241,-219,-146
e3,2,-219,-219,-146
g6,3,-249,-219,-146
e3,2,-219,-219,-146
a8,3,-154,-219,-146
e3,2,-154,-154,-146
b8,3,-309,-154,-146
e3,2,-154,-154,-146
d8,3,-245,-154,-146
e3,2,-154,-154,-146
e8,3,-245,-154,-146
e3,2,-154,-154,-146
h8,3,-170,-154,-146
e3,2,-154,-154,-146
e2,1,-154,-Infinity,-154
c4,2,-Infinity,-Infinity,-154
g2,3,-279,-Infinity,-154
c4,2,-279,-279,-154
h2,3,-225,-279,-154
c4,2,-225,-225,-154
a3,3,-213,-225,-154
c4,2,-213,-213,-154
c3,3,-232,-213,-154
c4,2,-213,-213,-154
e3,3,-237,-213,-154
c4,2,-213,-213,-154
e4,3,-225,-213,-154
c4,2,-213,-213,-154
f4,3,-207,-213,-154
c4,2,-207,-207,-154
c5,3,-221,-207,-154
c4,2,-207,-207,-154
e5,3,-217,-207,-154
c4,2,-207,-207,-154
d6,3,-221,-207,-154
c4,2,-207,-207,-154
g6,3,-229,-207,-154
c4,2,-207,-207,-154
a8,3,-134,-207,-154
c4,2,-134,-207,-154
e2,1,-154,-Infinity,-154
f4,2,-Infinity,-Infinity,-154
g2,3,-299,-Infinity,-154
f4,2,-299,-299,-154
h2,3,-251,-299,-154
f4,2,-251,-251,-154
a3,3,-239,-251,-154
f4,2,-239,-239,-154
c3,3,-258,-239,-154
f4,2,-239,-239,-154
e3,3,-263,-239,-154
f4,2,-239,-239,-154
c4,3,-255,-239,-154
f4,2,-239,-239,-154
e4,3,-251,-239,-154
f4,2,-239,-239,-154
c5,3,-241,-239,-154
f4,2,-239,-239,-154
e5,3,-243,-239,-154
f4,2,-239,-239,-154
d6,3,-247,-239,-154
f4,2,-239,-239,-154
g6,3,-255,-239,-154
f4,2,-239,-239,-154
a8,3,-160,-239,-154
f4,2,-160,-160,-154
b8,3,-315,-160,-154
f4,2,-160,-160,-154
d8,3,-251,-160,-154
f4,2,-160,-160,-154
e8,3,-251,-160,-154
f4,2,-160,-160,-154
h8,3,-176,-160,-154
f4,2,-160,-160,-154
e2,1,-160,-Infinity,-160
c5,2,-Infinity,-Infinity,-160
g2,3,-277,-Infinity,-160
c5,2,-277,-277,-160
h2,3,-229,-277,-160
c5,2,-229,-229,-160
a3,3,-217,-229,-160
c5,2,-217,-217,-160
c3,3,-236,-217,-160
c5,2,-217,-217,-160
e3,3,-241,-217,-160
c5,2,-217,-217,-160
c4,3,-211,-217,-160
c5,2,-211,-211,-160
f4,3,-211,-211,-160
c5,2,-211,-211,-160
e5,3,-213,-211,-160
c5,2,-211,-211,-160
d6,3,-239,-211,-160
c5,2,-211,-211,-160
g6,3,-233,-211,-160
c5,2,-211,-211,-160
a8,3,-138,-211,-160
c5,2,-138,-211,-160
e2,1,-160,-Infinity,-160
e5,2,-Infinity,-Infinity,-160
g2,3,-289,-Infinity,-160
e5,2,-289,-289,-160
h2,3,-241,-289,-160
e5,2,-241,-241,-160
a3,3,-229,-241,-160
e5,2,-229,-229,-160
c3,3,-248,-229,-160
e5,2,-229,-229,-160
e3,3,-253,-229,-160
e5,2,-229,-229,-160
c4,3,-237,-229,-160
e5,2,-229,-229,-160
f4,3,-223,-229,-160
e5,2,-223,-223,-160
c5,3,-229,-223,-160
e5,2,-223,-223,-160
d6,3,-237,-223,-160
e5,2,-223,-223,-160
g6,3,-259,-223,-160
e5,2,-223,-223,-160
a8,3,-150,-223,-160
e5,2,-150,-223,-160
e2,1,-160,-Infinity,-160
d6,2,-Infinity,-Infinity,-160
g2,3,-293,-Infinity,-160
d6,2,-293,-293,-160
h2,3,-245,-293,-160
d6,2,-245,-245,-160
a3,3,-233,-245,-160
d6,2,-233,-233,-160
c3,3,-252,-233,-160
d6,2,-233,-233,-160
