X*XX**XO
**O*X*OX
**XOOO*X
OXX*XO**
OOOX**X*
O***XXOO
*OXOX**O
XXX*OO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
f1,3,90,-Infinity,Infinity
e1,2,90,90,Infinity
d2,3,137,90,Infinity
e1,2,137,137,Infinity
f2,3,72,137,Infinity
e1,2,137,137,Infinity
g3,3,94,137,Infinity
e1,2,137,137,Infinity
g4,3,137,137,Infinity
e1,2,137,137,Infinity
h5,3,130,137,Infinity
e1,2,137,137,Infinity
b6,3,114,137,Infinity
e1,2,137,137,Infinity
c6,3,139,137,Infinity
e1,2,139,139,Infinity
d6,3,136,139,Infinity
e1,2,139,139,Infinity
a7,3,68,139,Infinity
e1,2,139,139,Infinity
g7,3,92,139,Infinity
e1,2,139,139,Infinity
a8,3,207,139,Infinity
e1,2,207,207,Infinity
b1,1,207,-Infinity,207
f1,2,-Infinity,-Infinity,207
e1,3,130,-Infinity,207
f1,2,130,130,207
d2,3,135,130,207
f1,2,135,135,207
f2,3,70,135,207
f1,2,135,135,207
b3,3,126,135,207
f1,2,135,135,207
g3,3,148,135,207
f1,2,148,148,207
d4,3,130,148,207
f1,2,148,148,207
g4,3,135,148,207
f1,2,148,148,207
h5,3,128,148,207
f1,2,148,148,207
b6,3,112,148,207
f1,2,148,148,207
c6,3,145,148,207
f1,2,148,148,207
d6,3,134,148,207
f1,2,148,148,207
a7,3,66,148,207
f1,2,148,148,207
g7,3,90,148,207
f1,2,148,148,207
a8,3,205,148,207
f1,2,205,205,207
b1,1,205,-Infinity,205
d2,2,-Infinity,-Infinity,205
f1,3,79,-Infinity,205
d2,2,79,79,205
f2,3,67,79,205
d2,2,79,79,205
b3,3,129,79,205
d2,2,129,129,205
g3,3,89,129,205
d2,2,129,129,205
g4,3,138,129,205
d2,2,138,138,205
h5,3,125,138,205
d2,2,138,138,205
c6,3,134,138,205
d2,2,138,138,205
a7,3,63,138,205
d2,2,138,138,205
g7,3,87,138,205
d2,2,138,138,205
a8,3,202,138,205
d2,2,202,202,205
b1,1,202,-Infinity,202
a3,2,-Infinity,-Infinity,202
f1,3,82,-Infinity,202
a3,2,82,82,202
d2,3,135,82,202
a3,2,135,135,202
f2,3,70,135,202
a3,2,135,135,202
