OOXOOXX*
XXOO*O*O
O**XXXO*
X*XXXXXX
*XO****X
OXX*OXOX
XX*OXXO*
XX*OO*OO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e2,1,Infinity,-Infinity,Infinity
h1,2,-Infinity,-Infinity,Infinity
g2,3,-269,-Infinity,Infinity
h1,2,-269,-269,Infinity
h3,3,-229,-269,Infinity
h1,2,-229,-229,Infinity
h4,3,-211,-229,Infinity
h1,2,-211,-211,Infinity
a5,3,-207,-211,Infinity
h1,2,-207,-207,Infinity
d5,3,-213,-207,Infinity
h1,2,-207,-207,Infinity
e5,3,-221,-207,Infinity
h1,2,-207,-207,Infinity
d6,3,-217,-207,Infinity
h1,2,-207,-207,Infinity
c7,3,-239,-207,Infinity
h1,2,-207,-207,Infinity
h7,3,-285,-207,Infinity
h1,2,-207,-207,Infinity
f8,3,-269,-207,Infinity
h1,2,-207,-207,Infinity
e2,1,-207,-Infinity,-207
b3,2,-Infinity,-Infinity,-207
g2,3,-110,-Infinity,-207
b3,2,-110,-Infinity,-207
e2,1,-207,-Infinity,-207
c3,2,-Infinity,-Infinity,-207
g2,3,-147,-Infinity,-207
c3,2,-147,-Infinity,-207
e2,1,-207,-Infinity,-207
a5,2,-Infinity,-Infinity,-207
g2,3,-182,-Infinity,-207
a5,2,-182,-Infinity,-207
e2,1,-207,-Infinity,-207
d5,2,-Infinity,-Infinity,-207
g2,3,-172,-Infinity,-207
d5,2,-172,-Infinity,-207
e2,1,-207,-Infinity,-207
e5,2,-Infinity,-Infinity,-207
g2,3,-200,-Infinity,-207
e5,2,-200,-Infinity,-207
e2,1,-207,-Infinity,-207
f5,2,-Infinity,-Infinity,-207
g2,3,-196,-Infinity,-207
f5,2,-196,-Infinity,-207
e2,1,-207,-Infinity,-207
g5,2,-Infinity,-Infinity,-207
g2,3,-161,-Infinity,-207
g5,2,-161,-Infinity,-207
e2,1,-207,-Infinity,-207
d6,2,-Infinity,-Infinity,-207
g2,3,-180,-Infinity,-207
d6,2,-180,-Infinity,-207
e2,1,-207,-Infinity,-207
c7,2,-Infinity,-Infinity,-207
g2,3,-180,-Infinity,-207
c7,2,-180,-Infinity,-207
e2,1,-207,-Infinity,-207
h7,2,-Infinity,-Infinity,-207
g2,3,-178,-Infinity,-207
h7,2,-178,-Infinity,-207
e2,1,-207,-Infinity,-207
c8,2,-Infinity,-Infinity,-207
g2,3,-130,-Infinity,-207
c8,2,-130,-Infinity,-207
e2,1,-207,-Infinity,-207
root,0,-207,-207,Infinity
g2,1,Infinity,-207,Infinity
h1,2,-Infinity,-207,Infinity
e2,3,-269,-207,Infinity
h1,2,-269,-207,Infinity
c3,3,-245,-207,Infinity
h1,2,-245,-207,Infinity
h4,3,-226,-207,Infinity
h1,2,-226,-207,Infinity
a5,3,-222,-207,Infinity
h1,2,-222,-207,Infinity
d5,3,-228,-207,Infinity
h1,2,-222,-207,Infinity
e5,3,-236,-207,Infinity
h1,2,-222,-207,Infinity
d6,3,-232,-207,Infinity
h1,2,-222,-207,Infinity
c7,3,-254,-207,Infinity
h1,2,-222,-207,Infinity
h7,3,-300,-207,Infinity
h1,2,-222,-207,Infinity
f8,3,-284,-207,Infinity
h1,2,-222,-207,Infinity
g2,1,-222,-207,Infinity
root,0,-207,-207,Infinity
c3,1,Infinity,-207,Infinity
h1,2,-Infinity,-207,Infinity
e2,3,-222,-207,Infinity
h1,2,-222,-207,Infinity
g2,3,-245,-207,Infinity
h1,2,-222,-207,Infinity
h3,3,-213,-207,Infinity
h1,2,-213,-207,Infinity
h4,3,-195,-207,Infinity
h1,2,-195,-195,Infinity
a5,3,-191,-195,Infinity
h1,2,-191,-191,Infinity
d5,3,-197,-191,Infinity
h1,2,-191,-191,Infinity
e5,3,-205,-191,Infinity
h1,2,-191,-191,Infinity
d6,3,-201,-191,Infinity
h1,2,-191,-191,Infinity
c7,3,-223,-191,Infinity
h1,2,-191,-191,Infinity
h7,3,-269,-191,Infinity
h1,2,-191,-191,Infinity
f8,3,-253,-191,Infinity
h1,2,-191,-191,Infinity
c3,1,-191,-207,-191
e2,2,-Infinity,-207,-191
g2,3,-159,-207,-191
e2,2,-159,-207,-191
c3,1,-191,-207,-191
b3,2,-Infinity,-207,-191
e2,3,-133,-207,-191
b3,2,-133,-207,-191
c3,1,-191,-207,-191
b4,2,-Infinity,-207,-191
e2,3,-134,-207,-191
b4,2,-134,-207,-191
c3,1,-191,-207,-191
a5,2,-Infinity,-207,-191
e2,3,-135,-207,-191
a5,2,-135,-207,-191
c3,1,-191,-207,-191
d5,2,-Infinity,-207,-191
e2,3,-123,-207,-191
d5,2,-123,-207,-191
c3,1,-191,-207,-191
e5,2,-Infinity,-207,-191
e2,3,-111,-207,-191
e5,2,-111,-207,-191
c3,1,-191,-207,-191
f5,2,-Infinity,-207,-191
e2,3,-135,-207,-191
f5,2,-135,-207,-191
c3,1,-191,-207,-191
g5,2,-Infinity,-207,-191
e2,3,-130,-207,-191
g5,2,-130,-207,-191
c3,1,-191,-207,-191
d6,2,-Infinity,-207,-191
e2,3,-133,-207,-191
d6,2,-133,-207,-191
c3,1,-191,-207,-191
c7,2,-Infinity,-207,-191
e2,3,-133,-207,-191
c7,2,-133,-207,-191
c3,1,-191,-207,-191
h7,2,-Infinity,-207,-191
e2,3,-131,-207,-191
h7,2,-131,-207,-191
c3,1,-191,-207,-191
c8,2,-Infinity,-207,-191
e2,3,-83,-207,-191
c8,2,-83,-207,-191
c3,1,-191,-207,-191
root,0,-191,-191,Infinity
h3,1,Infinity,-191,Infinity
h1,2,-Infinity,-191,Infinity
e2,3,-229,-191,Infinity
h1,2,-229,-191,Infinity
c3,3,-213,-191,Infinity
h1,2,-213,-191,Infinity
h4,3,-194,-191,Infinity
h1,2,-194,-191,Infinity
a5,3,-190,-191,Infinity
h1,2,-190,-190,Infinity
d5,3,-196,-190,Infinity
h1,2,-190,-190,Infinity
e5,3,-204,-190,Infinity
h1,2,-190,-190,Infinity
d6,3,-200,-190,Infinity
h1,2,-190,-190,Infinity
c7,3,-222,-190,Infinity
h1,2,-190,-190,Infinity
h7,3,-268,-190,Infinity
h1,2,-190,-190,Infinity
f8,3,-252,-190,Infinity
h1,2,-190,-190,Infinity
h3,1,-190,-191,-190
e2,2,-Infinity,-191,-190
