OOOOX*OO
OOXO*X**
XXO*OOXX
X**OXXOO
**OO*OX*
XX****OO
*XO*XXX*
*O*XXX**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
f1,3,213,-Infinity,Infinity
e2,2,213,213,Infinity
g2,3,141,213,Infinity
e2,2,213,213,Infinity
h2,3,209,213,Infinity
e2,2,213,213,Infinity
d3,3,199,213,Infinity
e2,2,213,213,Infinity
b4,3,190,213,Infinity
e2,2,213,213,Infinity
c4,3,197,213,Infinity
e2,2,213,213,Infinity
a5,3,227,213,Infinity
e2,2,227,227,Infinity
b5,3,142,227,Infinity
e2,2,227,227,Infinity
h5,3,201,227,Infinity
e2,2,227,227,Infinity
f6,3,202,227,Infinity
e2,2,227,227,Infinity
a7,3,137,227,Infinity
e2,2,227,227,Infinity
g8,3,145,227,Infinity
e2,2,227,227,Infinity
a1,1,227,-Infinity,227
g2,2,-Infinity,-Infinity,227
f1,3,244,-Infinity,227
g2,2,244,-Infinity,227
a1,1,227,-Infinity,227
d3,2,-Infinity,-Infinity,227
f1,3,194,-Infinity,227
d3,2,194,194,227
e2,3,171,194,227
d3,2,194,194,227
g2,3,142,194,227
d3,2,194,194,227
h2,3,168,194,227
d3,2,194,194,227
b4,3,163,194,227
d3,2,194,194,227
c4,3,162,194,227
d3,2,194,194,227
a5,3,186,194,227
d3,2,194,194,227
b5,3,101,194,227
d3,2,194,194,227
h5,3,160,194,227
d3,2,194,194,227
f6,3,161,194,227
d3,2,194,194,227
a7,3,96,194,227
d3,2,194,194,227
g8,3,104,194,227
d3,2,194,194,227
a1,1,194,-Infinity,194
b4,2,-Infinity,-Infinity,194
f1,3,207,-Infinity,194
b4,2,207,-Infinity,194
a1,1,194,-Infinity,194
c4,2,-Infinity,-Infinity,194
f1,3,194,-Infinity,194
c4,2,194,-Infinity,194
a1,1,194,-Infinity,194
e5,2,-Infinity,-Infinity,194
f1,3,204,-Infinity,194
e5,2,204,-Infinity,194
a1,1,194,-Infinity,194
h5,2,-Infinity,-Infinity,194
f1,3,202,-Infinity,194
h5,2,202,-Infinity,194
a1,1,194,-Infinity,194
c6,2,-Infinity,-Infinity,194
f1,3,205,-Infinity,194
c6,2,205,-Infinity,194
a1,1,194,-Infinity,194
e6,2,-Infinity,-Infinity,194
f1,3,206,-Infinity,194
e6,2,206,-Infinity,194
a1,1,194,-Infinity,194
f6,2,-Infinity,-Infinity,194
f1,3,197,-Infinity,194
f6,2,197,-Infinity,194
a1,1,194,-Infinity,194
d7,2,-Infinity,-Infinity,194
f1,3,223,-Infinity,194
d7,2,223,-Infinity,194
a1,1,194,-Infinity,194
h7,2,-Infinity,-Infinity,194
f1,3,220,-Infinity,194
h7,2,220,-Infinity,194
a1,1,194,-Infinity,194
root,0,194,194,Infinity
f1,1,Infinity,194,Infinity
a1,2,-Infinity,194,Infinity
g2,3,48,194,Infinity
a1,2,48,194,Infinity
h2,3,88,194,Infinity
a1,2,88,194,Infinity
d3,3,84,194,Infinity
a1,2,88,194,Infinity
b4,3,91,194,Infinity
a1,2,91,194,Infinity
c4,3,90,194,Infinity
a1,2,91,194,Infinity
a5,3,78,194,Infinity
a1,2,91,194,Infinity
b5,3,21,194,Infinity
a1,2,91,194,Infinity
e5,3,80,194,Infinity
a1,2,91,194,Infinity
h5,3,80,194,Infinity
a1,2,91,194,Infinity
f6,3,81,194,Infinity
a1,2,91,194,Infinity
a7,3,16,194,Infinity
a1,2,91,194,Infinity
g8,3,24,194,Infinity
a1,2,91,194,Infinity
f1,1,91,194,Infinity
root,0,194,194,Infinity
g2,1,Infinity,194,Infinity
a1,2,-Infinity,194,Infinity
f1,3,48,194,Infinity
a1,2,48,194,Infinity
e2,3,25,194,Infinity
a1,2,48,194,Infinity
h2,3,44,194,Infinity
a1,2,48,194,Infinity
d3,3,40,194,Infinity
a1,2,48,194,Infinity
b4,3,47,194,Infinity
a1,2,48,194,Infinity
c4,3,46,194,Infinity
a1,2,48,194,Infinity
a5,3,34,194,Infinity
a1,2,48,194,Infinity
b5,3,-23,194,Infinity
a1,2,48,194,Infinity
e5,3,44,194,Infinity
a1,2,48,194,Infinity
h5,3,36,194,Infinity
a1,2,48,194,Infinity
f6,3,37,194,Infinity
a1,2,48,194,Infinity
a7,3,-28,194,Infinity
a1,2,48,194,Infinity
g8,3,-20,194,Infinity
a1,2,48,194,Infinity
g2,1,48,194,Infinity
root,0,194,194,Infinity
h2,1,Infinity,194,Infinity
a1,2,-Infinity,194,Infinity
f1,3,88,194,Infinity
a1,2,88,194,Infinity
g2,3,44,194,Infinity
a1,2,88,194,Infinity
d3,3,80,194,Infinity
a1,2,88,194,Infinity
b4,3,87,194,Infinity
a1,2,88,194,Infinity
c4,3,86,194,Infinity
a1,2,88,194,Infinity
a5,3,74,194,Infinity
a1,2,88,194,Infinity
b5,3,17,194,Infinity
a1,2,88,194,Infinity
e5,3,76,194,Infinity
a1,2,88,194,Infinity
h5,3,76,194,Infinity
a1,2,88,194,Infinity
f6,3,77,194,Infinity
a1,2,88,194,Infinity
a7,3,12,194,Infinity
a1,2,88,194,Infinity
g8,3,20,194,Infinity
a1,2,88,194,Infinity
h2,1,88,194,Infinity
root,0,194,194,Infinity
d3,1,Infinity,194,Infinity
a1,2,-Infinity,194,Infinity
f1,3,84,194,Infinity
a1,2,84,194,Infinity
g2,3,40,194,Infinity
a1,2,84,194,Infinity
h2,3,80,194,Infinity
a1,2,84,194,Infinity
b4,3,83,194,Infinity
a1,2,84,194,Infinity
c4,3,82,194,Infinity
a1,2,84,194,Infinity
a5,3,70,194,Infinity
a1,2,84,194,Infinity
b5,3,13,194,Infinity
a1,2,84,194,Infinity
h5,3,72,194,Infinity
a1,2,84,194,Infinity
f6,3,73,194,Infinity
a1,2,84,194,Infinity
a7,3,8,194,Infinity
a1,2,84,194,Infinity
g8,3,16,194,Infinity
a1,2,84,194,Infinity
d3,1,84,194,Infinity
root,0,194,194,Infinity
b4,1,Infinity,194,Infinity
a1,2,-Infinity,194,Infinity
f1,3,91,194,Infinity
a1,2,91,194,Infinity
g2,3,47,194,Infinity
a1,2,91,194,Infinity
h2,3,87,194,Infinity
a1,2,91,194,Infinity
d3,3,83,194,Infinity
a1,2,91,194,Infinity
a5,3,77,194,Infinity
a1,2,91,194,Infinity
b5,3,20,194,Infinity
a1,2,91,194,Infinity
e5,3,79,194,Infinity
a1,2,91,194,Infinity
h5,3,79,194,Infinity
a1,2,91,194,Infinity
f6,3,80,194,Infinity
a1,2,91,194,Infinity
a7,3,15,194,Infinity
