XXXXOO*O
XX*O*X**
X*OOX*X*
X*XO*O**
OXO*XXXX
OOX*XOOX
OX*XXX*X
*X******
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
c2,3,-56,-Infinity,Infinity
g1,2,-56,-56,Infinity
e2,3,-61,-56,Infinity
g1,2,-56,-56,Infinity
f3,3,-51,-56,Infinity
g1,2,-51,-51,Infinity
e4,3,-66,-51,Infinity
g1,2,-51,-51,Infinity
d5,3,-56,-51,Infinity
g1,2,-51,-51,Infinity
g7,3,-84,-51,Infinity
g1,2,-51,-51,Infinity
a8,3,45,-51,Infinity
g1,2,45,45,Infinity
a1,1,45,-Infinity,45
h2,2,-Infinity,-Infinity,45
g1,3,-38,-Infinity,45
h2,2,-38,-38,45
c2,3,-48,-38,45
h2,2,-38,-38,45
e2,3,-53,-38,45
h2,2,-38,-38,45
b3,3,-40,-38,45
h2,2,-38,-38,45
f3,3,-43,-38,45
h2,2,-38,-38,45
e4,3,-58,-38,45
h2,2,-38,-38,45
h4,3,-60,-38,45
h2,2,-38,-38,45
d5,3,-48,-38,45
h2,2,-38,-38,45
g7,3,-76,-38,45
h2,2,-38,-38,45
a8,3,53,-38,45
h2,2,53,-38,45
a1,1,45,-Infinity,45
f3,2,-Infinity,-Infinity,45
g1,3,-61,-Infinity,45
f3,2,-61,-61,45
c2,3,-71,-61,45
f3,2,-61,-61,45
e2,3,-76,-61,45
f3,2,-61,-61,45
b3,3,-41,-61,45
f3,2,-41,-41,45
e4,3,-81,-41,45
f3,2,-41,-41,45
d5,3,-71,-41,45
f3,2,-41,-41,45
g7,3,-99,-41,45
f3,2,-41,-41,45
a8,3,30,-41,45
f3,2,30,30,45
a1,1,30,-Infinity,30
b4,2,-Infinity,-Infinity,30
g1,3,-53,-Infinity,30
b4,2,-53,-53,30
c2,3,-47,-53,30
b4,2,-47,-47,30
b3,3,-75,-47,30
b4,2,-47,-47,30
f3,3,-58,-47,30
b4,2,-47,-47,30
e4,3,-71,-47,30
b4,2,-47,-47,30
d5,3,-71,-47,30
b4,2,-47,-47,30
d6,3,-67,-47,30
b4,2,-47,-47,30
g7,3,-91,-47,30
b4,2,-47,-47,30
a8,3,38,-47,30
b4,2,38,-47,30
a1,1,30,-Infinity,30
e4,2,-Infinity,-Infinity,30
g1,3,-62,-Infinity,30
e4,2,-62,-62,30
c2,3,-64,-62,30
e4,2,-62,-62,30
e2,3,-77,-62,30
e4,2,-62,-62,30
b3,3,-64,-62,30
e4,2,-62,-62,30
f3,3,-45,-62,30
e4,2,-45,-45,30
g4,3,-69,-45,30
e4,2,-45,-45,30
d5,3,-72,-45,30
e4,2,-45,-45,30
g7,3,-100,-45,30
e4,2,-45,-45,30
a8,3,29,-45,30
e4,2,29,29,30
a1,1,29,-Infinity,29
g4,2,-Infinity,-Infinity,29
g1,3,-45,-Infinity,29
g4,2,-45,-45,29
c2,3,-55,-45,29
g4,2,-45,-45,29
e2,3,-60,-45,29
g4,2,-45,-45,29
b3,3,-47,-45,29
g4,2,-45,-45,29
f3,3,-56,-45,29
g4,2,-45,-45,29
h3,3,-63,-45,29
g4,2,-45,-45,29
e4,3,-65,-45,29
g4,2,-45,-45,29
h4,3,-51,-45,29
g4,2,-45,-45,29
d5,3,-55,-45,29
g4,2,-45,-45,29
g7,3,-95,-45,29
g4,2,-45,-45,29
a8,3,46,-45,29
g4,2,46,-45,29
a1,1,29,-Infinity,29
h4,2,-Infinity,-Infinity,29
g1,3,-46,-Infinity,29
h4,2,-46,-46,29
c2,3,-48,-46,29
h4,2,-46,-46,29
e2,3,-53,-46,29
h4,2,-46,-46,29
h2,3,-66,-46,29
h4,2,-46,-46,29
b3,3,-40,-46,29
h4,2,-40,-40,29
f3,3,-43,-40,29
h4,2,-40,-40,29
h3,3,-38,-40,29
h4,2,-38,-38,29
e4,3,-58,-38,29
h4,2,-38,-38,29
d5,3,-48,-38,29
h4,2,-38,-38,29
g7,3,-68,-38,29
h4,2,-38,-38,29
a8,3,53,-38,29
h4,2,53,-38,29
a1,1,29,-Infinity,29
d6,2,-Infinity,-Infinity,29
g1,3,-80,-Infinity,29
d6,2,-80,-80,29
c2,3,-90,-80,29
d6,2,-80,-80,29
e2,3,-95,-80,29
d6,2,-80,-80,29
b3,3,-82,-80,29
d6,2,-80,-80,29
f3,3,-85,-80,29
d6,2,-80,-80,29
b4,3,-87,-80,29
d6,2,-80,-80,29
e4,3,-92,-80,29
d6,2,-80,-80,29
d5,3,-60,-80,29
d6,2,-60,-60,29
c7,3,-66,-60,29
d6,2,-60,-60,29
g7,3,-104,-60,29
d6,2,-60,-60,29
a8,3,11,-60,29
d6,2,11,11,29
a1,1,11,-Infinity,11
c7,2,-Infinity,-Infinity,11
g1,3,-16,-Infinity,11
c7,2,-16,-16,11
c2,3,-26,-16,11
c7,2,-16,-16,11
e2,3,-31,-16,11
c7,2,-16,-16,11
b3,3,-18,-16,11
c7,2,-16,-16,11
f3,3,-21,-16,11
c7,2,-16,-16,11
e4,3,-36,-16,11
c7,2,-16,-16,11
d5,3,-26,-16,11
c7,2,-16,-16,11
d6,3,-40,-16,11
c7,2,-16,-16,11
g7,3,-54,-16,11
c7,2,-16,-16,11
a8,3,75,-16,11
c7,2,75,-16,11
a1,1,11,-Infinity,11
c8,2,-Infinity,-Infinity,11
g1,3,-14,-Infinity,11
c8,2,-14,-14,11
c2,3,-24,-14,11
c8,2,-14,-14,11
e2,3,-29,-14,11
c8,2,-14,-14,11
b3,3,-16,-14,11
c8,2,-14,-14,11
f3,3,-19,-14,11
c8,2,-14,-14,11
e4,3,-34,-14,11
c8,2,-14,-14,11
d5,3,-24,-14,11
c8,2,-14,-14,11
g7,3,-52,-14,11
c8,2,-14,-14,11
a8,3,29,-14,11
c8,2,29,-14,11
a1,1,11,-Infinity,11
d8,2,-Infinity,-Infinity,11
g1,3,-54,-Infinity,11
d8,2,-54,-54,11
c2,3,-64,-54,11
d8,2,-54,-54,11
e2,3,-69,-54,11
d8,2,-54,-54,11
b3,3,-56,-54,11
d8,2,-54,-54,11
f3,3,-59,-54,11
d8,2,-54,-54,11
e4,3,-74,-54,11
d8,2,-54,-54,11
d5,3,-64,-54,11
d8,2,-54,-54,11
g7,3,-92,-54,11
d8,2,-54,-54,11
a8,3,37,-54,11
d8,2,37,-54,11
a1,1,11,-Infinity,11
e8,2,-Infinity,-Infinity,11
g1,3,-52,-Infinity,11
e8,2,-52,-52,11
c2,3,-62,-52,11
e8,2,-52,-52,11
e2,3,-67,-52,11
