*O*OOXXX
OOXOOX*O
XXX*OX**
O*OOXOOX
OXXO*OO*
OO*OOOOO
OXOO**OO
OO*OXXOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
g2,3,-77,-Infinity,Infinity
a1,2,-77,-77,Infinity
d3,3,-49,-77,Infinity
a1,2,-49,-49,Infinity
b4,3,-62,-49,Infinity
a1,2,-49,-49,Infinity
c6,3,-92,-49,Infinity
a1,2,-49,-49,Infinity
c8,3,-93,-49,Infinity
a1,2,-49,-49,Infinity
c1,1,-49,-Infinity,-49
d3,2,-Infinity,-Infinity,-49
g2,3,4,-Infinity,-49
d3,2,4,-Infinity,-49
c1,1,-49,-Infinity,-49
e3,2,-Infinity,-Infinity,-49
g2,3,26,-Infinity,-49
e3,2,26,-Infinity,-49
c1,1,-49,-Infinity,-49
h3,2,-Infinity,-Infinity,-49
g2,3,38,-Infinity,-49
h3,2,38,-Infinity,-49
c1,1,-49,-Infinity,-49
b4,2,-Infinity,-Infinity,-49
g2,3,25,-Infinity,-49
b4,2,25,-Infinity,-49
c1,1,-49,-Infinity,-49
e5,2,-Infinity,-Infinity,-49
g2,3,16,-Infinity,-49
e5,2,16,-Infinity,-49
c1,1,-49,-Infinity,-49
h5,2,-Infinity,-Infinity,-49
g2,3,30,-Infinity,-49
h5,2,30,-Infinity,-49
c1,1,-49,-Infinity,-49
c6,2,-Infinity,-Infinity,-49
g2,3,-5,-Infinity,-49
c6,2,-5,-Infinity,-49
c1,1,-49,-Infinity,-49
e7,2,-Infinity,-Infinity,-49
g2,3,31,-Infinity,-49
e7,2,31,-Infinity,-49
c1,1,-49,-Infinity,-49
f7,2,-Infinity,-Infinity,-49
g2,3,-26,-Infinity,-49
f7,2,-26,-Infinity,-49
c1,1,-49,-Infinity,-49
c8,2,-Infinity,-Infinity,-49
g2,3,10,-Infinity,-49
c8,2,10,-Infinity,-49
c1,1,-49,-Infinity,-49
root,0,-49,-49,Infinity
g2,1,Infinity,-49,Infinity
a1,2,-Infinity,-49,Infinity
c1,3,-5,-49,Infinity
a1,2,-5,-5,Infinity
d3,3,-23,-5,Infinity
a1,2,-5,-5,Infinity
b4,3,-62,-5,Infinity
a1,2,-5,-5,Infinity
c6,3,-58,-5,Infinity
a1,2,-5,-5,Infinity
c8,3,-59,-5,Infinity
a1,2,-5,-5,Infinity
g2,1,-5,-49,-5
c1,2,-Infinity,-49,-5
a1,3,97,-49,-5
c1,2,97,-49,-5
g2,1,-5,-49,-5
d3,2,-Infinity,-49,-5
e3,3,8,-49,-5
d3,2,8,-49,-5
g2,1,-5,-49,-5
e3,2,-Infinity,-49,-5
c1,3,34,-49,-5
e3,2,34,-49,-5
g2,1,-5,-49,-5
g3,2,-Infinity,-49,-5
c1,3,82,-49,-5
g3,2,82,-49,-5
g2,1,-5,-49,-5
h3,2,-Infinity,-49,-5
c1,3,86,-49,-5
h3,2,86,-49,-5
g2,1,-5,-49,-5
b4,2,-Infinity,-49,-5
d3,3,7,-49,-5
b4,2,7,-49,-5
g2,1,-5,-49,-5
e5,2,-Infinity,-49,-5
c1,3,30,-49,-5
e5,2,30,-49,-5
g2,1,-5,-49,-5
c6,2,-Infinity,-49,-5
c1,3,63,-49,-5
c6,2,63,-49,-5
g2,1,-5,-49,-5
e7,2,-Infinity,-49,-5
c1,3,31,-49,-5
e7,2,31,-49,-5
g2,1,-5,-49,-5
f7,2,-Infinity,-49,-5
d3,3,-34,-49,-5
f7,2,-34,-34,-5
e3,3,-20,-34,-5
f7,2,-20,-20,-5
g3,3,-44,-20,-5
f7,2,-20,-20,-5
b4,3,-19,-20,-5
f7,2,-19,-19,-5
e5,3,-8,-19,-5
f7,2,-8,-8,-5
c6,3,-79,-8,-5
f7,2,-8,-8,-5
e7,3,-29,-8,-5
f7,2,-8,-8,-5
c8,3,-72,-8,-5
f7,2,-8,-8,-5
g2,1,-8,-49,-8
c8,2,-Infinity,-49,-8
c1,3,10,-49,-8
c8,2,10,-49,-8
g2,1,-8,-49,-8
root,0,-8,-8,Infinity
d3,1,Infinity,-8,Infinity
a1,2,-Infinity,-8,Infinity
g2,3,-23,-8,Infinity
a1,2,-23,-8,Infinity
e3,3,-1,-8,Infinity
a1,2,-1,-1,Infinity
g3,3,-11,-1,Infinity
a1,2,-1,-1,Infinity
b4,3,-42,-1,Infinity
a1,2,-1,-1,Infinity
c6,3,-38,-1,Infinity
a1,2,-1,-1,Infinity
c8,3,-39,-1,Infinity
a1,2,-1,-1,Infinity
d3,1,-1,-8,-1
c1,2,-Infinity,-8,-1
a1,3,125,-8,-1
c1,2,125,-8,-1
d3,1,-1,-8,-1
e3,2,-Infinity,-8,-1
g2,3,0,-8,-1
e3,2,0,-8,-1
d3,1,-1,-8,-1
h3,2,-Infinity,-8,-1
g2,3,20,-8,-1
h3,2,20,-8,-1
d3,1,-1,-8,-1
b4,2,-Infinity,-8,-1
g2,3,5,-8,-1
b4,2,5,-8,-1
d3,1,-1,-8,-1
e5,2,-Infinity,-8,-1
g2,3,12,-8,-1
e5,2,12,-8,-1
d3,1,-1,-8,-1
h5,2,-Infinity,-8,-1
g2,3,12,-8,-1
h5,2,12,-8,-1
d3,1,-1,-8,-1
c6,2,-Infinity,-8,-1
g2,3,-23,-8,-1
c6,2,-23,-8,-1
e3,3,33,-8,-1
c6,2,33,-8,-1
d3,1,-1,-8,-1
e7,2,-Infinity,-8,-1
g2,3,13,-8,-1
e7,2,13,-8,-1
d3,1,-1,-8,-1
f7,2,-Infinity,-8,-1
g2,3,-30,-8,-1
f7,2,-30,-8,-1
e3,3,0,-8,-1
f7,2,0,-8,-1
d3,1,-1,-8,-1
c8,2,-Infinity,-8,-1
g2,3,-8,-8,-1
c8,2,-8,-8,-1
e3,3,14,-8,-1
