**X*X*OX
X*OXXX*X
XO*X*XOO
OXXXX***
**XX*XOO
XOX**XX*
OX*OXXX*
*XX*X*XX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
f1,3,62,-Infinity,Infinity
a1,2,62,62,Infinity
b2,3,38,62,Infinity
a1,2,62,62,Infinity
e3,3,74,62,Infinity
a1,2,74,74,Infinity
e4,3,78,74,Infinity
a1,2,78,78,Infinity
f4,3,74,78,Infinity
a1,2,78,78,Infinity
g4,3,61,78,Infinity
a1,2,78,78,Infinity
h4,3,78,78,Infinity
a1,2,78,78,Infinity
b5,3,59,78,Infinity
a1,2,78,78,Infinity
e6,3,68,78,Infinity
a1,2,78,78,Infinity
c7,3,60,78,Infinity
a1,2,78,78,Infinity
a8,3,153,78,Infinity
a1,2,153,153,Infinity
b1,1,153,-Infinity,153
d1,2,-Infinity,-Infinity,153
f1,3,161,-Infinity,153
d1,2,161,-Infinity,153
b1,1,153,-Infinity,153
e3,2,-Infinity,-Infinity,153
f1,3,151,-Infinity,153
e3,2,151,151,153
b2,3,127,151,153
e3,2,151,151,153
g2,3,127,151,153
e3,2,151,151,153
c3,3,158,151,153
e3,2,158,151,153
b1,1,153,-Infinity,153
a5,2,-Infinity,-Infinity,153
f1,3,139,-Infinity,153
a5,2,139,139,153
b2,3,115,139,153
a5,2,139,139,153
c3,3,146,139,153
a5,2,146,146,153
e3,3,151,146,153
a5,2,151,151,153
e4,3,155,151,153
a5,2,155,151,153
b1,1,153,-Infinity,153
b5,2,-Infinity,-Infinity,153
f1,3,156,-Infinity,153
b5,2,156,-Infinity,153
b1,1,153,-Infinity,153
d6,2,-Infinity,-Infinity,153
f1,3,143,-Infinity,153
d6,2,143,143,153
b2,3,119,143,153
d6,2,143,143,153
c3,3,150,143,153
d6,2,150,150,153
e3,3,155,150,153
d6,2,155,150,153
b1,1,153,-Infinity,153
e6,2,-Infinity,-Infinity,153
f1,3,149,-Infinity,153
e6,2,149,149,153
b2,3,125,149,153
e6,2,149,149,153
c3,3,164,149,153
e6,2,164,149,153
b1,1,153,-Infinity,153
c7,2,-Infinity,-Infinity,153
f1,3,213,-Infinity,153
c7,2,213,-Infinity,153
b1,1,153,-Infinity,153
h7,2,-Infinity,-Infinity,153
