X*OO*OOX
*XOO***X
OX**O*OX
O*X*OOOX
OXOOXOOX
**O*OO*X
OOO*O*X*
OX*O*O**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a2,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
e2,3,-112,-Infinity,Infinity
e1,2,-112,-112,Infinity
d3,3,-113,-112,Infinity
e1,2,-112,-112,Infinity
f3,3,-96,-112,Infinity
e1,2,-96,-96,Infinity
g5,3,-96,-96,Infinity
e1,2,-96,-96,Infinity
a6,3,-109,-96,Infinity
e1,2,-96,-96,Infinity
d6,3,-105,-96,Infinity
e1,2,-96,-96,Infinity
g6,3,-101,-96,Infinity
e1,2,-96,-96,Infinity
f7,3,-101,-96,Infinity
e1,2,-96,-96,Infinity
c8,3,-119,-96,Infinity
e1,2,-96,-96,Infinity
e8,3,-111,-96,Infinity
e1,2,-96,-96,Infinity
a2,1,-96,-Infinity,-96
f2,2,-Infinity,-Infinity,-96
e2,3,-94,-Infinity,-96
f2,2,-94,-Infinity,-96
a2,1,-96,-Infinity,-96
c3,2,-Infinity,-Infinity,-96
b1,3,-120,-Infinity,-96
c3,2,-120,-120,-96
e2,3,-65,-120,-96
c3,2,-65,-120,-96
a2,1,-96,-Infinity,-96
d3,2,-Infinity,-Infinity,-96
e2,3,-118,-Infinity,-96
d3,2,-118,-118,-96
c3,3,-102,-118,-96
d3,2,-102,-102,-96
f3,3,-102,-102,-96
d3,2,-102,-102,-96
d4,3,-115,-102,-96
d3,2,-102,-102,-96
g5,3,-102,-102,-96
d3,2,-102,-102,-96
d6,3,-111,-102,-96
d3,2,-102,-102,-96
g6,3,-107,-102,-96
d3,2,-102,-102,-96
f7,3,-107,-102,-96
d3,2,-102,-102,-96
c8,3,-125,-102,-96
d3,2,-102,-102,-96
e8,3,-117,-102,-96
d3,2,-102,-102,-96
a2,1,-102,-Infinity,-102
f3,2,-Infinity,-Infinity,-102
e2,3,-99,-Infinity,-102
f3,2,-99,-Infinity,-102
a2,1,-102,-Infinity,-102
d4,2,-Infinity,-Infinity,-102
e2,3,-106,-Infinity,-102
d4,2,-106,-106,-102
f2,3,-101,-106,-102
d4,2,-101,-106,-102
a2,1,-102,-Infinity,-102
g5,2,-Infinity,-Infinity,-102
e2,3,-111,-Infinity,-102
g5,2,-111,-111,-102
d3,3,-112,-111,-102
g5,2,-111,-111,-102
a6,3,-108,-111,-102
g5,2,-108,-108,-102
d6,3,-104,-108,-102
g5,2,-104,-104,-102
g6,3,-98,-104,-102
g5,2,-98,-104,-102
a2,1,-102,-Infinity,-102
a6,2,-Infinity,-Infinity,-102
e2,3,-138,-Infinity,-102
a6,2,-138,-138,-102
d3,3,-139,-138,-102
a6,2,-138,-138,-102
f3,3,-122,-138,-102
a6,2,-122,-122,-102
g5,3,-122,-122,-102
a6,2,-122,-122,-102
d6,3,-131,-122,-102
a6,2,-122,-122,-102
g6,3,-127,-122,-102
a6,2,-122,-122,-102
f7,3,-127,-122,-102
a6,2,-122,-122,-102
c8,3,-145,-122,-102
a6,2,-122,-122,-102
e8,3,-137,-122,-102
a6,2,-122,-122,-102
a2,1,-122,-Infinity,-122
b6,2,-Infinity,-Infinity,-122
e2,3,-54,-Infinity,-122
b6,2,-54,-Infinity,-122
a2,1,-122,-Infinity,-122
d6,2,-Infinity,-Infinity,-122
e2,3,-110,-Infinity,-122
d6,2,-110,-Infinity,-122
a2,1,-122,-Infinity,-122
d7,2,-Infinity,-Infinity,-122
e2,3,-127,-Infinity,-122
d7,2,-127,-127,-122
d3,3,-128,-127,-122
d7,2,-127,-127,-122
g5,3,-109,-127,-122
d7,2,-109,-127,-122
a2,1,-122,-Infinity,-122
root,0,-122,-122,Infinity
e2,1,Infinity,-122,Infinity
e1,2,-Infinity,-122,Infinity
a2,3,-114,-122,Infinity
e1,2,-114,-114,Infinity
f2,3,-68,-114,Infinity
e1,2,-68,-68,Infinity
c3,3,-51,-68,Infinity
e1,2,-51,-51,Infinity
d3,3,-54,-51,Infinity
e1,2,-51,-51,Infinity
f3,3,-49,-51,Infinity
e1,2,-49,-49,Infinity
d4,3,-50,-49,Infinity
e1,2,-49,-49,Infinity
g5,3,-37,-49,Infinity
e1,2,-37,-37,Infinity
d6,3,-52,-37,Infinity
e1,2,-37,-37,Infinity
g6,3,-48,-37,Infinity
e1,2,-37,-37,Infinity
f7,3,-48,-37,Infinity
e1,2,-37,-37,Infinity
c8,3,-66,-37,Infinity
e1,2,-37,-37,Infinity
e8,3,-58,-37,Infinity
e1,2,-37,-37,Infinity
e2,1,-37,-122,-37
f2,2,-Infinity,-122,-37
e1,3,-18,-122,-37
f2,2,-18,-122,-37
e2,1,-37,-122,-37
f3,2,-Infinity,-122,-37
a2,3,-99,-122,-37
f3,2,-99,-99,-37
f2,3,-25,-99,-37
f3,2,-25,-99,-37
e2,1,-37,-122,-37
d4,2,-Infinity,-122,-37
a2,3,-106,-122,-37
d4,2,-106,-106,-37
c3,3,-43,-106,-37
d4,2,-43,-43,-37
d3,3,-46,-43,-37
d4,2,-43,-43,-37
f3,3,-35,-43,-37
d4,2,-35,-43,-37
e2,1,-37,-122,-37
g5,2,-Infinity,-122,-37
a2,3,-111,-122,-37
g5,2,-111,-111,-37
c3,3,-48,-111,-37
g5,2,-48,-48,-37
d6,3,-49,-48,-37
g5,2,-48,-48,-37
g6,3,-43,-48,-37
g5,2,-43,-43,-37
c8,3,-63,-43,-37
g5,2,-43,-43,-37
e8,3,-55,-43,-37
g5,2,-43,-43,-37
e2,1,-43,-122,-43
b6,2,-Infinity,-122,-43
a2,3,-54,-122,-43
b6,2,-54,-54,-43
c3,3,9,-54,-43
b6,2,9,-54,-43
e2,1,-43,-122,-43
d6,2,-Infinity,-122,-43
a2,3,-110,-122,-43
d6,2,-110,-110,-43
c3,3,-47,-110,-43
d6,2,-47,-47,-43
f3,3,-39,-47,-43
d6,2,-39,-47,-43
e2,1,-43,-122,-43
d7,2,-Infinity,-122,-43
a2,3,-127,-122,-43
d7,2,-127,-122,-43
c3,3,-64,-122,-43
d7,2,-64,-64,-43
g5,3,-56,-64,-43
d7,2,-56,-56,-43
d6,3,-71,-56,-43
d7,2,-56,-56,-43
g6,3,-67,-56,-43
d7,2,-56,-56,-43
f7,3,-79,-56,-43
d7,2,-56,-56,-43
c8,3,-79,-56,-43
d7,2,-56,-56,-43
e8,3,-61,-56,-43
d7,2,-56,-56,-43
e2,1,-56,-122,-56
f7,2,-Infinity,-122,-56
a2,3,-110,-122,-56
f7,2,-110,-110,-56
c3,3,-47,-110,-56
f7,2,-47,-110,-56
e2,1,-56,-122,-56
c8,2,-Infinity,-122,-56
a2,3,-128,-122,-56
c8,2,-128,-122,-56
c3,3,-73,-122,-56
c8,2,-73,-73,-56
f3,3,-57,-73,-56
c8,2,-57,-57,-56
g5,3,-59,-57,-56
c8,2,-57,-57,-56
b6,3,-84,-57,-56
c8,2,-57,-57,-56
d6,3,-66,-57,-56
c8,2,-57,-57,-56
g6,3,-62,-57,-56
c8,2,-57,-57,-56
d7,3,-75,-57,-56
c8,2,-57,-57,-56
f7,3,-62,-57,-56
c8,2,-57,-57,-56
e8,3,-72,-57,-56
c8,2,-57,-57,-56
e2,1,-57,-122,-57
root,0,-57,-57,Infinity
c3,1,Infinity,-57,Infinity
e1,2,-Infinity,-57,Infinity
b1,3,-104,-57,Infinity
e1,2,-104,-57,Infinity
a2,3,-104,-57,Infinity
e1,2,-104,-57,Infinity
e2,3,-49,-57,Infinity
e1,2,-49,-49,Infinity
d3,3,-50,-49,Infinity
e1,2,-49,-49,Infinity
f3,3,-33,-49,Infinity
e1,2,-33,-33,Infinity
g5,3,-33,-33,Infinity
e1,2,-33,-33,Infinity
a6,3,-46,-33,Infinity
e1,2,-33,-33,Infinity
d6,3,-42,-33,Infinity
e1,2,-33,-33,Infinity
g6,3,-38,-33,Infinity
e1,2,-33,-33,Infinity
f7,3,-38,-33,Infinity
e1,2,-33,-33,Infinity
c8,3,-56,-33,Infinity
e1,2,-33,-33,Infinity
e8,3,-48,-33,Infinity
e1,2,-33,-33,Infinity
c3,1,-33,-57,-33
f2,2,-Infinity,-57,-33
b1,3,-86,-57,-33
f2,2,-86,-57,-33
e1,3,-30,-57,-33
f2,2,-30,-57,-33
c3,1,-33,-57,-33
d3,2,-Infinity,-57,-33
b1,3,-110,-57,-33
d3,2,-110,-57,-33
e1,3,-54,-57,-33
d3,2,-54,-54,-33
a2,3,-110,-54,-33
d3,2,-54,-54,-33
e2,3,-55,-54,-33
d3,2,-54,-54,-33
f3,3,-23,-54,-33
d3,2,-23,-54,-33
c3,1,-33,-57,-33
f3,2,-Infinity,-57,-33
b1,3,-91,-57,-33
