OOXOOXX*
OOOX*X*O
O**OX**O
OXOOXOX*
XXOOOO**
*X*XXOOX
X*X**XOX
OOX*OOOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
h1,3,364,-Infinity,Infinity
e2,2,364,364,Infinity
g2,3,221,364,Infinity
e2,2,364,364,Infinity
b3,3,269,364,Infinity
e2,2,364,364,Infinity
c3,3,274,364,Infinity
e2,2,364,364,Infinity
f3,3,266,364,Infinity
e2,2,364,364,Infinity
g3,3,253,364,Infinity
e2,2,364,364,Infinity
h4,3,265,364,Infinity
e2,2,364,364,Infinity
h5,3,271,364,Infinity
e2,2,364,364,Infinity
a6,3,269,364,Infinity
e2,2,364,364,Infinity
c6,3,282,364,Infinity
e2,2,364,364,Infinity
d7,3,278,364,Infinity
e2,2,364,364,Infinity
e7,3,270,364,Infinity
e2,2,364,364,Infinity
d8,3,287,364,Infinity
e2,2,364,364,Infinity
a1,1,364,-Infinity,364
b3,2,-Infinity,-Infinity,364
h1,3,373,-Infinity,364
b3,2,373,-Infinity,364
a1,1,364,-Infinity,364
c3,2,-Infinity,-Infinity,364
h1,3,370,-Infinity,364
c3,2,370,-Infinity,364
a1,1,364,-Infinity,364
f3,2,-Infinity,-Infinity,364
h1,3,340,-Infinity,364
f3,2,340,340,364
e2,3,240,340,364
f3,2,340,340,364
g2,3,231,340,364
f3,2,340,340,364
c3,3,242,340,364
f3,2,340,340,364
g3,3,259,340,364
f3,2,340,340,364
h4,3,249,340,364
f3,2,340,340,364
g5,3,246,340,364
f3,2,340,340,364
h5,3,247,340,364
f3,2,340,340,364
a6,3,239,340,364
f3,2,340,340,364
c6,3,272,340,364
f3,2,340,340,364
d7,3,256,340,364
f3,2,340,340,364
e7,3,246,340,364
f3,2,340,340,364
d8,3,263,340,364
f3,2,340,340,364
a1,1,340,-Infinity,340
g3,2,-Infinity,-Infinity,340
h1,3,373,-Infinity,340
g3,2,373,-Infinity,340
a1,1,340,-Infinity,340
g5,2,-Infinity,-Infinity,340
h1,3,356,-Infinity,340
g5,2,356,-Infinity,340
a1,1,340,-Infinity,340
h5,2,-Infinity,-Infinity,340
h1,3,379,-Infinity,340
h5,2,379,-Infinity,340
a1,1,340,-Infinity,340
c6,2,-Infinity,-Infinity,340
h1,3,370,-Infinity,340
c6,2,370,-Infinity,340
a1,1,340,-Infinity,340
root,0,340,340,Infinity
h1,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
e2,3,194,340,Infinity
a1,2,194,340,Infinity
c3,3,196,340,Infinity
a1,2,196,340,Infinity
f3,3,202,340,Infinity
a1,2,202,340,Infinity
g3,3,183,340,Infinity
a1,2,202,340,Infinity
h4,3,195,340,Infinity
a1,2,202,340,Infinity
h5,3,201,340,Infinity
a1,2,202,340,Infinity
a6,3,193,340,Infinity
a1,2,202,340,Infinity
c6,3,212,340,Infinity
a1,2,212,340,Infinity
d7,3,208,340,Infinity
a1,2,212,340,Infinity
e7,3,200,340,Infinity
a1,2,212,340,Infinity
d8,3,217,340,Infinity
a1,2,217,340,Infinity
h1,1,217,340,Infinity
root,0,340,340,Infinity
e2,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
h1,3,194,340,Infinity
a1,2,194,340,Infinity
g2,3,63,340,Infinity
a1,2,194,340,Infinity
g3,3,83,340,Infinity
a1,2,194,340,Infinity
h4,3,95,340,Infinity
a1,2,194,340,Infinity
h5,3,101,340,Infinity
a1,2,194,340,Infinity
a6,3,93,340,Infinity
a1,2,194,340,Infinity
c6,3,112,340,Infinity
a1,2,194,340,Infinity
d7,3,108,340,Infinity
a1,2,194,340,Infinity
e7,3,100,340,Infinity
a1,2,194,340,Infinity
d8,3,117,340,Infinity
a1,2,194,340,Infinity
e2,1,194,340,Infinity
root,0,340,340,Infinity
c3,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
h1,3,196,340,Infinity
a1,2,196,340,Infinity
e2,3,102,340,Infinity
a1,2,196,340,Infinity
f3,3,112,340,Infinity
a1,2,196,340,Infinity
g3,3,85,340,Infinity
a1,2,196,340,Infinity
h4,3,97,340,Infinity
a1,2,196,340,Infinity
h5,3,103,340,Infinity
a1,2,196,340,Infinity
a6,3,95,340,Infinity
a1,2,196,340,Infinity
c6,3,114,340,Infinity
a1,2,196,340,Infinity
d7,3,110,340,Infinity
a1,2,196,340,Infinity
e7,3,102,340,Infinity
a1,2,196,340,Infinity
d8,3,119,340,Infinity
a1,2,196,340,Infinity
c3,1,196,340,Infinity
root,0,340,340,Infinity
f3,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
h1,3,210,340,Infinity
a1,2,210,340,Infinity
e2,3,102,340,Infinity
a1,2,210,340,Infinity
c3,3,112,340,Infinity
a1,2,210,340,Infinity
g3,3,99,340,Infinity
a1,2,210,340,Infinity
h4,3,111,340,Infinity
a1,2,210,340,Infinity
h5,3,111,340,Infinity
a1,2,210,340,Infinity
a6,3,109,340,Infinity
a1,2,210,340,Infinity
c6,3,128,340,Infinity
a1,2,210,340,Infinity
d7,3,124,340,Infinity
a1,2,210,340,Infinity
e7,3,116,340,Infinity
a1,2,210,340,Infinity
d8,3,133,340,Infinity
a1,2,210,340,Infinity
f3,1,210,340,Infinity
root,0,340,340,Infinity
g3,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
h1,3,183,340,Infinity
a1,2,183,340,Infinity
e2,3,83,340,Infinity
a1,2,183,340,Infinity
c3,3,85,340,Infinity
a1,2,183,340,Infinity
f3,3,99,340,Infinity
a1,2,183,340,Infinity
h4,3,84,340,Infinity
a1,2,183,340,Infinity
g5,3,75,340,Infinity
a1,2,183,340,Infinity
h5,3,90,340,Infinity
a1,2,183,340,Infinity
a6,3,82,340,Infinity
a1,2,183,340,Infinity
c6,3,101,340,Infinity
a1,2,183,340,Infinity
d7,3,97,340,Infinity
a1,2,183,340,Infinity
e7,3,89,340,Infinity
a1,2,183,340,Infinity
d8,3,106,340,Infinity
a1,2,183,340,Infinity
g3,1,183,340,Infinity
root,0,340,340,Infinity
h4,1,Infinity,340,Infinity
a1,2,-Infinity,340,Infinity
h1,3,195,340,Infinity
a1,2,195,340,Infinity
e2,3,95,340,Infinity
a1,2,195,340,Infinity
c3,3,97,340,Infinity
a1,2,195,340,Infinity
f3,3,111,340,Infinity
a1,2,195,340,Infinity
g3,3,84,340,Infinity
a1,2,195,340,Infinity
h5,3,102,340,Infinity
a1,2,195,340,Infinity
a6,3,94,340,Infinity
a1,2,195,340,Infinity
c6,3,113,340,Infinity
