OO*O***O
O*X*XO*X
OXOOXOXO
XXO*XOXX
OX**XX*X
X*X**X**
*OOOXX**
OOOOXO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
d2,3,-209,-Infinity,Infinity
c1,2,-209,-209,Infinity
g2,3,-230,-209,Infinity
c1,2,-209,-209,Infinity
d4,3,-212,-209,Infinity
c1,2,-209,-209,Infinity
d5,3,-212,-209,Infinity
c1,2,-209,-209,Infinity
f5,3,-180,-209,Infinity
c1,2,-180,-180,Infinity
g5,3,-201,-180,Infinity
c1,2,-180,-180,Infinity
a7,3,-290,-180,Infinity
c1,2,-180,-180,Infinity
g7,3,-230,-180,Infinity
c1,2,-180,-180,Infinity
g8,3,-212,-180,Infinity
c1,2,-180,-180,Infinity
e1,1,-180,-Infinity,-180
f1,2,-Infinity,-Infinity,-180
g1,3,-242,-Infinity,-180
f1,2,-242,-242,-180
d2,3,-215,-242,-180
f1,2,-215,-215,-180
g2,3,-236,-215,-180
f1,2,-215,-215,-180
d4,3,-218,-215,-180
f1,2,-215,-215,-180
c5,3,-200,-215,-180
f1,2,-200,-200,-180
d5,3,-218,-200,-180
f1,2,-200,-200,-180
f5,3,-208,-200,-180
f1,2,-200,-200,-180
g5,3,-207,-200,-180
f1,2,-200,-200,-180
a7,3,-296,-200,-180
f1,2,-200,-200,-180
g7,3,-236,-200,-180
f1,2,-200,-200,-180
g8,3,-218,-200,-180
f1,2,-200,-200,-180
e1,1,-200,-Infinity,-200
d2,2,-Infinity,-Infinity,-200
c1,3,-205,-Infinity,-200
d2,2,-205,-205,-200
g2,3,-235,-205,-200
d2,2,-205,-205,-200
d4,3,-209,-205,-200
d2,2,-205,-205,-200
c5,3,-199,-205,-200
d2,2,-199,-205,-200
e1,1,-200,-Infinity,-200
d4,2,-Infinity,-Infinity,-200
c1,3,-200,-Infinity,-200
d4,2,-200,-Infinity,-200
e1,1,-200,-Infinity,-200
c5,2,-Infinity,-Infinity,-200
c1,3,-206,-Infinity,-200
c5,2,-206,-206,-200
g2,3,-236,-206,-200
c5,2,-206,-206,-200
d4,3,-224,-206,-200
c5,2,-206,-206,-200
d5,3,-218,-206,-200
c5,2,-206,-206,-200
f5,3,-186,-206,-200
c5,2,-186,-206,-200
e1,1,-200,-Infinity,-200
d5,2,-Infinity,-Infinity,-200
c1,3,-214,-Infinity,-200
d5,2,-214,-214,-200
d2,3,-223,-214,-200
d5,2,-214,-214,-200
d4,3,-218,-214,-200
d5,2,-214,-214,-200
c5,3,-208,-214,-200
d5,2,-208,-208,-200
f5,3,-186,-208,-200
d5,2,-186,-208,-200
e1,1,-200,-Infinity,-200
f5,2,-Infinity,-Infinity,-200
c1,3,-198,-Infinity,-200
f5,2,-198,-Infinity,-200
e1,1,-200,-Infinity,-200
d6,2,-Infinity,-Infinity,-200
c1,3,-198,-Infinity,-200
d6,2,-198,-Infinity,-200
e1,1,-200,-Infinity,-200
