*XXXOOXX
**XOOX*O
OOOOXOX*
O**XX**X
XOX**O*X
X*OXO*OO
***OOO**
XXXX***X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
a1,3,-202,-Infinity,Infinity
a2,2,-202,-202,Infinity
b2,3,-345,-202,Infinity
a2,2,-202,-202,Infinity
g2,3,-345,-202,Infinity
a2,2,-202,-202,Infinity
h3,3,-289,-202,Infinity
a2,2,-202,-202,Infinity
b4,3,-300,-202,Infinity
a2,2,-202,-202,Infinity
c4,3,-301,-202,Infinity
a2,2,-202,-202,Infinity
f4,3,-309,-202,Infinity
a2,2,-202,-202,Infinity
d5,3,-297,-202,Infinity
a2,2,-202,-202,Infinity
e5,3,-305,-202,Infinity
a2,2,-202,-202,Infinity
e1,1,-202,-Infinity,-202
b2,2,-Infinity,-Infinity,-202
a1,3,-172,-Infinity,-202
b2,2,-172,-Infinity,-202
e1,1,-202,-Infinity,-202
g2,2,-Infinity,-Infinity,-202
a1,3,-172,-Infinity,-202
g2,2,-172,-Infinity,-202
e1,1,-202,-Infinity,-202
h3,2,-Infinity,-Infinity,-202
a1,3,-174,-Infinity,-202
h3,2,-174,-Infinity,-202
e1,1,-202,-Infinity,-202
c4,2,-Infinity,-Infinity,-202
a1,3,-194,-Infinity,-202
c4,2,-194,-Infinity,-202
e1,1,-202,-Infinity,-202
f4,2,-Infinity,-Infinity,-202
a1,3,-200,-Infinity,-202
f4,2,-200,-Infinity,-202
e1,1,-202,-Infinity,-202
g4,2,-Infinity,-Infinity,-202
a1,3,-197,-Infinity,-202
g4,2,-197,-Infinity,-202
e1,1,-202,-Infinity,-202
b6,2,-Infinity,-Infinity,-202
a1,3,-192,-Infinity,-202
b6,2,-192,-Infinity,-202
e1,1,-202,-Infinity,-202
f6,2,-Infinity,-Infinity,-202
a1,3,-191,-Infinity,-202
f6,2,-191,-Infinity,-202
e1,1,-202,-Infinity,-202
c7,2,-Infinity,-Infinity,-202
a1,3,-192,-Infinity,-202
c7,2,-192,-Infinity,-202
e1,1,-202,-Infinity,-202
h7,2,-Infinity,-Infinity,-202
a1,3,-190,-Infinity,-202
h7,2,-190,-Infinity,-202
e1,1,-202,-Infinity,-202
e8,2,-Infinity,-Infinity,-202
a1,3,-172,-Infinity,-202
e8,2,-172,-Infinity,-202
e1,1,-202,-Infinity,-202
f8,2,-Infinity,-Infinity,-202
a1,3,-184,-Infinity,-202
f8,2,-184,-Infinity,-202
e1,1,-202,-Infinity,-202
root,0,-202,-202,Infinity
b2,1,Infinity,-202,Infinity
a1,2,-Infinity,-202,Infinity
a2,3,-452,-202,Infinity
a1,2,-452,-202,Infinity
g2,3,-428,-202,Infinity
a1,2,-428,-202,Infinity
h3,3,-372,-202,Infinity
a1,2,-372,-202,Infinity
b4,3,-369,-202,Infinity
a1,2,-369,-202,Infinity
c4,3,-370,-202,Infinity
a1,2,-369,-202,Infinity
f4,3,-392,-202,Infinity
