XOO*XXXO
XOXO*X*O
***XXXX*
XO**XOXO
*O*XX*OX
XX*XOOXO
XX***X**
OOXXXXXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
a3,3,-32,-Infinity,Infinity
e2,2,-32,-32,Infinity
b3,3,-64,-32,Infinity
e2,2,-32,-32,Infinity
c3,3,-47,-32,Infinity
e2,2,-32,-32,Infinity
h3,3,28,-32,Infinity
e2,2,28,28,Infinity
c4,3,0,28,Infinity
e2,2,28,28,Infinity
d4,3,24,28,Infinity
e2,2,28,28,Infinity
f5,3,28,28,Infinity
e2,2,28,28,Infinity
c6,3,9,28,Infinity
e2,2,28,28,Infinity
e7,3,15,28,Infinity
e2,2,28,28,Infinity
h7,3,16,28,Infinity
e2,2,28,28,Infinity
e8,3,30,28,Infinity
e2,2,30,30,Infinity
d1,1,30,-Infinity,30
g2,2,-Infinity,-Infinity,30
a3,3,-3,-Infinity,30
g2,2,-3,-3,30
b3,3,-27,-3,30
g2,2,-3,-3,30
c3,3,-4,-3,30
g2,2,-3,-3,30
h3,3,1,-3,30
g2,2,1,1,30
c4,3,29,1,30
g2,2,29,29,30
f5,3,57,29,30
g2,2,57,29,30
d1,1,30,-Infinity,30
c4,2,-Infinity,-Infinity,30
a3,3,-45,-Infinity,30
c4,2,-45,-45,30
b3,3,-53,-45,30
c4,2,-45,-45,30
c3,3,-46,-45,30
c4,2,-45,-45,30
h3,3,15,-45,30
c4,2,15,15,30
d4,3,-3,15,30
c4,2,15,15,30
c5,3,-1,15,30
c4,2,15,15,30
f5,3,15,15,30
c4,2,15,15,30
c6,3,-4,15,30
c4,2,15,15,30
e7,3,0,15,30
c4,2,15,15,30
g7,3,-15,15,30
c4,2,15,15,30
h7,3,3,15,30
c4,2,15,15,30
e8,3,17,15,30
c4,2,17,17,30
d1,1,17,-Infinity,17
d4,2,-Infinity,-Infinity,17
a3,3,-41,-Infinity,17
d4,2,-41,-41,17
b3,3,-65,-41,17
d4,2,-41,-41,17
c3,3,-42,-41,17
d4,2,-41,-41,17
h3,3,19,-41,17
d4,2,19,-41,17
