OXO*X**O
*OOX*X*O
OOOOO**X
****OO*O
OXO**OXX
**XXOO*O
XX**X***
X*OOOXOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
f1,3,237,-Infinity,Infinity
d1,2,237,237,Infinity
e2,3,196,237,Infinity
d1,2,237,237,Infinity
d3,3,223,237,Infinity
d1,2,237,237,Infinity
c4,3,223,237,Infinity
d1,2,237,237,Infinity
d4,3,219,237,Infinity
d1,2,237,237,Infinity
e5,3,205,237,Infinity
d1,2,237,237,Infinity
a6,3,165,237,Infinity
d1,2,237,237,Infinity
b6,3,223,237,Infinity
d1,2,237,237,Infinity
c7,3,215,237,Infinity
d1,2,237,237,Infinity
g1,1,237,-Infinity,237
a2,2,-Infinity,-Infinity,237
d1,3,289,-Infinity,237
a2,2,289,-Infinity,237
g1,1,237,-Infinity,237
e2,2,-Infinity,-Infinity,237
d3,3,240,-Infinity,237
e2,2,240,-Infinity,237
g1,1,237,-Infinity,237
d3,2,-Infinity,-Infinity,237
d1,3,229,-Infinity,237
d3,2,229,229,237
e2,3,214,229,237
d3,2,229,229,237
c4,3,241,229,237
d3,2,241,229,237
g1,1,237,-Infinity,237
g3,2,-Infinity,-Infinity,237
e2,3,230,-Infinity,237
g3,2,230,230,237
d3,3,257,230,237
g3,2,257,230,237
g1,1,237,-Infinity,237
b4,2,-Infinity,-Infinity,237
a2,3,222,-Infinity,237
b4,2,222,222,237
e2,3,269,222,237
b4,2,269,222,237
g1,1,237,-Infinity,237
c4,2,-Infinity,-Infinity,237
e2,3,206,-Infinity,237
c4,2,206,206,237
d3,3,233,206,237
c4,2,233,233,237
d4,3,229,233,237
c4,2,233,233,237
d5,3,225,233,237
c4,2,233,233,237
e5,3,215,233,237
c4,2,233,233,237
a6,3,175,233,237
c4,2,233,233,237
b6,3,233,233,237
c4,2,233,233,237
c7,3,255,233,237
