XXX*OOXO
XXO****X
XOXXX**O
X**XXX*O
XOXOOO**
XXOOOOO*
XO**XXOO
X**OOXXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
d2,2,-Infinity,-Infinity,Infinity
d1,3,200,-Infinity,Infinity
d2,2,200,200,Infinity
e2,3,165,200,Infinity
d2,2,200,200,Infinity
b4,3,165,200,Infinity
d2,2,200,200,Infinity
c4,3,180,200,Infinity
d2,2,200,200,Infinity
g5,3,145,200,Infinity
d2,2,200,200,Infinity
h5,3,208,200,Infinity
d2,2,208,208,Infinity
h6,3,162,208,Infinity
d2,2,208,208,Infinity
c7,3,152,208,Infinity
d2,2,208,208,Infinity
d7,3,187,208,Infinity
d2,2,208,208,Infinity
b8,3,126,208,Infinity
d2,2,208,208,Infinity
c8,3,166,208,Infinity
d2,2,208,208,Infinity
a1,1,208,-Infinity,208
e2,2,-Infinity,-Infinity,208
d1,3,200,-Infinity,208
e2,2,200,200,208
d2,3,179,200,208
e2,2,200,200,208
f2,3,186,200,208
e2,2,200,200,208
f3,3,163,200,208
e2,2,200,200,208
b4,3,165,200,208
e2,2,200,200,208
c4,3,180,200,208
e2,2,200,200,208
g5,3,145,200,208
e2,2,200,200,208
h5,3,208,200,208
e2,2,208,200,208
a1,1,208,-Infinity,208
f3,2,-Infinity,-Infinity,208
d1,3,160,-Infinity,208
f3,2,160,160,208
d2,3,139,160,208
f3,2,160,160,208
e2,3,155,160,208
f3,2,160,160,208
f2,3,190,160,208
f3,2,190,190,208
g2,3,98,190,208
f3,2,190,190,208
g3,3,174,190,208
f3,2,190,190,208
b4,3,125,190,208
f3,2,190,190,208
c4,3,146,190,208
f3,2,190,190,208
g4,3,147,190,208
f3,2,190,190,208
g5,3,105,190,208
f3,2,190,190,208
h5,3,168,190,208
f3,2,190,190,208
h6,3,122,190,208
f3,2,190,190,208
c7,3,104,190,208
f3,2,190,190,208
d7,3,155,190,208
f3,2,190,190,208
b8,3,86,190,208
f3,2,190,190,208
c8,3,126,190,208
f3,2,190,190,208
a1,1,190,-Infinity,190
g3,2,-Infinity,-Infinity,190
d1,3,201,-Infinity,190
g3,2,201,-Infinity,190
a1,1,190,-Infinity,190
b4,2,-Infinity,-Infinity,190
d1,3,200,-Infinity,190
b4,2,200,-Infinity,190
a1,1,190,-Infinity,190
c4,2,-Infinity,-Infinity,190
d1,3,179,-Infinity,190
c4,2,179,179,190
d2,3,150,179,190
c4,2,179,179,190
b4,3,168,179,190
c4,2,179,179,190
g5,3,126,179,190
c4,2,179,179,190
h5,3,187,179,190
c4,2,187,187,190
h6,3,141,187,190
c4,2,187,187,190
c7,3,153,187,190
c4,2,187,187,190
d7,3,174,187,190
c4,2,187,187,190
b8,3,105,187,190
c4,2,187,187,190
c8,3,145,187,190
c4,2,187,187,190
a1,1,187,-Infinity,187
d7,2,-Infinity,-Infinity,187
d1,3,222,-Infinity,187
d7,2,222,-Infinity,187
a1,1,187,-Infinity,187
root,0,187,187,Infinity
d1,1,Infinity,187,Infinity
a1,2,-Infinity,187,Infinity
b4,3,52,187,Infinity
a1,2,52,187,Infinity
c4,3,73,187,Infinity
a1,2,73,187,Infinity
g5,3,24,187,Infinity
a1,2,73,187,Infinity
h5,3,87,187,Infinity
a1,2,87,187,Infinity
h6,3,41,187,Infinity
a1,2,87,187,Infinity
c7,3,31,187,Infinity
a1,2,87,187,Infinity
d7,3,66,187,Infinity
a1,2,87,187,Infinity
b8,3,5,187,Infinity
a1,2,87,187,Infinity
c8,3,45,187,Infinity
a1,2,87,187,Infinity
d1,1,87,187,Infinity
root,0,187,187,Infinity
d2,1,Infinity,187,Infinity
a1,2,-Infinity,187,Infinity
d1,3,50,187,Infinity
a1,2,50,187,Infinity
b4,3,21,187,Infinity
a1,2,50,187,Infinity
c4,3,36,187,Infinity
a1,2,50,187,Infinity
g5,3,-21,187,Infinity
a1,2,50,187,Infinity
h5,3,42,187,Infinity
a1,2,50,187,Infinity
h6,3,-4,187,Infinity
a1,2,50,187,Infinity
c7,3,-14,187,Infinity
a1,2,50,187,Infinity
d7,3,21,187,Infinity
a1,2,50,187,Infinity
b8,3,-40,187,Infinity
a1,2,50,187,Infinity
c8,3,0,187,Infinity
a1,2,50,187,Infinity
d2,1,50,187,Infinity
root,0,187,187,Infinity
b4,1,Infinity,187,Infinity
a1,2,-Infinity,187,Infinity
d1,3,36,187,Infinity
a1,2,36,187,Infinity
d2,3,21,187,Infinity
a1,2,36,187,Infinity
c4,3,28,187,Infinity
a1,2,36,187,Infinity
g5,3,-27,187,Infinity
a1,2,36,187,Infinity
h5,3,36,187,Infinity
a1,2,36,187,Infinity
h6,3,-10,187,Infinity
a1,2,36,187,Infinity
c7,3,-20,187,Infinity
a1,2,36,187,Infinity
d7,3,29,187,Infinity
a1,2,36,187,Infinity
b8,3,-46,187,Infinity
a1,2,36,187,Infinity
c8,3,-6,187,Infinity
a1,2,36,187,Infinity
b4,1,36,187,Infinity
root,0,187,187,Infinity
c4,1,Infinity,187,Infinity
a1,2,-Infinity,187,Infinity
d1,3,67,187,Infinity
a1,2,67,187,Infinity
g4,3,38,187,Infinity
a1,2,67,187,Infinity
g5,3,-4,187,Infinity
a1,2,67,187,Infinity
h5,3,59,187,Infinity
a1,2,67,187,Infinity
h6,3,-17,187,Infinity
a1,2,67,187,Infinity
c7,3,3,187,Infinity
a1,2,67,187,Infinity
d7,3,52,187,Infinity
a1,2,67,187,Infinity
b8,3,-23,187,Infinity
a1,2,67,187,Infinity
c8,3,17,187,Infinity
a1,2,67,187,Infinity
c4,1,67,187,Infinity
root,0,187,187,Infinity
g5,1,Infinity,187,Infinity
d1,2,-Infinity,187,Infinity
a1,3,184,187,Infinity
d1,2,184,187,Infinity
d2,3,22,187,Infinity
d1,2,184,187,Infinity
b4,3,16,187,Infinity
d1,2,184,187,Infinity
c4,3,31,187,Infinity
d1,2,184,187,Infinity
h5,3,67,187,Infinity
d1,2,184,187,Infinity
h6,3,25,187,Infinity
d1,2,184,187,Infinity
c7,3,3,187,Infinity
d1,2,184,187,Infinity
d7,3,46,187,Infinity
d1,2,184,187,Infinity
b8,3,-23,187,Infinity
d1,2,184,187,Infinity
c8,3,17,187,Infinity
d1,2,184,187,Infinity
g5,1,184,187,Infinity
root,0,187,187,Infinity
h5,1,Infinity,187,Infinity
a1,2,-Infinity,187,Infinity
d1,3,87,187,Infinity
a1,2,87,187,Infinity
b4,3,44,187,Infinity
a1,2,87,187,Infinity
c4,3,65,187,Infinity
a1,2,87,187,Infinity
g5,3,72,187,Infinity
