OXXXXO*O
XO*X*O*X
X*XOOOOX
OOXOO*XO
OX**XOO*
*XO*O***
XO*OOX*O
OOXOXX*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g2,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
b3,3,186,-Infinity,Infinity
g1,2,186,186,Infinity
f4,3,174,186,Infinity
g1,2,186,186,Infinity
c5,3,174,186,Infinity
g1,2,186,186,Infinity
d5,3,176,186,Infinity
g1,2,186,186,Infinity
h5,3,176,186,Infinity
g1,2,186,186,Infinity
a6,3,162,186,Infinity
g1,2,186,186,Infinity
f6,3,183,186,Infinity
g1,2,186,186,Infinity
c7,3,164,186,Infinity
g1,2,186,186,Infinity
g7,3,144,186,Infinity
g1,2,186,186,Infinity
g8,3,188,186,Infinity
g1,2,188,188,Infinity
g2,1,188,-Infinity,188
c2,2,-Infinity,-Infinity,188
b3,3,190,-Infinity,188
c2,2,190,-Infinity,188
g2,1,188,-Infinity,188
e2,2,-Infinity,-Infinity,188
g1,3,109,-Infinity,188
e2,2,109,109,188
c2,3,169,109,188
e2,2,169,169,188
e3,3,183,169,188
e2,2,183,183,188
f4,3,169,183,188
e2,2,183,183,188
c5,3,163,183,188
e2,2,183,183,188
d5,3,165,183,188
e2,2,183,183,188
a6,3,153,183,188
e2,2,183,183,188
f6,3,172,183,188
e2,2,183,183,188
c7,3,153,183,188
e2,2,183,183,188
g7,3,133,183,188
e2,2,183,183,188
g8,3,177,183,188
e2,2,183,183,188
g2,1,183,-Infinity,183
b3,2,-Infinity,-Infinity,183
c2,3,174,-Infinity,183
b3,2,174,174,183
f4,3,184,174,183
b3,2,184,174,183
g2,1,183,-Infinity,183
e3,2,-Infinity,-Infinity,183
c2,3,114,-Infinity,183
e3,2,114,114,183
e2,3,115,114,183
e3,2,115,115,183
f4,3,122,115,183
e3,2,122,122,183
c5,3,108,122,183
e3,2,122,122,183
d5,3,124,122,183
e3,2,124,124,183
a6,3,94,124,183
e3,2,124,124,183
f6,3,117,124,183
e3,2,124,124,183
c7,3,98,124,183
e3,2,124,124,183
g7,3,78,124,183
e3,2,124,124,183
g8,3,122,124,183
e3,2,124,124,183
g2,1,124,-Infinity,124
f4,2,-Infinity,-Infinity,124
b3,3,142,-Infinity,124
f4,2,142,-Infinity,124
g2,1,124,-Infinity,124
c5,2,-Infinity,-Infinity,124
c2,3,156,-Infinity,124
c5,2,156,-Infinity,124
g2,1,124,-Infinity,124
d5,2,-Infinity,-Infinity,124
c2,3,116,-Infinity,124
d5,2,116,116,124
f4,3,110,116,124
d5,2,116,116,124
c5,3,110,116,124
d5,2,116,116,124
h5,3,112,116,124
d5,2,116,116,124
a6,3,96,116,124
d5,2,116,116,124
f6,3,133,116,124
d5,2,133,116,124
g2,1,124,-Infinity,124
h5,2,-Infinity,-Infinity,124
b3,3,118,-Infinity,124
h5,2,118,118,124
c5,3,106,118,124
h5,2,118,118,124
a6,3,94,118,124
h5,2,118,118,124
f6,3,115,118,124
h5,2,118,118,124
g6,3,100,118,124
h5,2,118,118,124
h6,3,140,118,124
h5,2,140,118,124
g2,1,124,-Infinity,124
a6,2,-Infinity,-Infinity,124
b3,3,154,-Infinity,124
a6,2,154,-Infinity,124
g2,1,124,-Infinity,124
d6,2,-Infinity,-Infinity,124
b3,3,126,-Infinity,124
d6,2,126,-Infinity,124
g2,1,124,-Infinity,124
g6,2,-Infinity,-Infinity,124
b3,3,148,-Infinity,124
g6,2,148,-Infinity,124
g2,1,124,-Infinity,124
h6,2,-Infinity,-Infinity,124
b3,3,146,-Infinity,124
h6,2,146,-Infinity,124
g2,1,124,-Infinity,124
c7,2,-Infinity,-Infinity,124
b3,3,202,-Infinity,124
c7,2,202,-Infinity,124
g2,1,124,-Infinity,124
root,0,124,124,Infinity
b3,1,Infinity,124,Infinity
g1,2,-Infinity,124,Infinity
g2,3,130,124,Infinity
g1,2,130,130,Infinity
e3,3,158,130,Infinity
g1,2,158,158,Infinity
f4,3,152,158,Infinity
g1,2,158,158,Infinity
c5,3,146,158,Infinity
g1,2,158,158,Infinity
d5,3,148,158,Infinity
g1,2,158,158,Infinity
a6,3,126,158,Infinity
g1,2,158,158,Infinity
f6,3,147,158,Infinity
g1,2,158,158,Infinity
c7,3,128,158,Infinity
g1,2,158,158,Infinity
g7,3,108,158,Infinity
g1,2,158,158,Infinity
g8,3,152,158,Infinity
g1,2,158,158,Infinity
b3,1,158,124,158
c2,2,-Infinity,124,158
g2,3,176,124,158
c2,2,176,124,158
b3,1,158,124,158
e2,2,-Infinity,124,158
c2,3,135,124,158
e2,2,135,135,158
g2,3,133,135,158
e2,2,135,135,158
e3,3,169,135,158
e2,2,169,135,158
b3,1,158,124,158
g2,2,-Infinity,124,158
g1,3,110,124,158
g2,2,110,124,158
f4,3,192,124,158
g2,2,192,124,158
b3,1,158,124,158
e3,2,-Infinity,124,158
c2,3,126,124,158
e3,2,126,126,158
e2,3,135,126,158
e3,2,135,135,158
f4,3,142,135,158
e3,2,142,142,158
c5,3,128,142,158
e3,2,142,142,158
d5,3,130,142,158
e3,2,142,142,158
a6,3,114,142,158
e3,2,142,142,158
f6,3,137,142,158
e3,2,142,142,158
c7,3,118,142,158
e3,2,142,142,158
g7,3,98,142,158
e3,2,142,142,158
g8,3,142,142,158
e3,2,142,142,158
b3,1,142,124,142
f4,2,-Infinity,124,142
g2,3,114,124,142
f4,2,114,124,142
