OXXXXXXO
OX***XOO
OOOX*OX*
**OO*XX*
XXXXO**X
*OOX*OX*
**XXXOOO
*XXXXXXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c2,1,Infinity,-Infinity,Infinity
d2,2,-Infinity,-Infinity,Infinity
e2,3,29,-Infinity,Infinity
d2,2,29,29,Infinity
e3,3,30,29,Infinity
d2,2,30,30,Infinity
h3,3,-30,30,Infinity
d2,2,30,30,Infinity
a4,3,0,30,Infinity
d2,2,30,30,Infinity
b4,3,-49,30,Infinity
d2,2,30,30,Infinity
e4,3,10,30,Infinity
d2,2,30,30,Infinity
f5,3,14,30,Infinity
d2,2,30,30,Infinity
g5,3,21,30,Infinity
d2,2,30,30,Infinity
a6,3,24,30,Infinity
d2,2,30,30,Infinity
e6,3,28,30,Infinity
d2,2,30,30,Infinity
h6,3,2,30,Infinity
d2,2,30,30,Infinity
a7,3,-6,30,Infinity
d2,2,30,30,Infinity
b7,3,-8,30,Infinity
d2,2,30,30,Infinity
f8,3,14,30,Infinity
d2,2,30,30,Infinity
c2,1,30,-Infinity,30
e2,2,-Infinity,-Infinity,30
e3,3,-26,-Infinity,30
e2,2,-26,-26,30
h3,3,-70,-26,30
e2,2,-26,-26,30
a4,3,-32,-26,30
e2,2,-26,-26,30
b4,3,-41,-26,30
e2,2,-26,-26,30
e4,3,-30,-26,30
e2,2,-26,-26,30
f5,3,-26,-26,30
e2,2,-26,-26,30
g5,3,-19,-26,30
e2,2,-19,-19,30
a6,3,-16,-19,30
e2,2,-16,-16,30
e6,3,-12,-16,30
e2,2,-12,-12,30
h6,3,-38,-12,30
e2,2,-12,-12,30
a7,3,-46,-12,30
e2,2,-12,-12,30
b7,3,-48,-12,30
e2,2,-12,-12,30
f8,3,-26,-12,30
e2,2,-12,-12,30
c2,1,-12,-Infinity,-12
e3,2,-Infinity,-Infinity,-12
d2,3,-54,-Infinity,-12
e3,2,-54,-54,-12
e2,3,-48,-54,-12
e3,2,-48,-48,-12
h3,3,-107,-48,-12
e3,2,-48,-48,-12
a4,3,-69,-48,-12
e3,2,-48,-48,-12
b4,3,-78,-48,-12
e3,2,-48,-48,-12
e4,3,-59,-48,-12
e3,2,-48,-48,-12
f5,3,-63,-48,-12
e3,2,-48,-48,-12
g5,3,-56,-48,-12
e3,2,-48,-48,-12
a6,3,-53,-48,-12
e3,2,-48,-48,-12
e6,3,-49,-48,-12
e3,2,-48,-48,-12
h6,3,-75,-48,-12
e3,2,-48,-48,-12
a7,3,-83,-48,-12
e3,2,-48,-48,-12
b7,3,-85,-48,-12
e3,2,-48,-48,-12
f8,3,-63,-48,-12
e3,2,-48,-48,-12
c2,1,-48,-Infinity,-48
h3,2,-Infinity,-Infinity,-48
e2,3,-30,-Infinity,-48
h3,2,-30,-Infinity,-48
c2,1,-48,-Infinity,-48
a4,2,-Infinity,-Infinity,-48
e2,3,-30,-Infinity,-48
a4,2,-30,-Infinity,-48
c2,1,-48,-Infinity,-48
b4,2,-Infinity,-Infinity,-48
e2,3,-29,-Infinity,-48
b4,2,-29,-Infinity,-48
c2,1,-48,-Infinity,-48
e4,2,-Infinity,-Infinity,-48
e2,3,-30,-Infinity,-48
e4,2,-30,-Infinity,-48
c2,1,-48,-Infinity,-48
f5,2,-Infinity,-Infinity,-48
e2,3,-34,-Infinity,-48
f5,2,-34,-Infinity,-48
c2,1,-48,-Infinity,-48
g5,2,-Infinity,-Infinity,-48
e2,3,-11,-Infinity,-48
g5,2,-11,-Infinity,-48
c2,1,-48,-Infinity,-48
e6,2,-Infinity,-Infinity,-48
e2,3,-44,-Infinity,-48
e6,2,-44,-Infinity,-48
c2,1,-48,-Infinity,-48
h6,2,-Infinity,-Infinity,-48
e2,3,-30,-Infinity,-48
h6,2,-30,-Infinity,-48
c2,1,-48,-Infinity,-48
b7,2,-Infinity,-Infinity,-48
e2,3,14,-Infinity,-48
b7,2,14,-Infinity,-48
c2,1,-48,-Infinity,-48
a8,2,-Infinity,-Infinity,-48
e2,3,-141,-Infinity,-48
a8,2,-141,-141,-48
e3,3,-134,-141,-48
a8,2,-134,-134,-48
h3,3,-192,-134,-48
a8,2,-134,-134,-48
a4,3,-154,-134,-48
a8,2,-134,-134,-48
b4,3,-163,-134,-48
a8,2,-134,-134,-48
e4,3,-152,-134,-48
a8,2,-134,-134,-48
f5,3,-148,-134,-48
a8,2,-134,-134,-48
g5,3,-141,-134,-48
a8,2,-134,-134,-48
a6,3,-138,-134,-48
a8,2,-134,-134,-48
e6,3,-134,-134,-48
a8,2,-134,-134,-48
h6,3,-160,-134,-48
a8,2,-134,-134,-48
a7,3,-168,-134,-48
a8,2,-134,-134,-48
b7,3,-170,-134,-48
a8,2,-134,-134,-48
f8,3,-160,-134,-48
a8,2,-134,-134,-48
c2,1,-134,-Infinity,-134
root,0,-134,-134,Infinity
e2,1,Infinity,-134,Infinity
c2,2,-Infinity,-134,Infinity
e3,3,8,-134,Infinity
c2,2,8,8,Infinity
