OOOOO*OO
*XOX*OX*
XO**XOX*
XOXXX*O*
X**XXO*X
*OO**O*X
**XOXX*X
**XX*XO*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
a2,2,-Infinity,-Infinity,Infinity
e2,3,211,-Infinity,Infinity
a2,2,211,211,Infinity
h2,3,164,211,Infinity
a2,2,211,211,Infinity
c3,3,173,211,Infinity
a2,2,211,211,Infinity
d3,3,226,211,Infinity
a2,2,226,226,Infinity
h3,3,220,226,Infinity
a2,2,226,226,Infinity
f4,3,234,226,Infinity
a2,2,234,234,Infinity
h4,3,218,234,Infinity
a2,2,234,234,Infinity
c5,3,232,234,Infinity
a2,2,234,234,Infinity
a6,3,252,234,Infinity
a2,2,252,252,Infinity
e6,3,216,252,Infinity
a2,2,252,252,Infinity
b7,3,188,252,Infinity
a2,2,252,252,Infinity
g7,3,182,252,Infinity
a2,2,252,252,Infinity
e8,3,242,252,Infinity
a2,2,252,252,Infinity
a1,1,252,-Infinity,252
e2,2,-Infinity,-Infinity,252
a2,3,151,-Infinity,252
e2,2,151,151,252
h2,3,131,151,252
e2,2,151,151,252
c3,3,160,151,252
e2,2,160,160,252
d3,3,205,160,252
e2,2,205,205,252
h3,3,209,205,252
e2,2,209,209,252
f4,3,221,209,252
e2,2,221,221,252
h4,3,197,221,252
e2,2,221,221,252
c5,3,211,221,252
e2,2,221,221,252
g5,3,142,221,252
e2,2,221,221,252
e6,3,213,221,252
e2,2,221,221,252
b7,3,175,221,252
e2,2,221,221,252
g7,3,169,221,252
e2,2,221,221,252
e8,3,229,221,252
e2,2,229,229,252
a1,1,229,-Infinity,229
c3,2,-Infinity,-Infinity,229
a2,3,155,-Infinity,229
c3,2,155,155,229
e2,3,202,155,229
c3,2,202,202,229
h2,3,155,202,229
c3,2,202,202,229
d3,3,217,202,229
c3,2,217,217,229
h3,3,211,217,229
c3,2,217,217,229
f4,3,217,217,229
c3,2,217,217,229
h4,3,209,217,229
c3,2,217,217,229
b5,3,146,217,229
c3,2,217,217,229
c5,3,245,217,229
c3,2,245,217,229
a1,1,229,-Infinity,229
f4,2,-Infinity,-Infinity,229
a2,3,122,-Infinity,229
f4,2,122,122,229
e2,3,169,122,229
f4,2,169,169,229
h2,3,122,169,229
f4,2,169,169,229
c3,3,131,169,229
f4,2,169,169,229
d3,3,184,169,229
f4,2,184,184,229
h3,3,178,184,229
f4,2,184,184,229
h4,3,176,184,229
f4,2,184,184,229
c5,3,190,184,229
f4,2,190,190,229
g5,3,185,190,229
f4,2,190,190,229
e6,3,190,190,229
f4,2,190,190,229
b7,3,146,190,229
f4,2,190,190,229
g7,3,140,190,229
f4,2,190,190,229
e8,3,200,190,229
f4,2,200,200,229
a1,1,200,-Infinity,200
b5,2,-Infinity,-Infinity,200
a2,3,165,-Infinity,200
b5,2,165,165,200
e2,3,212,165,200
b5,2,212,165,200
a1,1,200,-Infinity,200
c5,2,-Infinity,-Infinity,200
a2,3,136,-Infinity,200
c5,2,136,136,200
e2,3,183,136,200
c5,2,183,183,200
h2,3,136,183,200
c5,2,183,183,200
c3,3,145,183,200
c5,2,183,183,200
d3,3,198,183,200
c5,2,198,198,200
h3,3,192,198,200
c5,2,198,198,200
f4,3,198,198,200
c5,2,198,198,200
h4,3,190,198,200
c5,2,198,198,200
b5,3,205,198,200
c5,2,205,198,200
a1,1,200,-Infinity,200
g5,2,-Infinity,-Infinity,200
a2,3,135,-Infinity,200
g5,2,135,135,200
e2,3,182,135,200
g5,2,182,182,200
h2,3,135,182,200
g5,2,182,182,200
c3,3,144,182,200
g5,2,182,182,200
d3,3,197,182,200
g5,2,197,197,200
h3,3,191,197,200
g5,2,197,197,200
f4,3,205,197,200
g5,2,205,197,200
a1,1,200,-Infinity,200
d6,2,-Infinity,-Infinity,200
a2,3,150,-Infinity,200
d6,2,150,150,200
e2,3,197,150,200
d6,2,197,197,200
h2,3,150,197,200
d6,2,197,197,200
c3,3,159,197,200
d6,2,197,197,200
d3,3,212,197,200
d6,2,212,197,200
a1,1,200,-Infinity,200
e6,2,-Infinity,-Infinity,200
a2,3,150,-Infinity,200
e6,2,150,150,200
e2,3,197,150,200
e6,2,197,197,200
h2,3,150,197,200
e6,2,197,197,200
c3,3,159,197,200
e6,2,197,197,200
d3,3,212,197,200
e6,2,212,197,200
a1,1,200,-Infinity,200
g6,2,-Infinity,-Infinity,200
a2,3,144,-Infinity,200
g6,2,144,144,200
e2,3,191,144,200
g6,2,191,191,200
h2,3,144,191,200
g6,2,191,191,200
c3,3,153,191,200
g6,2,191,191,200
d3,3,206,191,200
g6,2,206,191,200
a1,1,200,-Infinity,200
b7,2,-Infinity,-Infinity,200
a2,3,158,-Infinity,200
b7,2,158,158,200
e2,3,205,158,200
b7,2,205,158,200
a1,1,200,-Infinity,200
g7,2,-Infinity,-Infinity,200
a2,3,158,-Infinity,200
g7,2,158,158,200
e2,3,205,158,200
g7,2,205,158,200
a1,1,200,-Infinity,200
h8,2,-Infinity,-Infinity,200
a2,3,65,-Infinity,200
h8,2,65,65,200
e2,3,112,65,200
h8,2,112,112,200
h2,3,65,112,200
h8,2,112,112,200
c3,3,74,112,200
h8,2,112,112,200
d3,3,127,112,200
h8,2,127,127,200
h3,3,121,127,200
h8,2,127,127,200
f4,3,135,127,200
h8,2,135,135,200
h4,3,119,135,200
h8,2,135,135,200
c5,3,133,135,200
h8,2,135,135,200
e6,3,133,135,200
h8,2,135,135,200
b7,3,89,135,200
h8,2,135,135,200
g7,3,83,135,200
h8,2,135,135,200
a1,1,135,-Infinity,135
root,0,135,135,Infinity
a2,1,Infinity,135,Infinity
a1,2,-Infinity,135,Infinity
e2,3,-27,135,Infinity
a1,2,-27,135,Infinity
h2,3,-74,135,Infinity
a1,2,-27,135,Infinity
c3,3,-17,135,Infinity
a1,2,-17,135,Infinity
d3,3,-12,135,Infinity
a1,2,-12,135,Infinity
h3,3,-18,135,Infinity
a1,2,-12,135,Infinity
f4,3,-4,135,Infinity
a1,2,-4,135,Infinity
h4,3,-20,135,Infinity
a1,2,-4,135,Infinity
c5,3,-6,135,Infinity
a1,2,-4,135,Infinity
e6,3,-14,135,Infinity
a1,2,-4,135,Infinity
b7,3,-50,135,Infinity
a1,2,-4,135,Infinity
g7,3,-56,135,Infinity
a1,2,-4,135,Infinity
e8,3,4,135,Infinity
a1,2,4,135,Infinity
a2,1,4,135,Infinity
root,0,135,135,Infinity
e2,1,Infinity,135,Infinity
f1,2,-Infinity,135,Infinity
a1,3,203,135,Infinity
f1,2,203,203,Infinity
a2,3,8,203,Infinity
