OOX*XXOX
XO*X*O*X
OOXOOXXO
O*XXXXXO
XXXOXOXO
X**OOX**
XOO*O*XX
XXX*O*OO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c2,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
e2,3,-148,-Infinity,Infinity
d1,2,-148,-148,Infinity
b4,3,-158,-148,Infinity
d1,2,-148,-148,Infinity
c6,3,-132,-148,Infinity
d1,2,-132,-132,Infinity
g6,3,-143,-132,Infinity
d1,2,-132,-132,Infinity
h6,3,-99,-132,Infinity
d1,2,-99,-99,Infinity
d7,3,-190,-99,Infinity
d1,2,-99,-99,Infinity
f7,3,-143,-99,Infinity
d1,2,-99,-99,Infinity
a8,3,-64,-99,Infinity
d1,2,-64,-64,Infinity
d8,3,-147,-64,Infinity
d1,2,-64,-64,Infinity
f8,3,-137,-64,Infinity
d1,2,-64,-64,Infinity
c2,1,-64,-Infinity,-64
e2,2,-Infinity,-Infinity,-64
g2,3,-132,-Infinity,-64
e2,2,-132,-132,-64
b4,3,-119,-132,-64
e2,2,-119,-119,-64
c6,3,-93,-119,-64
e2,2,-93,-93,-64
g6,3,-104,-93,-64
e2,2,-93,-93,-64
h6,3,-60,-93,-64
e2,2,-60,-93,-64
c2,1,-64,-Infinity,-64
g2,2,-Infinity,-Infinity,-64
e2,3,-130,-Infinity,-64
g2,2,-130,-130,-64
b4,3,-104,-130,-64
g2,2,-104,-104,-64
c6,3,-112,-104,-64
g2,2,-104,-104,-64
g6,3,-89,-104,-64
g2,2,-89,-89,-64
h6,3,-45,-89,-64
g2,2,-45,-89,-64
c2,1,-64,-Infinity,-64
b4,2,-Infinity,-Infinity,-64
e2,3,-113,-Infinity,-64
b4,2,-113,-113,-64
c6,3,-87,-113,-64
b4,2,-87,-87,-64
g6,3,-114,-87,-64
b4,2,-87,-87,-64
h6,3,-70,-87,-64
b4,2,-70,-70,-64
d7,3,-169,-70,-64
b4,2,-70,-70,-64
f7,3,-114,-70,-64
b4,2,-70,-70,-64
a8,3,-35,-70,-64
b4,2,-35,-70,-64
c2,1,-64,-Infinity,-64
b6,2,-Infinity,-Infinity,-64
e2,3,-102,-Infinity,-64
b6,2,-102,-102,-64
b4,3,-118,-102,-64
b6,2,-102,-102,-64
c6,3,-92,-102,-64
b6,2,-92,-92,-64
g6,3,-103,-92,-64
b6,2,-92,-92,-64
h6,3,-59,-92,-64
b6,2,-59,-92,-64
c2,1,-64,-Infinity,-64
c6,2,-Infinity,-Infinity,-64
e2,3,-99,-Infinity,-64
c6,2,-99,-99,-64
b4,3,-115,-99,-64
c6,2,-99,-99,-64
b6,3,-78,-99,-64
c6,2,-78,-78,-64
g6,3,-100,-78,-64
c6,2,-78,-78,-64
h6,3,-56,-78,-64
c6,2,-56,-78,-64
c2,1,-64,-Infinity,-64
g6,2,-Infinity,-Infinity,-64
e2,3,-60,-Infinity,-64
g6,2,-60,-Infinity,-64
c2,1,-64,-Infinity,-64
h6,2,-Infinity,-Infinity,-64
e2,3,-92,-Infinity,-64
h6,2,-92,-92,-64
b4,3,-108,-92,-64
h6,2,-92,-92,-64
c6,3,-82,-92,-64
h6,2,-82,-82,-64
g6,3,-99,-82,-64
h6,2,-82,-82,-64
d7,3,-132,-82,-64
h6,2,-82,-82,-64
f7,3,-93,-82,-64
h6,2,-82,-82,-64
a8,3,-14,-82,-64
h6,2,-14,-82,-64
c2,1,-64,-Infinity,-64
f7,2,-Infinity,-Infinity,-64
e2,3,-108,-Infinity,-64
f7,2,-108,-108,-64
b4,3,-124,-108,-64
f7,2,-108,-108,-64
c6,3,-114,-108,-64
f7,2,-108,-108,-64
g6,3,-109,-108,-64
f7,2,-108,-108,-64
h6,3,-65,-108,-64
f7,2,-65,-65,-64
d7,3,-162,-65,-64
f7,2,-65,-65,-64
a8,3,-30,-65,-64
f7,2,-30,-65,-64
c2,1,-64,-Infinity,-64
a8,2,-Infinity,-Infinity,-64
e2,3,-209,-Infinity,-64
a8,2,-209,-209,-64
b4,3,-225,-209,-64
a8,2,-209,-209,-64
c6,3,-199,-209,-64
a8,2,-199,-199,-64
g6,3,-210,-199,-64
a8,2,-199,-199,-64
h6,3,-166,-199,-64
a8,2,-166,-166,-64
d7,3,-193,-166,-64
a8,2,-166,-166,-64
f7,3,-210,-166,-64
a8,2,-166,-166,-64
d8,3,-214,-166,-64
a8,2,-166,-166,-64
f8,3,-204,-166,-64
a8,2,-166,-166,-64
c2,1,-166,-Infinity,-166
d8,2,-Infinity,-Infinity,-166
e2,3,-120,-Infinity,-166
d8,2,-120,-Infinity,-166
c2,1,-166,-Infinity,-166
root,0,-166,-166,Infinity
e2,1,Infinity,-166,Infinity
d1,2,-Infinity,-166,Infinity
c2,3,-144,-166,Infinity
d1,2,-144,-144,Infinity
g2,3,-110,-144,Infinity
d1,2,-110,-110,Infinity
c6,3,-85,-110,Infinity
d1,2,-85,-85,Infinity
g6,3,-96,-85,Infinity
d1,2,-85,-85,Infinity
