*X*OXOOX
OOX*XOXX
XOX****X
X*OOOX*X
XOOX*OOX
*XX**OOX
OXX*OO*X
X*OOOXOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
d2,3,278,-Infinity,Infinity
c1,2,278,278,Infinity
d3,3,291,278,Infinity
c1,2,291,291,Infinity
e3,3,301,291,Infinity
c1,2,301,301,Infinity
f3,3,296,301,Infinity
c1,2,301,301,Infinity
g3,3,277,301,Infinity
c1,2,301,301,Infinity
b4,3,280,301,Infinity
c1,2,301,301,Infinity
h4,3,339,301,Infinity
c1,2,339,339,Infinity
e5,3,303,339,Infinity
c1,2,339,339,Infinity
a6,3,281,339,Infinity
c1,2,339,339,Infinity
d6,3,287,339,Infinity
c1,2,339,339,Infinity
b8,3,321,339,Infinity
c1,2,339,339,Infinity
a1,1,339,-Infinity,339
d2,2,-Infinity,-Infinity,339
c1,3,332,-Infinity,339
d2,2,332,332,339
d3,3,316,332,339
d2,2,332,332,339
e3,3,318,332,339
d2,2,332,332,339
f3,3,319,332,339
d2,2,332,332,339
g3,3,300,332,339
d2,2,332,332,339
b4,3,303,332,339
d2,2,332,332,339
h4,3,362,332,339
d2,2,362,332,339
a1,1,339,-Infinity,339
d3,2,-Infinity,-Infinity,339
c1,3,311,-Infinity,339
d3,2,311,311,339
d2,3,282,311,339
d3,2,311,311,339
e3,3,311,311,339
d3,2,311,311,339
f3,3,298,311,339
d3,2,311,311,339
g3,3,279,311,339
d3,2,311,311,339
b4,3,282,311,339
d3,2,311,311,339
h4,3,341,311,339
d3,2,341,311,339
a1,1,339,-Infinity,339
e3,2,-Infinity,-Infinity,339
c1,3,311,-Infinity,339
e3,2,311,311,339
d3,3,295,311,339
e3,2,311,311,339
f3,3,320,311,339
e3,2,320,320,339
g3,3,279,320,339
e3,2,320,320,339
b4,3,274,320,339
e3,2,320,320,339
h4,3,341,320,339
e3,2,341,320,339
a1,1,339,-Infinity,339
f3,2,-Infinity,-Infinity,339
c1,3,314,-Infinity,339
f3,2,314,314,339
d2,3,277,314,339
f3,2,314,314,339
d3,3,298,314,339
f3,2,314,314,339
e3,3,300,314,339
f3,2,314,314,339
g3,3,282,314,339
f3,2,314,314,339
b4,3,277,314,339
f3,2,314,314,339
h4,3,344,314,339
f3,2,344,314,339
a1,1,339,-Infinity,339
g3,2,-Infinity,-Infinity,339
c1,3,375,-Infinity,339
g3,2,375,-Infinity,339
a1,1,339,-Infinity,339
g4,2,-Infinity,-Infinity,339
c1,3,318,-Infinity,339
g4,2,318,318,339
d3,3,302,318,339
g4,2,318,318,339
e3,3,310,318,339
g4,2,318,318,339
f3,3,327,318,339
g4,2,327,327,339
g3,3,286,327,339
g4,2,327,327,339
b4,3,281,327,339
g4,2,327,327,339
h4,3,348,327,339
g4,2,348,327,339
a1,1,339,-Infinity,339
e5,2,-Infinity,-Infinity,339
c1,3,323,-Infinity,339
e5,2,323,323,339
d3,3,307,323,339
e5,2,323,323,339
e3,3,315,323,339
e5,2,323,323,339
f3,3,310,323,339
e5,2,323,323,339
g3,3,291,323,339
e5,2,323,323,339
b4,3,294,323,339
e5,2,323,323,339
h4,3,353,323,339
e5,2,353,323,339
a1,1,339,-Infinity,339
a6,2,-Infinity,-Infinity,339
c1,3,363,-Infinity,339
a6,2,363,-Infinity,339
a1,1,339,-Infinity,339
d6,2,-Infinity,-Infinity,339
c1,3,319,-Infinity,339
d6,2,319,319,339
d3,3,303,319,339
d6,2,319,319,339
e3,3,311,319,339
d6,2,319,319,339
f3,3,306,319,339
d6,2,319,319,339
g3,3,287,319,339
d6,2,319,319,339
b4,3,300,319,339
d6,2,319,319,339
h4,3,349,319,339
d6,2,349,319,339
a1,1,339,-Infinity,339
e6,2,-Infinity,-Infinity,339
c1,3,319,-Infinity,339
e6,2,319,319,339
d3,3,303,319,339
e6,2,319,319,339
e3,3,311,319,339
e6,2,319,319,339
f3,3,306,319,339
e6,2,319,319,339
g3,3,287,319,339
e6,2,319,319,339
b4,3,290,319,339
e6,2,319,319,339
h4,3,349,319,339
e6,2,349,319,339
a1,1,339,-Infinity,339
d7,2,-Infinity,-Infinity,339
c1,3,368,-Infinity,339
d7,2,368,-Infinity,339
a1,1,339,-Infinity,339
b8,2,-Infinity,-Infinity,339
c1,3,387,-Infinity,339
b8,2,387,-Infinity,339
a1,1,339,-Infinity,339
root,0,339,339,Infinity
c1,1,Infinity,339,Infinity
a1,2,-Infinity,339,Infinity
d3,3,161,339,Infinity
a1,2,161,339,Infinity
e3,3,163,339,Infinity
a1,2,163,339,Infinity
f3,3,158,339,Infinity
a1,2,163,339,Infinity
b4,3,150,339,Infinity
a1,2,163,339,Infinity
h4,3,201,339,Infinity
a1,2,201,339,Infinity
a6,3,143,339,Infinity
a1,2,201,339,Infinity
d6,3,149,339,Infinity
a1,2,201,339,Infinity
b8,3,183,339,Infinity
a1,2,201,339,Infinity
c1,1,201,339,Infinity
root,0,339,339,Infinity
d3,1,Infinity,339,Infinity
c1,2,-Infinity,339,Infinity
a1,3,307,339,Infinity
c1,2,307,339,Infinity
g3,3,246,339,Infinity
c1,2,307,339,Infinity
b4,3,201,339,Infinity
c1,2,307,339,Infinity
g4,3,249,339,Infinity
c1,2,307,339,Infinity
h4,3,308,339,Infinity
c1,2,308,339,Infinity
a6,3,252,339,Infinity
c1,2,308,339,Infinity
d6,3,256,339,Infinity
c1,2,308,339,Infinity
e6,3,276,339,Infinity
c1,2,308,339,Infinity
b8,3,290,339,Infinity
c1,2,308,339,Infinity
d3,1,308,339,Infinity
root,0,339,339,Infinity
e3,1,Infinity,339,Infinity
c1,2,-Infinity,339,Infinity
a1,3,315,339,Infinity
c1,2,315,339,Infinity
d3,3,268,339,Infinity
c1,2,315,339,Infinity
f3,3,273,339,Infinity
c1,2,315,339,Infinity
g3,3,254,339,Infinity
c1,2,315,339,Infinity
b4,3,209,339,Infinity
c1,2,315,339,Infinity
h4,3,316,339,Infinity
c1,2,316,339,Infinity
e5,3,266,339,Infinity
c1,2,316,339,Infinity
a6,3,258,339,Infinity
c1,2,316,339,Infinity
d6,3,264,339,Infinity
c1,2,316,339,Infinity
b8,3,298,339,Infinity
c1,2,316,339,Infinity
e3,1,316,339,Infinity
root,0,339,339,Infinity
f3,1,Infinity,339,Infinity
c1,2,-Infinity,339,Infinity
a1,3,344,339,Infinity
c1,2,344,344,Infinity
d3,3,263,344,Infinity
c1,2,344,344,Infinity
e3,3,273,344,Infinity
c1,2,344,344,Infinity
g3,3,249,344,Infinity
c1,2,344,344,Infinity
