OOOOOOOO
****OOOX
OXOOXO**
*XOOO*XX
XO*XX**O
OX*O*X*O
X*X**XXX
X***OOX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
b2,2,-Infinity,-Infinity,Infinity
a2,3,196,-Infinity,Infinity
b2,2,196,196,Infinity
c2,3,222,196,Infinity
b2,2,222,222,Infinity
h3,3,216,222,Infinity
b2,2,222,222,Infinity
a4,3,224,222,Infinity
b2,2,224,224,Infinity
f4,3,216,224,Infinity
b2,2,224,224,Infinity
c5,3,218,224,Infinity
b2,2,224,224,Infinity
f5,3,222,224,Infinity
b2,2,224,224,Infinity
c6,3,211,224,Infinity
b2,2,224,224,Infinity
e6,3,216,224,Infinity
b2,2,224,224,Infinity
g6,3,200,224,Infinity
b2,2,224,224,Infinity
b7,3,180,224,Infinity
b2,2,224,224,Infinity
b8,3,196,224,Infinity
b2,2,224,224,Infinity
h8,3,211,224,Infinity
b2,2,224,224,Infinity
d1,1,224,-Infinity,224
d2,2,-Infinity,-Infinity,224
a2,3,229,-Infinity,224
d2,2,229,-Infinity,224
d1,1,224,-Infinity,224
g3,2,-Infinity,-Infinity,224
a2,3,176,-Infinity,224
g3,2,176,176,224
b2,3,154,176,224
g3,2,176,176,224
h3,3,210,176,224
g3,2,210,210,224
a4,3,204,210,224
g3,2,210,210,224
f4,3,210,210,224
g3,2,210,210,224
c5,3,190,210,224
g3,2,210,210,224
f5,3,202,210,224
g3,2,210,210,224
g5,3,175,210,224
g3,2,210,210,224
c6,3,191,210,224
g3,2,210,210,224
e6,3,196,210,224
g3,2,210,210,224
g6,3,180,210,224
g3,2,210,210,224
b7,3,160,210,224
g3,2,210,210,224
b8,3,176,210,224
g3,2,210,210,224
h8,3,225,210,224
g3,2,225,210,224
d1,1,224,-Infinity,224
f4,2,-Infinity,-Infinity,224
b2,3,152,-Infinity,224
f4,2,152,152,224
g3,3,194,152,224
f4,2,194,194,224
h3,3,194,194,224
f4,2,194,194,224
a4,3,208,194,224
f4,2,208,208,224
c5,3,204,208,224
f4,2,208,208,224
f5,3,208,208,224
f4,2,208,208,224
c6,3,189,208,224
f4,2,208,208,224
