X*OXXXOO
OX*OXXOO
**X*X**X
X**XOOOX
X*X***OO
OX**O*O*
OOXXO*XO
OXOX*XOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
b1,3,135,-Infinity,Infinity
c2,2,135,135,Infinity
a3,3,119,135,Infinity
c2,2,135,135,Infinity
b3,3,115,135,Infinity
c2,2,135,135,Infinity
d3,3,125,135,Infinity
c2,2,135,135,Infinity
g3,3,103,135,Infinity
c2,2,135,135,Infinity
e5,3,127,135,Infinity
c2,2,135,135,Infinity
f5,3,133,135,Infinity
c2,2,135,135,Infinity
d6,3,125,135,Infinity
c2,2,135,135,Infinity
f6,3,122,135,Infinity
c2,2,135,135,Infinity
h6,3,133,135,Infinity
c2,2,135,135,Infinity
f7,3,117,135,Infinity
c2,2,135,135,Infinity
d1,1,135,-Infinity,135
a3,2,-Infinity,-Infinity,135
b1,3,99,-Infinity,135
a3,2,99,99,135
c2,3,81,99,135
a3,2,99,99,135
d3,3,89,99,135
a3,2,99,99,135
g3,3,67,99,135
a3,2,99,99,135
e5,3,91,99,135
a3,2,99,99,135
f5,3,97,99,135
a3,2,99,99,135
d6,3,89,99,135
a3,2,99,99,135
f6,3,86,99,135
a3,2,99,99,135
h6,3,97,99,135
a3,2,99,99,135
f7,3,81,99,135
a3,2,99,99,135
d1,1,99,-Infinity,99
b4,2,-Infinity,-Infinity,99
b1,3,72,-Infinity,99
b4,2,72,72,99
c2,3,54,72,99
b4,2,72,72,99
a3,3,50,72,99
b4,2,72,72,99
d3,3,62,72,99
b4,2,72,72,99
g3,3,40,72,99
b4,2,72,72,99
c4,3,62,72,99
b4,2,72,72,99
e5,3,64,72,99
b4,2,72,72,99
f5,3,70,72,99
b4,2,72,72,99
d6,3,62,72,99
b4,2,72,72,99
f6,3,59,72,99
b4,2,72,72,99
h6,3,70,72,99
b4,2,72,72,99
f7,3,54,72,99
b4,2,72,72,99
d1,1,72,-Infinity,72
c4,2,-Infinity,-Infinity,72
b1,3,79,-Infinity,72
c4,2,79,-Infinity,72
d1,1,72,-Infinity,72
b5,2,-Infinity,-Infinity,72
