OXOO*X**
X*X*OX*X
***XO*X*
**O*OOOX
*XO*O**X
**XOXOXX
OX*OO*XX
O*XO*XXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
c3,3,-230,-Infinity,Infinity
g1,2,-230,-230,Infinity
f3,3,-252,-230,Infinity
g1,2,-230,-230,Infinity
b4,3,-246,-230,Infinity
g1,2,-230,-230,Infinity
d5,3,-245,-230,Infinity
g1,2,-230,-230,Infinity
g5,3,-254,-230,Infinity
g1,2,-230,-230,Infinity
c7,3,-249,-230,Infinity
g1,2,-230,-230,Infinity
e8,3,-247,-230,Infinity
g1,2,-230,-230,Infinity
h8,3,-170,-230,Infinity
g1,2,-170,-170,Infinity
e1,1,-170,-Infinity,-170
d2,2,-Infinity,-Infinity,-170
c3,3,-209,-Infinity,-170
d2,2,-209,-209,-170
f3,3,-217,-209,-170
d2,2,-209,-209,-170
b4,3,-219,-209,-170
d2,2,-209,-209,-170
d4,3,-218,-209,-170
d2,2,-209,-209,-170
d5,3,-218,-209,-170
d2,2,-209,-209,-170
g5,3,-225,-209,-170
d2,2,-209,-209,-170
c7,3,-222,-209,-170
d2,2,-209,-209,-170
e8,3,-220,-209,-170
d2,2,-209,-209,-170
h8,3,-143,-209,-170
d2,2,-143,-209,-170
e1,1,-170,-Infinity,-170
g2,2,-Infinity,-Infinity,-170
c3,3,-166,-Infinity,-170
g2,2,-166,-Infinity,-170
e1,1,-170,-Infinity,-170
a3,2,-Infinity,-Infinity,-170
c3,3,-190,-Infinity,-170
a3,2,-190,-190,-170
f3,3,-212,-190,-170
a3,2,-190,-190,-170
b4,3,-206,-190,-170
a3,2,-190,-190,-170
d5,3,-205,-190,-170
a3,2,-190,-190,-170
g5,3,-214,-190,-170
a3,2,-190,-190,-170
c7,3,-209,-190,-170
a3,2,-190,-190,-170
e8,3,-207,-190,-170
a3,2,-190,-190,-170
h8,3,-130,-190,-170
a3,2,-130,-190,-170
e1,1,-170,-Infinity,-170
h3,2,-Infinity,-Infinity,-170
c3,3,-230,-Infinity,-170
h3,2,-230,-230,-170
b4,3,-246,-230,-170
h3,2,-230,-230,-170
d5,3,-245,-230,-170
h3,2,-230,-230,-170
g5,3,-254,-230,-170
h3,2,-230,-230,-170
c7,3,-249,-230,-170
h3,2,-230,-230,-170
e8,3,-247,-230,-170
h3,2,-230,-230,-170
h8,3,-130,-230,-170
h3,2,-130,-230,-170
e1,1,-170,-Infinity,-170
a4,2,-Infinity,-Infinity,-170
f3,3,-234,-Infinity,-170
a4,2,-234,-234,-170
b4,3,-228,-234,-170
a4,2,-228,-228,-170
d5,3,-221,-228,-170
a4,2,-221,-221,-170
g5,3,-236,-221,-170
a4,2,-221,-221,-170
a6,3,-225,-221,-170
a4,2,-221,-221,-170
b6,3,-217,-221,-170
a4,2,-217,-217,-170
c7,3,-231,-217,-170
a4,2,-217,-217,-170
e8,3,-223,-217,-170
a4,2,-217,-217,-170
