X*X*X*XX
*OXOXOOO
OOOO*OO*
**XOXOOO
OO***O**
X*XXXOOX
XX**XO*X
**O*****
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
d1,3,-236,-Infinity,Infinity
f1,2,-236,-236,Infinity
e3,3,-248,-236,Infinity
f1,2,-236,-236,Infinity
b4,3,-261,-236,Infinity
f1,2,-236,-236,Infinity
c5,3,-254,-236,Infinity
f1,2,-236,-236,Infinity
d5,3,-236,-236,Infinity
f1,2,-236,-236,Infinity
e5,3,-258,-236,Infinity
f1,2,-236,-236,Infinity
d7,3,-245,-236,Infinity
f1,2,-236,-236,Infinity
a8,3,-167,-236,Infinity
f1,2,-167,-167,Infinity
b1,1,-167,-Infinity,-167
a2,2,-Infinity,-Infinity,-167
d1,3,-164,-Infinity,-167
a2,2,-164,-Infinity,-167
b1,1,-167,-Infinity,-167
e3,2,-Infinity,-Infinity,-167
d1,3,-232,-Infinity,-167
e3,2,-232,-232,-167
f1,3,-254,-232,-167
e3,2,-232,-232,-167
b4,3,-251,-232,-167
e3,2,-232,-232,-167
c5,3,-244,-232,-167
e3,2,-232,-232,-167
d5,3,-226,-232,-167
e3,2,-226,-226,-167
e5,3,-248,-226,-167
e3,2,-226,-226,-167
d7,3,-235,-226,-167
e3,2,-226,-226,-167
a8,3,-157,-226,-167
e3,2,-157,-226,-167
b1,1,-167,-Infinity,-167
h3,2,-Infinity,-Infinity,-167
d1,3,-222,-Infinity,-167
h3,2,-222,-222,-167
f1,3,-242,-222,-167
h3,2,-222,-222,-167
b4,3,-239,-222,-167
h3,2,-222,-222,-167
c5,3,-232,-222,-167
h3,2,-222,-222,-167
d5,3,-214,-222,-167
h3,2,-214,-214,-167
g5,3,-261,-214,-167
h3,2,-214,-214,-167
f6,3,-207,-214,-167
h3,2,-207,-207,-167
d7,3,-239,-207,-167
h3,2,-207,-207,-167
a8,3,-145,-207,-167
h3,2,-145,-207,-167
b1,1,-167,-Infinity,-167
a4,2,-Infinity,-Infinity,-167
d1,3,-248,-Infinity,-167
a4,2,-248,-248,-167
f1,3,-276,-248,-167
a4,2,-248,-248,-167
e3,3,-260,-248,-167
a4,2,-248,-248,-167
b4,3,-273,-248,-167
a4,2,-248,-248,-167
c5,3,-266,-248,-167
