O**OXO*X
**XOO*O*
OOOXOXOO
XOX*X*XO
XXX*OX*O
XXXX**XX
O*XX*O*X
**XX*X*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
g1,3,74,-Infinity,Infinity
b1,2,74,74,Infinity
a2,3,138,74,Infinity
b1,2,138,138,Infinity
f2,3,122,138,Infinity
b1,2,138,138,Infinity
h2,3,170,138,Infinity
b1,2,170,170,Infinity
f4,3,142,170,Infinity
b1,2,170,170,Infinity
d5,3,138,170,Infinity
b1,2,170,170,Infinity
a6,3,144,170,Infinity
b1,2,170,170,Infinity
e6,3,142,170,Infinity
b1,2,170,170,Infinity
f6,3,137,170,Infinity
b1,2,170,170,Infinity
e8,3,136,170,Infinity
b1,2,170,170,Infinity
c1,1,170,-Infinity,170
b2,2,-Infinity,-Infinity,170
b1,3,186,-Infinity,170
b2,2,186,-Infinity,170
c1,1,170,-Infinity,170
d4,2,-Infinity,-Infinity,170
g1,3,98,-Infinity,170
d4,2,98,98,170
a2,3,154,98,170
d4,2,154,154,170
f2,3,130,154,170
d4,2,154,154,170
h2,3,178,154,170
d4,2,178,154,170
c1,1,170,-Infinity,170
f4,2,-Infinity,-Infinity,170
g1,3,180,-Infinity,170
f4,2,180,-Infinity,170
c1,1,170,-Infinity,170
d5,2,-Infinity,-Infinity,170
g1,3,92,-Infinity,170
d5,2,92,92,170
a2,3,148,92,170
d5,2,148,148,170
f2,3,124,148,170
d5,2,148,148,170
h2,3,172,148,170
d5,2,172,148,170
c1,1,170,-Infinity,170
g5,2,-Infinity,-Infinity,170
g1,3,111,-Infinity,170
g5,2,111,111,170
a2,3,171,111,170
g5,2,171,111,170
c1,1,170,-Infinity,170
e6,2,-Infinity,-Infinity,170
g1,3,150,-Infinity,170
e6,2,150,150,170
a2,3,142,150,170
e6,2,150,150,170
f2,3,126,150,170
e6,2,150,150,170
h2,3,174,150,170
e6,2,174,150,170
c1,1,170,-Infinity,170
e7,2,-Infinity,-Infinity,170
g1,3,109,-Infinity,170
e7,2,109,109,170
a2,3,157,109,170
e7,2,157,157,170
f2,3,141,157,170
e7,2,157,157,170
h2,3,189,157,170
e7,2,189,157,170
c1,1,170,-Infinity,170
b8,2,-Infinity,-Infinity,170
g1,3,130,-Infinity,170
b8,2,130,130,170
a2,3,178,130,170
b8,2,178,130,170
c1,1,170,-Infinity,170
e8,2,-Infinity,-Infinity,170
g1,3,108,-Infinity,170
e8,2,108,108,170
a2,3,156,108,170
e8,2,156,156,170
f2,3,140,156,170
e8,2,156,156,170
h2,3,188,156,170
e8,2,188,156,170
c1,1,170,-Infinity,170
root,0,170,170,Infinity
g1,1,Infinity,170,Infinity
c1,2,-Infinity,170,Infinity
b1,3,114,170,Infinity
c1,2,114,170,Infinity
a2,3,102,170,Infinity
c1,2,114,170,Infinity
h2,3,134,170,Infinity
c1,2,134,170,Infinity
f4,3,106,170,Infinity
c1,2,134,170,Infinity
d5,3,102,170,Infinity
c1,2,134,170,Infinity
a6,3,108,170,Infinity
c1,2,134,170,Infinity
e6,3,106,170,Infinity
c1,2,134,170,Infinity
f6,3,101,170,Infinity
c1,2,134,170,Infinity
e8,3,100,170,Infinity
c1,2,134,170,Infinity
g1,1,134,170,Infinity
root,0,170,170,Infinity
a2,1,Infinity,170,Infinity
c1,2,-Infinity,170,Infinity
b1,3,162,170,Infinity
c1,2,162,170,Infinity
g1,3,102,170,Infinity
c1,2,162,170,Infinity
h2,3,182,170,Infinity
c1,2,182,182,Infinity
f4,3,154,182,Infinity
c1,2,182,182,Infinity
d5,3,150,182,Infinity
c1,2,182,182,Infinity
a6,3,156,182,Infinity
c1,2,182,182,Infinity
e6,3,154,182,Infinity
c1,2,182,182,Infinity
f6,3,149,182,Infinity
c1,2,182,182,Infinity
b7,3,106,182,Infinity
c1,2,182,182,Infinity
e8,3,148,182,Infinity
c1,2,182,182,Infinity
a2,1,182,170,182
b2,2,-Infinity,170,182
b1,3,174,170,182
b2,2,174,174,182
c1,3,168,174,182
b2,2,174,174,182
g1,3,142,174,182
b2,2,174,174,182
f2,3,118,174,182
b2,2,174,174,182
h2,3,222,174,182
b2,2,222,174,182
a2,1,182,170,182
d4,2,-Infinity,170,182
c1,3,146,170,182
d4,2,146,170,182
g1,3,78,170,182
d4,2,146,170,182
f2,3,110,170,182
d4,2,146,170,182
h2,3,158,170,182
d4,2,158,170,182
f4,3,130,170,182
d4,2,158,170,182
d5,3,134,170,182
d4,2,158,170,182
a6,3,138,170,182
d4,2,158,170,182
e6,3,130,170,182
d4,2,158,170,182
f6,3,125,170,182
d4,2,158,170,182
b7,3,82,170,182
d4,2,158,170,182
e8,3,124,170,182
d4,2,158,170,182
a2,1,158,170,182
root,0,170,170,Infinity
f2,1,Infinity,170,Infinity
c1,2,-Infinity,170,Infinity
b1,3,152,170,Infinity
c1,2,152,170,Infinity
g1,3,92,170,Infinity
c1,2,152,170,Infinity
a2,3,140,170,Infinity
c1,2,152,170,Infinity
b2,3,102,170,Infinity
c1,2,152,170,Infinity
h2,3,124,170,Infinity
c1,2,152,170,Infinity
d4,3,148,170,Infinity
c1,2,152,170,Infinity
f4,3,144,170,Infinity
c1,2,152,170,Infinity
d5,3,140,170,Infinity
c1,2,152,170,Infinity
a6,3,146,170,Infinity
c1,2,152,170,Infinity
e6,3,144,170,Infinity
c1,2,152,170,Infinity
f6,3,139,170,Infinity
c1,2,152,170,Infinity
e8,3,138,170,Infinity
c1,2,152,170,Infinity
f2,1,152,170,Infinity
root,0,170,170,Infinity
h2,1,Infinity,170,Infinity
c1,2,-Infinity,170,Infinity
b1,3,194,170,Infinity
c1,2,194,194,Infinity
g1,3,134,194,Infinity
c1,2,194,194,Infinity
a2,3,182,194,Infinity
c1,2,194,194,Infinity
