OO*****X
OX*OO*OO
OOXOOXOX
*OO*OO**
*XOOOX*X
X*OOO*XX
**X*O**X
**X*X*XO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
e1,3,31,-Infinity,Infinity
d1,2,31,31,Infinity
f1,3,21,31,Infinity
d1,2,31,31,Infinity
f2,3,23,31,Infinity
d1,2,31,31,Infinity
a4,3,19,31,Infinity
d1,2,31,31,Infinity
c4,3,23,31,Infinity
d1,2,31,31,Infinity
d4,3,33,31,Infinity
d1,2,33,33,Infinity
g4,3,24,33,Infinity
d1,2,33,33,Infinity
h4,3,53,33,Infinity
d1,2,53,53,Infinity
a5,3,19,53,Infinity
d1,2,53,53,Infinity
g5,3,24,53,Infinity
d1,2,53,53,Infinity
b6,3,9,53,Infinity
d1,2,53,53,Infinity
f6,3,34,53,Infinity
d1,2,53,53,Infinity
b8,3,3,53,Infinity
d1,2,53,53,Infinity
f8,3,11,53,Infinity
d1,2,53,53,Infinity
c1,1,53,-Infinity,53
e1,2,-Infinity,-Infinity,53
d1,3,15,-Infinity,53
e1,2,15,15,53
f1,3,17,15,53
e1,2,17,17,53
f2,3,25,17,53
e1,2,25,25,53
a4,3,15,25,53
e1,2,25,25,53
d4,3,29,25,53
e1,2,29,29,53
h4,3,49,29,53
e1,2,49,49,53
a5,3,15,49,53
e1,2,49,49,53
g5,3,20,49,53
e1,2,49,49,53
b6,3,5,49,53
e1,2,49,49,53
f6,3,38,49,53
e1,2,49,49,53
b8,3,-1,49,53
e1,2,49,49,53
f8,3,1,49,53
e1,2,49,49,53
c1,1,49,-Infinity,49
f1,2,-Infinity,-Infinity,49
g1,3,3,-Infinity,49
f1,2,3,3,49
f2,3,21,3,49
f1,2,21,21,49
a4,3,59,21,49
f1,2,59,21,49
c1,1,49,-Infinity,49
c2,2,-Infinity,-Infinity,49
d1,3,13,-Infinity,49
c2,2,13,13,49
f2,3,25,13,49
c2,2,25,25,49
a4,3,15,25,49
c2,2,25,25,49
c4,3,33,25,49
c2,2,33,33,49
d4,3,37,33,49
c2,2,37,37,49
g4,3,34,37,49
c2,2,37,37,49
h4,3,49,37,49
c2,2,49,37,49
c1,1,49,-Infinity,49
c4,2,-Infinity,-Infinity,49
f2,3,3,-Infinity,49
c4,2,3,3,49
d4,3,15,3,49
c4,2,15,15,49
g4,3,12,15,49
c4,2,15,15,49
h4,3,27,15,49
c4,2,27,27,49
a5,3,1,27,49
c4,2,27,27,49
g5,3,-2,27,49
c4,2,27,27,49
b6,3,-3,27,49
c4,2,27,27,49
f6,3,8,27,49
c4,2,27,27,49
b7,3,-17,27,49
c4,2,27,27,49
b8,3,-23,27,49
c4,2,27,27,49
f8,3,-15,27,49
c4,2,27,27,49
c1,1,27,-Infinity,27
a5,2,-Infinity,-Infinity,27
f2,3,29,-Infinity,27
a5,2,29,-Infinity,27
c1,1,27,-Infinity,27
b7,2,-Infinity,-Infinity,27
f2,3,39,-Infinity,27
b7,2,39,-Infinity,27
c1,1,27,-Infinity,27
d7,2,-Infinity,-Infinity,27
f2,3,2,-Infinity,27
d7,2,2,2,27
d4,3,6,2,27
d7,2,6,6,27
g4,3,3,6,27
d7,2,6,6,27
h4,3,26,6,27
d7,2,26,26,27
a5,3,-8,26,27
d7,2,26,26,27
g5,3,-3,26,27
d7,2,26,26,27
b6,3,-18,26,27
d7,2,26,26,27
f6,3,7,26,27
d7,2,26,26,27
b7,3,-32,26,27
d7,2,26,26,27
b8,3,-16,26,27
d7,2,26,26,27
f8,3,-16,26,27
d7,2,26,26,27
c1,1,26,-Infinity,26
f7,2,-Infinity,-Infinity,26
f2,3,25,-Infinity,26
f7,2,25,25,26
a4,3,15,25,26
f7,2,25,25,26
d4,3,29,25,26
f7,2,29,25,26
c1,1,26,-Infinity,26
root,0,26,26,Infinity
c2,1,Infinity,26,Infinity
c1,2,-Infinity,26,Infinity
d1,3,21,26,Infinity
c1,2,21,26,Infinity
f2,3,17,26,Infinity
c1,2,21,26,Infinity
a4,3,7,26,Infinity
c1,2,21,26,Infinity
c4,3,11,26,Infinity
c1,2,21,26,Infinity
d4,3,21,26,Infinity
c1,2,21,26,Infinity
g4,3,26,26,Infinity
c1,2,26,26,Infinity
h4,3,41,26,Infinity
c1,2,41,41,Infinity
a5,3,7,41,Infinity
c1,2,41,41,Infinity
g5,3,12,41,Infinity
c1,2,41,41,Infinity
b6,3,-3,41,Infinity
c1,2,41,41,Infinity
f6,3,22,41,Infinity
c1,2,41,41,Infinity
b8,3,-9,41,Infinity
c1,2,41,41,Infinity
f8,3,-1,41,Infinity
c1,2,41,41,Infinity
c2,1,41,26,41
d1,2,-Infinity,26,41
e1,3,7,26,41
d1,2,7,26,41
f1,3,9,26,41
d1,2,9,26,41
f2,3,11,26,41
d1,2,11,26,41
a4,3,7,26,41
d1,2,11,26,41
c4,3,25,26,41
d1,2,25,26,41
d4,3,21,26,41
d1,2,25,26,41
g4,3,12,26,41
d1,2,25,26,41
h4,3,41,26,41
d1,2,41,26,41
c2,1,41,26,41
e1,2,-Infinity,26,41
c1,3,13,26,41
e1,2,13,26,41
d1,3,3,26,41
e1,2,13,26,41
f1,3,5,26,41
e1,2,13,26,41
f2,3,1,26,41
e1,2,13,26,41
a4,3,3,26,41
e1,2,13,26,41
c4,3,21,26,41
e1,2,21,26,41
d4,3,17,26,41
e1,2,21,26,41
h4,3,37,26,41
e1,2,37,37,41
a5,3,3,37,41
e1,2,37,37,41
g5,3,8,37,41
e1,2,37,37,41
b6,3,-7,37,41
e1,2,37,37,41
f6,3,26,37,41
e1,2,37,37,41
b8,3,-13,37,41
e1,2,37,37,41
f8,3,-11,37,41
e1,2,37,37,41
c2,1,37,26,37
f1,2,-Infinity,26,37
g1,3,-9,26,37
f1,2,-9,26,37
