X*X*XXOO
X*XX*XOX
XX**XOOO
***OOX*O
**OO**OO
OXOX*XXO
O*X*OXXO
OOXOXO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
d3,2,-Infinity,-Infinity,Infinity
b1,3,-35,-Infinity,Infinity
d3,2,-35,-35,Infinity
e2,3,-46,-35,Infinity
d3,2,-35,-35,Infinity
c3,3,-26,-35,Infinity
d3,2,-26,-26,Infinity
a4,3,-53,-26,Infinity
d3,2,-26,-26,Infinity
c4,3,-39,-26,Infinity
d3,2,-26,-26,Infinity
g4,3,-38,-26,Infinity
d3,2,-26,-26,Infinity
a5,3,-53,-26,Infinity
d3,2,-26,-26,Infinity
e5,3,-35,-26,Infinity
d3,2,-26,-26,Infinity
f5,3,-33,-26,Infinity
d3,2,-26,-26,Infinity
e6,3,-25,-26,Infinity
d3,2,-25,-25,Infinity
d7,3,-36,-25,Infinity
d3,2,-25,-25,Infinity
a8,3,40,-25,Infinity
d3,2,40,40,Infinity
g8,3,-107,40,Infinity
d3,2,40,40,Infinity
d1,1,40,-Infinity,40
b4,2,-Infinity,-Infinity,40
b1,3,-36,-Infinity,40
b4,2,-36,-36,40
e2,3,-47,-36,40
b4,2,-36,-36,40
c3,3,-43,-36,40
b4,2,-36,-36,40
d3,3,-38,-36,40
b4,2,-36,-36,40
a4,3,-54,-36,40
b4,2,-36,-36,40
c4,3,-32,-36,40
b4,2,-32,-32,40
g4,3,-39,-32,40
b4,2,-32,-32,40
a5,3,-54,-32,40
b4,2,-32,-32,40
b5,3,-39,-32,40
b4,2,-32,-32,40
e5,3,-36,-32,40
b4,2,-32,-32,40
f5,3,-34,-32,40
b4,2,-32,-32,40
e6,3,-26,-32,40
b4,2,-26,-26,40
d7,3,-39,-26,40
b4,2,-26,-26,40
a8,3,39,-26,40
b4,2,39,39,40
g8,3,-108,39,40
b4,2,39,39,40
d1,1,39,-Infinity,39
c4,2,-Infinity,-Infinity,39
b1,3,-57,-Infinity,39
c4,2,-57,-57,39
e2,3,-76,-57,39
c4,2,-57,-57,39
c3,3,-64,-57,39
c4,2,-57,-57,39
d3,3,-59,-57,39
