*XXXO*O*
XXXXXXX*
XXXO*X*X
XOX*XOXO
*OXOOXO*
OXXXOX*X
***XXOXX
*X**X***
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
c3,3,-171,-Infinity,Infinity
a1,2,-171,-171,Infinity
e3,3,-188,-171,Infinity
a1,2,-171,-171,Infinity
g3,3,-190,-171,Infinity
a1,2,-171,-171,Infinity
d4,3,-176,-171,Infinity
a1,2,-171,-171,Infinity
a5,3,-186,-171,Infinity
a1,2,-171,-171,Infinity
h5,3,-182,-171,Infinity
a1,2,-171,-171,Infinity
g6,3,-212,-171,Infinity
a1,2,-171,-171,Infinity
f8,3,-194,-171,Infinity
a1,2,-171,-171,Infinity
g8,3,-194,-171,Infinity
a1,2,-171,-171,Infinity
f1,1,-171,-Infinity,-171
h1,2,-Infinity,-Infinity,-171
h2,3,-176,-Infinity,-171
h1,2,-176,-176,-171
c3,3,-97,-176,-171
h1,2,-97,-176,-171
f1,1,-171,-Infinity,-171
h2,2,-Infinity,-Infinity,-171
h1,3,20,-Infinity,-171
h2,2,20,-Infinity,-171
f1,1,-171,-Infinity,-171
e3,2,-Infinity,-Infinity,-171
h1,3,32,-Infinity,-171
e3,2,32,-Infinity,-171
f1,1,-171,-Infinity,-171
g3,2,-Infinity,-Infinity,-171
h1,3,38,-Infinity,-171
g3,2,38,-Infinity,-171
f1,1,-171,-Infinity,-171
d4,2,-Infinity,-Infinity,-171
h1,3,28,-Infinity,-171
d4,2,28,-Infinity,-171
f1,1,-171,-Infinity,-171
g6,2,-Infinity,-Infinity,-171
h1,3,10,-Infinity,-171
g6,2,10,-Infinity,-171
f1,1,-171,-Infinity,-171
a7,2,-Infinity,-Infinity,-171
h1,3,44,-Infinity,-171
a7,2,44,-Infinity,-171
f1,1,-171,-Infinity,-171
b7,2,-Infinity,-Infinity,-171
h1,3,46,-Infinity,-171
b7,2,46,-Infinity,-171
f1,1,-171,-Infinity,-171
c7,2,-Infinity,-Infinity,-171
h1,3,22,-Infinity,-171
c7,2,22,-Infinity,-171
f1,1,-171,-Infinity,-171
c8,2,-Infinity,-Infinity,-171
h1,3,26,-Infinity,-171
c8,2,26,-Infinity,-171
f1,1,-171,-Infinity,-171
d8,2,-Infinity,-Infinity,-171
h1,3,12,-Infinity,-171
d8,2,12,-Infinity,-171
f1,1,-171,-Infinity,-171
f8,2,-Infinity,-Infinity,-171
h1,3,18,-Infinity,-171
f8,2,18,-Infinity,-171
f1,1,-171,-Infinity,-171
h8,2,-Infinity,-Infinity,-171
h1,3,-37,-Infinity,-171
h8,2,-37,-Infinity,-171
f1,1,-171,-Infinity,-171
root,0,-171,-171,Infinity
c3,1,Infinity,-171,Infinity
a1,2,-Infinity,-171,Infinity
e3,3,-149,-171,Infinity
a1,2,-149,-149,Infinity
g3,3,-159,-149,Infinity
a1,2,-149,-149,Infinity
d4,3,-155,-149,Infinity
a1,2,-149,-149,Infinity
a5,3,-169,-149,Infinity
a1,2,-149,-149,Infinity
h5,3,-151,-149,Infinity
a1,2,-149,-149,Infinity
g6,3,-181,-149,Infinity
a1,2,-149,-149,Infinity
f8,3,-163,-149,Infinity
a1,2,-149,-149,Infinity
g8,3,-171,-149,Infinity
a1,2,-149,-149,Infinity
c3,1,-149,-171,-149
f1,2,-Infinity,-171,-149
h1,3,51,-171,-149
f1,2,51,-171,-149
c3,1,-149,-171,-149
h1,2,-Infinity,-171,-149
f1,3,-145,-171,-149
h1,2,-145,-171,-149
c3,1,-149,-171,-149
h2,2,-Infinity,-171,-149
f1,3,-40,-171,-149
h2,2,-40,-171,-149
c3,1,-149,-171,-149
e3,2,-Infinity,-171,-149
f1,3,-28,-171,-149
e3,2,-28,-171,-149
