****OO**
OX**X**X
XXO**O*O
X*OX*OO*
XOOXXO*O
X*XX***X
XXX*OOXX
XOOOOXX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c2,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
d1,3,-42,-Infinity,Infinity
c1,2,-42,-42,Infinity
d2,3,-51,-42,Infinity
c1,2,-42,-42,Infinity
a3,3,-20,-42,Infinity
c1,2,-20,-20,Infinity
d3,3,-20,-20,Infinity
c1,2,-20,-20,Infinity
g3,3,-36,-20,Infinity
c1,2,-20,-20,Infinity
b4,3,-27,-20,Infinity
c1,2,-20,-20,Infinity
h4,3,-6,-20,Infinity
c1,2,-6,-6,Infinity
g5,3,-35,-6,Infinity
c1,2,-6,-6,Infinity
b6,3,-22,-6,Infinity
c1,2,-6,-6,Infinity
e6,3,-44,-6,Infinity
c1,2,-6,-6,Infinity
f6,3,-41,-6,Infinity
c1,2,-6,-6,Infinity
d7,3,-65,-6,Infinity
c1,2,-6,-6,Infinity
c2,1,-6,-Infinity,-6
d1,2,-Infinity,-Infinity,-6
c1,3,12,-Infinity,-6
d1,2,12,-Infinity,-6
c2,1,-6,-Infinity,-6
h1,2,-Infinity,-Infinity,-6
a3,3,-67,-Infinity,-6
h1,2,-67,-67,-6
g3,3,-83,-67,-6
h1,2,-67,-67,-6
h4,3,-69,-67,-6
h1,2,-67,-67,-6
g5,3,-82,-67,-6
h1,2,-67,-67,-6
e6,3,-91,-67,-6
h1,2,-67,-67,-6
f6,3,-88,-67,-6
h1,2,-67,-67,-6
d7,3,-104,-67,-6
h1,2,-67,-67,-6
c2,1,-67,-Infinity,-67
d2,2,-Infinity,-Infinity,-67
a1,3,106,-Infinity,-67
d2,2,106,-Infinity,-67
c2,1,-67,-Infinity,-67
d3,2,-Infinity,-Infinity,-67
d2,3,-5,-Infinity,-67
d3,2,-5,-Infinity,-67
c2,1,-67,-Infinity,-67
e3,2,-Infinity,-Infinity,-67
f2,3,2,-Infinity,-67
e3,2,2,-Infinity,-67
c2,1,-67,-Infinity,-67
b4,2,-Infinity,-Infinity,-67
a3,3,7,-Infinity,-67
b4,2,7,-Infinity,-67
c2,1,-67,-Infinity,-67
b6,2,-Infinity,-Infinity,-67
a3,3,76,-Infinity,-67
b6,2,76,-Infinity,-67
c2,1,-67,-Infinity,-67
e6,2,-Infinity,-Infinity,-67
a3,3,4,-Infinity,-67
e6,2,4,-Infinity,-67
c2,1,-67,-Infinity,-67
d7,2,-Infinity,-Infinity,-67
a3,3,5,-Infinity,-67
d7,2,5,-Infinity,-67
c2,1,-67,-Infinity,-67
h8,2,-Infinity,-Infinity,-67
a3,3,-83,-Infinity,-67
h8,2,-83,-83,-67
g3,3,-99,-83,-67
h8,2,-83,-83,-67
h4,3,-81,-83,-67
h8,2,-81,-81,-67
g5,3,-98,-81,-67
h8,2,-81,-81,-67
d7,3,-120,-81,-67
h8,2,-81,-81,-67
c2,1,-81,-Infinity,-81
root,0,-81,-81,Infinity
a3,1,Infinity,-81,Infinity
a1,2,-Infinity,-81,Infinity
b1,3,-117,-81,Infinity
a1,2,-117,-81,Infinity
c1,3,-101,-81,Infinity
a1,2,-101,-81,Infinity
c2,3,-35,-81,Infinity
a1,2,-35,-35,Infinity
d3,3,-41,-35,Infinity
a1,2,-35,-35,Infinity
g3,3,-57,-35,Infinity
a1,2,-35,-35,Infinity
b4,3,-48,-35,Infinity
a1,2,-35,-35,Infinity
h4,3,-27,-35,Infinity
a1,2,-27,-27,Infinity
g5,3,-56,-27,Infinity
a1,2,-27,-27,Infinity
b6,3,-57,-27,Infinity
a1,2,-27,-27,Infinity
e6,3,-65,-27,Infinity
a1,2,-27,-27,Infinity
f6,3,-62,-27,Infinity
a1,2,-27,-27,Infinity
d7,3,-78,-27,Infinity
a1,2,-27,-27,Infinity
a3,1,-27,-81,-27
d1,2,-Infinity,-81,-27
a1,3,73,-81,-27
d1,2,73,-81,-27
a3,1,-27,-81,-27
h1,2,-Infinity,-81,-27
a1,3,-10,-81,-27
h1,2,-10,-81,-27
a3,1,-27,-81,-27
c2,2,-Infinity,-81,-27
a1,3,91,-81,-27
c2,2,91,-81,-27
a3,1,-27,-81,-27
d3,2,-Infinity,-81,-27
a1,3,75,-81,-27
d3,2,75,-81,-27
a3,1,-27,-81,-27
e3,2,-Infinity,-81,-27
a1,3,75,-81,-27
e3,2,75,-81,-27
a3,1,-27,-81,-27
e4,2,-Infinity,-81,-27
a1,3,73,-81,-27
e4,2,73,-81,-27
a3,1,-27,-81,-27
b6,2,-Infinity,-81,-27
a1,3,133,-81,-27
b6,2,133,-81,-27
a3,1,-27,-81,-27
e6,2,-Infinity,-81,-27
a1,3,69,-81,-27
e6,2,69,-81,-27
a3,1,-27,-81,-27
f6,2,-Infinity,-81,-27
a1,3,66,-81,-27
f6,2,66,-81,-27
a3,1,-27,-81,-27
d7,2,-Infinity,-81,-27
a1,3,62,-81,-27
d7,2,62,-81,-27
