**XOX*XX
X*OXXOX*
OXOOXX*O
OX*XXX*O
O*OXXOOX
OOOOO**O
OO***XOO
OXXXX**X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
f1,3,-53,-Infinity,Infinity
b1,2,-53,-53,Infinity
b2,3,-69,-53,Infinity
b1,2,-53,-53,Infinity
h2,3,-81,-53,Infinity
b1,2,-53,-53,Infinity
g3,3,9,-53,Infinity
b1,2,9,9,Infinity
c4,3,-29,9,Infinity
b1,2,9,9,Infinity
g4,3,-20,9,Infinity
b1,2,9,9,Infinity
b5,3,-36,9,Infinity
b1,2,9,9,Infinity
a6,3,13,9,Infinity
b1,2,13,13,Infinity
f6,3,-18,13,Infinity
b1,2,13,13,Infinity
c7,3,-15,13,Infinity
b1,2,13,13,Infinity
e7,3,-36,13,Infinity
b1,2,13,13,Infinity
f8,3,7,13,Infinity
b1,2,13,13,Infinity
g8,3,-41,13,Infinity
b1,2,13,13,Infinity
a1,1,13,-Infinity,13
f1,2,-Infinity,-Infinity,13
b1,3,-25,-Infinity,13
f1,2,-25,-25,13
h2,3,-109,-25,13
f1,2,-25,-25,13
g3,3,-7,-25,13
f1,2,-7,-7,13
c4,3,-37,-7,13
f1,2,-7,-7,13
g4,3,-28,-7,13
f1,2,-7,-7,13
b5,3,-44,-7,13
f1,2,-7,-7,13
a6,3,5,-7,13
f1,2,5,5,13
f6,3,-26,5,13
f1,2,5,5,13
c7,3,-23,5,13
f1,2,5,5,13
e7,3,-44,5,13
f1,2,5,5,13
f8,3,-1,5,13
f1,2,5,5,13
g8,3,-49,5,13
f1,2,5,5,13
a1,1,5,-Infinity,5
b2,2,-Infinity,-Infinity,5
b1,3,-15,-Infinity,5
b2,2,-15,-15,5
f1,3,-49,-15,5
b2,2,-15,-15,5
h2,3,-71,-15,5
b2,2,-15,-15,5
g3,3,11,-15,5
b2,2,11,-15,5
a1,1,5,-Infinity,5
h2,2,-Infinity,-Infinity,5
b1,3,-45,-Infinity,5
h2,2,-45,-45,5
f1,3,-39,-45,5
h2,2,-39,-39,5
g3,3,-27,-39,5
h2,2,-27,-27,5
c4,3,-57,-27,5
h2,2,-27,-27,5
g4,3,-48,-27,5
h2,2,-27,-27,5
b5,3,-64,-27,5
h2,2,-27,-27,5
a6,3,-15,-27,5
h2,2,-15,-15,5
f6,3,-46,-15,5
h2,2,-15,-15,5
c7,3,-43,-15,5
h2,2,-15,-15,5
e7,3,-64,-15,5
h2,2,-15,-15,5
f8,3,-21,-15,5
h2,2,-15,-15,5
g8,3,-69,-15,5
h2,2,-15,-15,5
a1,1,-15,-Infinity,-15
g3,2,-Infinity,-Infinity,-15
b1,3,-13,-Infinity,-15
g3,2,-13,-Infinity,-15
a1,1,-15,-Infinity,-15
c4,2,-Infinity,-Infinity,-15
b1,3,-51,-Infinity,-15
c4,2,-51,-51,-15
f1,3,-87,-51,-15
c4,2,-51,-51,-15
b2,3,-103,-51,-15
c4,2,-51,-51,-15
h2,3,-115,-51,-15
c4,2,-51,-51,-15
g3,3,-19,-51,-15
c4,2,-19,-19,-15
g4,3,-54,-19,-15
c4,2,-19,-19,-15
b5,3,-62,-19,-15
c4,2,-19,-19,-15
a6,3,-21,-19,-15
c4,2,-19,-19,-15
e7,3,-70,-19,-15
c4,2,-19,-19,-15
f8,3,-27,-19,-15
c4,2,-19,-19,-15
g8,3,-75,-19,-15
c4,2,-19,-19,-15
a1,1,-19,-Infinity,-19
b5,2,-Infinity,-Infinity,-19
b1,3,-30,-Infinity,-19
b5,2,-30,-30,-19
f1,3,-72,-30,-19
b5,2,-30,-30,-19
b2,3,-90,-30,-19
b5,2,-30,-30,-19
h2,3,-94,-30,-19
b5,2,-30,-30,-19
g3,3,-12,-30,-19
b5,2,-12,-30,-19
a1,1,-19,-Infinity,-19
a6,2,-Infinity,-Infinity,-19
b1,3,15,-Infinity,-19
a6,2,15,-Infinity,-19
a1,1,-19,-Infinity,-19
f6,2,-Infinity,-Infinity,-19
b1,3,-8,-Infinity,-19
f6,2,-8,-Infinity,-19
a1,1,-19,-Infinity,-19
g6,2,-Infinity,-Infinity,-19
b1,3,-29,-Infinity,-19
g6,2,-29,-29,-19
f1,3,-71,-29,-19
g6,2,-29,-29,-19
h2,3,-93,-29,-19
g6,2,-29,-29,-19
g3,3,-11,-29,-19
g6,2,-11,-29,-19
a1,1,-19,-Infinity,-19
c7,2,-Infinity,-Infinity,-19
b1,3,-29,-Infinity,-19
c7,2,-29,-29,-19
f1,3,-71,-29,-19
c7,2,-29,-29,-19
h2,3,-93,-29,-19
c7,2,-29,-29,-19
g3,3,-19,-29,-19
c7,2,-19,-29,-19
a1,1,-19,-Infinity,-19
d7,2,-Infinity,-Infinity,-19
b1,3,-30,-Infinity,-19
d7,2,-30,-30,-19
f1,3,-72,-30,-19
d7,2,-30,-30,-19
h2,3,-94,-30,-19
d7,2,-30,-30,-19
g3,3,-20,-30,-19
d7,2,-20,-20,-19
c4,3,-42,-20,-19
d7,2,-20,-20,-19
g4,3,-33,-20,-19
d7,2,-20,-20,-19
b5,3,-49,-20,-19
d7,2,-20,-20,-19
a6,3,8,-20,-19
d7,2,8,-20,-19
a1,1,-19,-Infinity,-19
e7,2,-Infinity,-Infinity,-19
b1,3,-46,-Infinity,-19
e7,2,-46,-46,-19
f1,3,-88,-46,-19
e7,2,-46,-46,-19
h2,3,-110,-46,-19
e7,2,-46,-46,-19
g3,3,-36,-46,-19
e7,2,-36,-36,-19
c4,3,-58,-36,-19
e7,2,-36,-36,-19
g4,3,-49,-36,-19
e7,2,-36,-36,-19
b5,3,-57,-36,-19
e7,2,-36,-36,-19
a6,3,-22,-36,-19
e7,2,-22,-22,-19
f6,3,-47,-22,-19
e7,2,-22,-22,-19
d7,3,-55,-22,-19
e7,2,-22,-22,-19
f8,3,-18,-22,-19
e7,2,-18,-22,-19
a1,1,-19,-Infinity,-19
root,0,-19,-19,Infinity
b1,1,Infinity,-19,Infinity
a1,2,-Infinity,-19,Infinity
f1,3,-265,-19,Infinity
a1,2,-265,-19,Infinity
h2,3,-275,-19,Infinity
a1,2,-265,-19,Infinity
g3,3,-193,-19,Infinity
a1,2,-193,-19,Infinity
c4,3,-215,-19,Infinity
a1,2,-193,-19,Infinity
b5,3,-230,-19,Infinity
a1,2,-193,-19,Infinity
a6,3,-181,-19,Infinity
a1,2,-181,-19,Infinity
f6,3,-212,-19,Infinity
a1,2,-181,-19,Infinity
c7,3,-209,-19,Infinity
a1,2,-181,-19,Infinity
e7,3,-230,-19,Infinity
