*O*XOX*X
OOXXO*XO
O**XOXOX
X**OXX*O
OXXXXO*X
*OX*XXX*
*OXX**OX
*OXOX*OO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f2,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
a1,3,216,-Infinity,Infinity
c1,2,216,216,Infinity
a4,3,93,216,Infinity
c1,2,216,216,Infinity
g4,3,90,216,Infinity
c1,2,216,216,Infinity
g5,3,98,216,Infinity
c1,2,216,216,Infinity
a6,3,45,216,Infinity
c1,2,216,216,Infinity
a7,3,29,216,Infinity
c1,2,216,216,Infinity
f7,3,41,216,Infinity
c1,2,216,216,Infinity
a8,3,128,216,Infinity
c1,2,216,216,Infinity
f2,1,216,-Infinity,216
g1,2,-Infinity,-Infinity,216
c3,3,152,-Infinity,216
g1,2,152,152,216
a4,3,145,152,216
g1,2,152,152,216
c4,3,157,152,216
g1,2,157,157,216
g4,3,150,157,216
g1,2,157,157,216
g5,3,150,157,216
g1,2,157,157,216
a6,3,97,157,216
g1,2,157,157,216
a7,3,89,157,216
g1,2,157,157,216
f7,3,93,157,216
g1,2,157,157,216
a8,3,180,157,216
g1,2,180,180,216
f2,1,180,-Infinity,180
c3,2,-Infinity,-Infinity,180
c1,3,78,-Infinity,180
c3,2,78,78,180
b3,3,100,78,180
c3,2,100,100,180
a4,3,68,100,180
c3,2,100,100,180
c4,3,94,100,180
c3,2,100,100,180
g4,3,79,100,180
c3,2,100,100,180
g5,3,73,100,180
c3,2,100,100,180
a6,3,20,100,180
c3,2,100,100,180
d6,3,72,100,180
c3,2,100,100,180
a7,3,4,100,180
c3,2,100,100,180
f7,3,38,100,180
c3,2,100,100,180
a8,3,103,100,180
c3,2,103,103,180
f2,1,103,-Infinity,103
g5,2,-Infinity,-Infinity,103
a4,3,124,-Infinity,103
g5,2,124,-Infinity,103
f2,1,103,-Infinity,103
d6,2,-Infinity,-Infinity,103
a4,3,109,-Infinity,103
d6,2,109,-Infinity,103
f2,1,103,-Infinity,103
h6,2,-Infinity,-Infinity,103
a4,3,109,-Infinity,103
h6,2,109,-Infinity,103
f2,1,103,-Infinity,103
e7,2,-Infinity,-Infinity,103
a4,3,120,-Infinity,103
e7,2,120,-Infinity,103
f2,1,103,-Infinity,103
f7,2,-Infinity,-Infinity,103
a4,3,103,-Infinity,103
f7,2,103,-Infinity,103
f2,1,103,-Infinity,103
f8,2,-Infinity,-Infinity,103
a4,3,93,-Infinity,103
f8,2,93,93,103
g4,3,90,93,103
f8,2,93,93,103
g5,3,98,93,103
f8,2,98,98,103
a6,3,45,98,103
f8,2,98,98,103
a7,3,29,98,103
f8,2,98,98,103
f7,3,41,98,103
f8,2,98,98,103
a8,3,128,98,103
f8,2,128,98,103
f2,1,103,-Infinity,103
root,0,103,103,Infinity
c3,1,Infinity,103,Infinity
c1,2,-Infinity,103,Infinity
a1,3,183,103,Infinity
c1,2,183,183,Infinity
f2,3,100,183,Infinity
