*X**O*OX
O**OXOOO
**XOOO*O
*X*OOXOO
OXOO**OO
OOOX**XX
XOOXXO*O
OXO**OXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
a1,3,-27,-Infinity,Infinity
c1,2,-27,-27,Infinity
c2,3,-136,-27,Infinity
c1,2,-27,-27,Infinity
a3,3,-124,-27,Infinity
c1,2,-27,-27,Infinity
b3,3,-112,-27,Infinity
c1,2,-27,-27,Infinity
c4,3,-112,-27,Infinity
c1,2,-27,-27,Infinity
d5,3,-110,-27,Infinity
c1,2,-27,-27,Infinity
e5,3,-110,-27,Infinity
c1,2,-27,-27,Infinity
f5,3,-122,-27,Infinity
c1,2,-27,-27,Infinity
e6,3,-106,-27,Infinity
c1,2,-27,-27,Infinity
g7,3,-158,-27,Infinity
c1,2,-27,-27,Infinity
d1,1,-27,-Infinity,-27
f1,2,-Infinity,-Infinity,-27
a3,3,-106,-Infinity,-27
f1,2,-106,-106,-27
b3,3,-102,-106,-27
f1,2,-102,-102,-27
g3,3,-106,-102,-27
f1,2,-102,-102,-27
c4,3,-102,-102,-27
f1,2,-102,-102,-27
d5,3,-72,-102,-27
f1,2,-72,-72,-27
e5,3,-100,-72,-27
f1,2,-72,-72,-27
f5,3,-112,-72,-27
f1,2,-72,-72,-27
e6,3,-88,-72,-27
f1,2,-72,-72,-27
g7,3,-140,-72,-27
f1,2,-72,-72,-27
d1,1,-72,-Infinity,-72
g3,2,-Infinity,-Infinity,-72
a3,3,-120,-Infinity,-72
g3,2,-120,-120,-72
b3,3,-102,-120,-72
g3,2,-102,-102,-72
c4,3,-114,-102,-72
g3,2,-102,-102,-72
d5,3,-86,-102,-72
g3,2,-86,-86,-72
e5,3,-106,-86,-72
g3,2,-86,-86,-72
f5,3,-116,-86,-72
g3,2,-86,-86,-72
e6,3,-102,-86,-72
g3,2,-86,-86,-72
f6,3,-121,-86,-72
g3,2,-86,-86,-72
g7,3,-174,-86,-72
g3,2,-86,-86,-72
d1,1,-86,-Infinity,-86
a4,2,-Infinity,-Infinity,-86
a3,3,-124,-Infinity,-86
