*XXXOX**
O*XXOO**
*XXXXXOO
OOXX*XOX
*X*XOOXO
OX*XOOXO
*XXOXX*O
OOOOO**X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
d2,3,-180,-Infinity,Infinity
a1,2,-180,-180,Infinity
g2,3,-217,-180,Infinity
a1,2,-180,-180,Infinity
h2,3,-171,-180,Infinity
a1,2,-171,-171,Infinity
e4,3,-153,-171,Infinity
a1,2,-153,-153,Infinity
a5,3,-179,-153,Infinity
a1,2,-153,-153,Infinity
g7,3,-189,-153,Infinity
a1,2,-153,-153,Infinity
g1,1,-153,-Infinity,-153
h1,2,-Infinity,-Infinity,-153
d2,3,-168,-Infinity,-153
h1,2,-168,-168,-153
g2,3,-205,-168,-153
h1,2,-168,-168,-153
h2,3,-159,-168,-153
h1,2,-159,-159,-153
e4,3,-141,-159,-153
h1,2,-141,-159,-153
g1,1,-153,-Infinity,-153
b2,2,-Infinity,-Infinity,-153
d2,3,-51,-Infinity,-153
b2,2,-51,-Infinity,-153
g1,1,-153,-Infinity,-153
d2,2,-Infinity,-Infinity,-153
b2,3,-97,-Infinity,-153
d2,2,-97,-Infinity,-153
g1,1,-153,-Infinity,-153
g2,2,-Infinity,-Infinity,-153
h1,3,15,-Infinity,-153
g2,2,15,-Infinity,-153
g1,1,-153,-Infinity,-153
a3,2,-Infinity,-Infinity,-153
b2,3,-106,-Infinity,-153
a3,2,-106,-Infinity,-153
g1,1,-153,-Infinity,-153
e4,2,-Infinity,-Infinity,-153
d2,3,-69,-Infinity,-153
e4,2,-69,-Infinity,-153
g1,1,-153,-Infinity,-153
a5,2,-Infinity,-Infinity,-153
d2,3,-59,-Infinity,-153
a5,2,-59,-Infinity,-153
g1,1,-153,-Infinity,-153
c5,2,-Infinity,-Infinity,-153
d2,3,-73,-Infinity,-153
c5,2,-73,-Infinity,-153
