XX*O*O*X
O*OXOXOO
OOO***OX
OX*X**OX
OX*XXOOO
*OXXOXO*
*X**X*X*
OOXXXO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g1,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
c1,3,138,-Infinity,Infinity
e1,2,138,138,Infinity
b2,3,52,138,Infinity
e1,2,138,138,Infinity
d3,3,86,138,Infinity
e1,2,138,138,Infinity
e4,3,98,138,Infinity
e1,2,138,138,Infinity
f4,3,102,138,Infinity
e1,2,138,138,Infinity
a6,3,114,138,Infinity
e1,2,138,138,Infinity
h6,3,110,138,Infinity
e1,2,138,138,Infinity
d7,3,103,138,Infinity
e1,2,138,138,Infinity
f7,3,94,138,Infinity
e1,2,138,138,Infinity
e8,3,108,138,Infinity
e1,2,138,138,Infinity
g1,1,138,-Infinity,138
d3,2,-Infinity,-Infinity,138
e1,3,122,-Infinity,138
d3,2,122,122,138
b2,3,54,122,138
d3,2,122,122,138
e4,3,100,122,138
d3,2,122,122,138
f4,3,104,122,138
d3,2,122,122,138
a6,3,116,122,138
d3,2,122,122,138
h6,3,112,122,138
d3,2,122,122,138
d7,3,105,122,138
d3,2,122,122,138
f7,3,96,122,138
d3,2,122,122,138
e8,3,110,122,138
d3,2,122,122,138
g1,1,122,-Infinity,122
f3,2,-Infinity,-Infinity,122
e1,3,111,-Infinity,122
f3,2,111,111,122
b2,3,71,111,122
f3,2,111,111,122
d3,3,93,111,122
f3,2,111,111,122
e3,3,107,111,122
f3,2,111,111,122
e4,3,119,111,122
f3,2,119,119,122
f4,3,103,119,122
f3,2,119,119,122
a6,3,121,119,122
f3,2,121,121,122
h6,3,117,121,122
f3,2,121,121,122
d7,3,104,121,122
f3,2,121,121,122
f7,3,101,121,122
f3,2,121,121,122
e8,3,115,121,122
f3,2,121,121,122
g1,1,121,-Infinity,121
c4,2,-Infinity,-Infinity,121
e1,3,114,-Infinity,121
