XXXXX**O
X*XOX*X*
XX*XXOOX
XX*O*XOX
*OXO*OX*
O*O**O*O
O*OOO*O*
OXXO*X*O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
f1,3,-159,-Infinity,Infinity
g1,2,-159,-159,Infinity
f2,3,-117,-159,Infinity
g1,2,-117,-117,Infinity
h2,3,-135,-117,Infinity
g1,2,-117,-117,Infinity
c3,3,-118,-117,Infinity
g1,2,-117,-117,Infinity
a5,3,-119,-117,Infinity
g1,2,-117,-117,Infinity
e5,3,-111,-117,Infinity
g1,2,-111,-111,Infinity
h5,3,-105,-111,Infinity
g1,2,-105,-105,Infinity
b6,3,-129,-105,Infinity
g1,2,-105,-105,Infinity
d6,3,-129,-105,Infinity
g1,2,-105,-105,Infinity
e6,3,-119,-105,Infinity
g1,2,-105,-105,Infinity
f7,3,-101,-105,Infinity
g1,2,-101,-101,Infinity
e8,3,-99,-101,Infinity
g1,2,-99,-99,Infinity
e1,1,-99,-Infinity,-99
b2,2,-Infinity,-Infinity,-99
f2,3,-127,-Infinity,-99
b2,2,-127,-127,-99
h2,3,-145,-127,-99
b2,2,-127,-127,-99
c3,3,-192,-127,-99
b2,2,-127,-127,-99
c4,3,-139,-127,-99
b2,2,-127,-127,-99
e4,3,-115,-127,-99
b2,2,-115,-115,-99
a5,3,-129,-115,-99
b2,2,-115,-115,-99
e5,3,-121,-115,-99
b2,2,-115,-115,-99
h5,3,-115,-115,-99
b2,2,-115,-115,-99
b6,3,-201,-115,-99
b2,2,-115,-115,-99
d6,3,-139,-115,-99
b2,2,-115,-115,-99
e6,3,-129,-115,-99
b2,2,-115,-115,-99
f7,3,-111,-115,-99
b2,2,-111,-111,-99
e8,3,-109,-111,-99
b2,2,-109,-109,-99
e1,1,-109,-Infinity,-109
f2,2,-Infinity,-Infinity,-109
f1,3,-165,-Infinity,-109
f2,2,-165,-165,-109
g1,3,-181,-165,-109
f2,2,-165,-165,-109
h2,3,-189,-165,-109
f2,2,-165,-165,-109
c3,3,-172,-165,-109
f2,2,-165,-165,-109
e4,3,-157,-165,-109
f2,2,-157,-157,-109
a5,3,-173,-157,-109
f2,2,-157,-157,-109
e5,3,-165,-157,-109
f2,2,-157,-157,-109
h5,3,-165,-157,-109
f2,2,-157,-157,-109
b6,3,-183,-157,-109
f2,2,-157,-157,-109
d6,3,-183,-157,-109
f2,2,-157,-157,-109
e6,3,-173,-157,-109
f2,2,-157,-157,-109
f7,3,-155,-157,-109
f2,2,-155,-155,-109
e8,3,-153,-155,-109
f2,2,-153,-153,-109
e1,1,-153,-Infinity,-153
c3,2,-Infinity,-Infinity,-153
f2,3,-188,-Infinity,-153
c3,2,-188,-188,-153
h2,3,-214,-188,-153
c3,2,-188,-188,-153
c4,3,-172,-188,-153
c3,2,-172,-172,-153
e4,3,-168,-172,-153
c3,2,-168,-168,-153
a5,3,-198,-168,-153
c3,2,-168,-168,-153
e5,3,-190,-168,-153
