*OO*X*X*
O*X*OOOX
OOO*X**X
X*OXOXOX
XXOO*OXX
*O*XXOXX
XO*XXOOX
**XOOX*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
f1,3,119,-Infinity,Infinity
d1,2,119,119,Infinity
b2,3,149,119,Infinity
d1,2,149,149,Infinity
d2,3,94,149,Infinity
d1,2,149,149,Infinity
d3,3,185,149,Infinity
d1,2,185,185,Infinity
g3,3,93,185,Infinity
d1,2,185,185,Infinity
b4,3,172,185,Infinity
d1,2,185,185,Infinity
e5,3,175,185,Infinity
d1,2,185,185,Infinity
a6,3,119,185,Infinity
d1,2,185,185,Infinity
c7,3,99,185,Infinity
d1,2,185,185,Infinity
b8,3,95,185,Infinity
d1,2,185,185,Infinity
g8,3,95,185,Infinity
d1,2,185,185,Infinity
h8,3,282,185,Infinity
d1,2,282,282,Infinity
a1,1,282,-Infinity,282
h1,2,-Infinity,-Infinity,282
d1,3,64,-Infinity,282
h1,2,64,64,282
b2,3,48,64,282
h1,2,64,64,282
d3,3,84,64,282
h1,2,84,84,282
g3,3,-8,84,282
h1,2,84,84,282
b4,3,71,84,282
h1,2,84,84,282
e5,3,74,84,282
h1,2,84,84,282
a6,3,18,84,282
h1,2,84,84,282
c6,3,95,84,282
h1,2,95,95,282
c7,3,-2,95,282
h1,2,95,95,282
b8,3,-6,95,282
h1,2,95,95,282
g8,3,-6,95,282
h1,2,95,95,282
a1,1,95,-Infinity,95
d2,2,-Infinity,-Infinity,95
d1,3,156,-Infinity,95
d2,2,156,-Infinity,95
a1,1,95,-Infinity,95
d3,2,-Infinity,-Infinity,95
d1,3,151,-Infinity,95
d3,2,151,-Infinity,95
a1,1,95,-Infinity,95
f3,2,-Infinity,-Infinity,95
d1,3,148,-Infinity,95
f3,2,148,-Infinity,95
a1,1,95,-Infinity,95
b4,2,-Infinity,-Infinity,95
d1,3,172,-Infinity,95
b4,2,172,-Infinity,95
a1,1,95,-Infinity,95
e5,2,-Infinity,-Infinity,95
d1,3,161,-Infinity,95
e5,2,161,-Infinity,95
a1,1,95,-Infinity,95
a6,2,-Infinity,-Infinity,95
d1,3,161,-Infinity,95
a6,2,161,-Infinity,95
a1,1,95,-Infinity,95
c6,2,-Infinity,-Infinity,95
d1,3,146,-Infinity,95
c6,2,146,-Infinity,95
a1,1,95,-Infinity,95
c7,2,-Infinity,-Infinity,95
d1,3,179,-Infinity,95
c7,2,179,-Infinity,95
a1,1,95,-Infinity,95
b8,2,-Infinity,-Infinity,95
d1,3,155,-Infinity,95
b8,2,155,-Infinity,95
a1,1,95,-Infinity,95
g8,2,-Infinity,-Infinity,95
d1,3,155,-Infinity,95
g8,2,155,-Infinity,95
a1,1,95,-Infinity,95
root,0,95,95,Infinity
f1,1,Infinity,95,Infinity
d1,2,-Infinity,95,Infinity
a1,3,131,95,Infinity
d1,2,131,131,Infinity
b2,3,10,131,Infinity
d1,2,131,131,Infinity
d2,3,3,131,Infinity
d1,2,131,131,Infinity
d3,3,34,131,Infinity
d1,2,131,131,Infinity
f3,3,19,131,Infinity
d1,2,131,131,Infinity
g3,3,2,131,Infinity
d1,2,131,131,Infinity
b4,3,33,131,Infinity
d1,2,131,131,Infinity
e5,3,36,131,Infinity
d1,2,131,131,Infinity
a6,3,-20,131,Infinity
d1,2,131,131,Infinity
c7,3,-40,131,Infinity
d1,2,131,131,Infinity
b8,3,-44,131,Infinity
d1,2,131,131,Infinity
g8,3,-44,131,Infinity
d1,2,131,131,Infinity
h8,3,143,131,Infinity
d1,2,143,143,Infinity
f1,1,143,95,143
h1,2,-Infinity,95,143
a1,3,18,95,143
h1,2,18,95,143
b2,3,-91,95,143
h1,2,18,95,143
d2,3,-98,95,143
h1,2,18,95,143
d3,3,-67,95,143
h1,2,18,95,143
f3,3,-82,95,143
h1,2,18,95,143
g3,3,-99,95,143
h1,2,18,95,143
b4,3,-68,95,143
h1,2,18,95,143
e5,3,-65,95,143
h1,2,18,95,143
a6,3,-121,95,143
h1,2,18,95,143
c6,3,-44,95,143
h1,2,18,95,143
c7,3,-141,95,143
h1,2,18,95,143
b8,3,-145,95,143
h1,2,18,95,143
g8,3,-145,95,143
h1,2,18,95,143
f1,1,18,95,143
root,0,95,95,Infinity
b2,1,Infinity,95,Infinity
d1,2,-Infinity,95,Infinity
a1,3,161,95,Infinity
d1,2,161,161,Infinity
f1,3,10,161,Infinity
d1,2,161,161,Infinity
d2,3,-23,161,Infinity
d1,2,161,161,Infinity
d3,3,70,161,Infinity
d1,2,161,161,Infinity
g3,3,-16,161,Infinity
d1,2,161,161,Infinity
b4,3,55,161,Infinity
d1,2,161,161,Infinity
e5,3,66,161,Infinity
d1,2,161,161,Infinity
a6,3,10,161,Infinity
d1,2,161,161,Infinity
c6,3,73,161,Infinity
d1,2,161,161,Infinity
c7,3,-10,161,Infinity
d1,2,161,161,Infinity
b8,3,-14,161,Infinity
d1,2,161,161,Infinity
g8,3,-14,161,Infinity
d1,2,161,161,Infinity
h8,3,173,161,Infinity
d1,2,173,173,Infinity
b2,1,173,95,173
h1,2,-Infinity,95,173
a1,3,48,95,173
h1,2,48,95,173
d3,3,-31,95,173
h1,2,48,95,173
g3,3,-117,95,173
h1,2,48,95,173
b4,3,-46,95,173
h1,2,48,95,173
e5,3,-35,95,173
h1,2,48,95,173
a6,3,-91,95,173
h1,2,48,95,173
c6,3,-28,95,173
h1,2,48,95,173
c7,3,-111,95,173
h1,2,48,95,173
b8,3,-115,95,173
h1,2,48,95,173
g8,3,-115,95,173
h1,2,48,95,173
b2,1,48,95,173
root,0,95,95,Infinity
d2,1,Infinity,95,Infinity
d1,2,-Infinity,95,Infinity
a1,3,106,95,Infinity
d1,2,106,106,Infinity
b2,3,-23,106,Infinity
d1,2,106,106,Infinity
d3,3,15,106,Infinity
d1,2,106,106,Infinity
g3,3,-15,106,Infinity
d1,2,106,106,Infinity
b4,3,22,106,Infinity
d1,2,106,106,Infinity
e5,3,11,106,Infinity
d1,2,106,106,Infinity
a6,3,-45,106,Infinity
d1,2,106,106,Infinity
c7,3,-65,106,Infinity
d1,2,106,106,Infinity
b8,3,-69,106,Infinity
d1,2,106,106,Infinity
g8,3,-69,106,Infinity
d1,2,106,106,Infinity
h8,3,118,106,Infinity
d1,2,118,118,Infinity
d2,1,118,95,118
h1,2,-Infinity,95,118
a1,3,-7,95,118
h1,2,-7,95,118
b2,3,-116,95,118
h1,2,-7,95,118
d3,3,-86,95,118
h1,2,-7,95,118
g3,3,-116,95,118
h1,2,-7,95,118
