XX*OX*XO
XOXOXXXX
XOX***OO
*XOO*O**
OX*XX**X
XXOOO*OO
OO*O****
*OX**O*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
d3,2,-Infinity,-Infinity,Infinity
f1,3,-143,-Infinity,Infinity
d3,2,-143,-143,Infinity
f3,3,-146,-143,Infinity
d3,2,-143,-143,Infinity
a4,3,-109,-143,Infinity
d3,2,-109,-109,Infinity
e4,3,-99,-109,Infinity
d3,2,-99,-99,Infinity
h4,3,-81,-99,Infinity
d3,2,-81,-81,Infinity
c5,3,-95,-81,Infinity
d3,2,-81,-81,Infinity
c6,3,-84,-81,Infinity
d3,2,-81,-81,Infinity
f6,3,-78,-81,Infinity
d3,2,-78,-78,Infinity
c7,3,-103,-78,Infinity
d3,2,-78,-78,Infinity
d8,3,-77,-78,Infinity
d3,2,-77,-77,Infinity
c1,1,-77,-Infinity,-77
a4,2,-Infinity,-Infinity,-77
f1,3,-151,-Infinity,-77
a4,2,-151,-151,-77
f3,3,-154,-151,-77
a4,2,-151,-151,-77
e4,3,-107,-151,-77
a4,2,-107,-107,-77
h4,3,-89,-107,-77
a4,2,-89,-89,-77
c5,3,-111,-89,-77
a4,2,-89,-89,-77
c6,3,-92,-89,-77
a4,2,-89,-89,-77
f6,3,-100,-89,-77
a4,2,-89,-89,-77
c7,3,-103,-89,-77
a4,2,-89,-89,-77
d8,3,-85,-89,-77
a4,2,-85,-85,-77
c1,1,-85,-Infinity,-85
e4,2,-Infinity,-Infinity,-85
f1,3,-141,-Infinity,-85
e4,2,-141,-141,-85
d3,3,-85,-141,-85
e4,2,-85,-141,-85
c1,1,-85,-Infinity,-85
g4,2,-Infinity,-Infinity,-85
f1,3,-122,-Infinity,-85
g4,2,-122,-122,-85
f3,3,-133,-122,-85
g4,2,-122,-122,-85
a4,3,-78,-122,-85
g4,2,-78,-122,-85
c1,1,-85,-Infinity,-85
h4,2,-Infinity,-Infinity,-85
f1,3,-99,-Infinity,-85
h4,2,-99,-99,-85
f3,3,-150,-99,-85
h4,2,-99,-99,-85
a4,3,-103,-99,-85
h4,2,-99,-99,-85
e4,3,-103,-99,-85
h4,2,-99,-99,-85
c5,3,-113,-99,-85
h4,2,-99,-99,-85
c6,3,-88,-99,-85
h4,2,-88,-88,-85
f6,3,-96,-88,-85
h4,2,-88,-88,-85
c7,3,-107,-88,-85
h4,2,-88,-88,-85
d8,3,-81,-88,-85
h4,2,-81,-88,-85
c1,1,-85,-Infinity,-85
f5,2,-Infinity,-Infinity,-85
f1,3,-139,-Infinity,-85
f5,2,-139,-139,-85
f3,3,-142,-139,-85
f5,2,-139,-139,-85
a4,3,-95,-139,-85
f5,2,-95,-95,-85
e4,3,-87,-95,-85
f5,2,-87,-87,-85
h4,3,-77,-87,-85
f5,2,-77,-87,-85
c1,1,-85,-Infinity,-85
f6,2,-Infinity,-Infinity,-85
f1,3,-148,-Infinity,-85
f6,2,-148,-148,-85
f3,3,-151,-148,-85
f6,2,-148,-148,-85
a4,3,-104,-148,-85
f6,2,-104,-104,-85
h4,3,-86,-104,-85
f6,2,-86,-86,-85
c5,3,-114,-86,-85
f6,2,-86,-86,-85
f5,3,-92,-86,-85
f6,2,-86,-86,-85
c6,3,-67,-86,-85
f6,2,-67,-86,-85
c1,1,-85,-Infinity,-85
e7,2,-Infinity,-Infinity,-85
f1,3,-138,-Infinity,-85
e7,2,-138,-138,-85
f3,3,-141,-138,-85
e7,2,-138,-138,-85
a4,3,-94,-138,-85
e7,2,-94,-94,-85
h4,3,-76,-94,-85
e7,2,-76,-94,-85
c1,1,-85,-Infinity,-85
f7,2,-Infinity,-Infinity,-85
f1,3,-129,-Infinity,-85
f7,2,-129,-129,-85
f3,3,-132,-129,-85
f7,2,-129,-129,-85
a4,3,-85,-129,-85
f7,2,-85,-129,-85
c1,1,-85,-Infinity,-85
h7,2,-Infinity,-Infinity,-85
f1,3,-141,-Infinity,-85
h7,2,-141,-141,-85
f3,3,-144,-141,-85
h7,2,-141,-141,-85
a4,3,-97,-141,-85
h7,2,-97,-97,-85
e4,3,-97,-97,-85
h7,2,-97,-97,-85
c5,3,-107,-97,-85
h7,2,-97,-97,-85
c6,3,-82,-97,-85
h7,2,-82,-97,-85
c1,1,-85,-Infinity,-85
a8,2,-Infinity,-Infinity,-85
f1,3,-200,-Infinity,-85
a8,2,-200,-200,-85
f3,3,-203,-200,-85
a8,2,-200,-200,-85
a4,3,-156,-200,-85
a8,2,-156,-156,-85
e4,3,-156,-156,-85
a8,2,-156,-156,-85
h4,3,-138,-156,-85
a8,2,-138,-138,-85
c5,3,-158,-138,-85
a8,2,-138,-138,-85
c6,3,-141,-138,-85
a8,2,-138,-138,-85
f6,3,-149,-138,-85
a8,2,-138,-138,-85
c7,3,-160,-138,-85
a8,2,-138,-138,-85
c1,1,-138,-Infinity,-138
d8,2,-Infinity,-Infinity,-138
f1,3,-133,-Infinity,-138
d8,2,-133,-Infinity,-138
c1,1,-138,-Infinity,-138
root,0,-138,-138,Infinity
f1,1,Infinity,-138,Infinity
c1,2,-Infinity,-138,Infinity
d3,3,-95,-138,Infinity
c1,2,-95,-95,Infinity
e3,3,-117,-95,Infinity
c1,2,-95,-95,Infinity
f3,3,-114,-95,Infinity
c1,2,-95,-95,Infinity
a4,3,-107,-95,Infinity
c1,2,-95,-95,Infinity
e4,3,-107,-95,Infinity
c1,2,-95,-95,Infinity
h4,3,-89,-95,Infinity
c1,2,-89,-89,Infinity
c5,3,-117,-89,Infinity
c1,2,-89,-89,Infinity
c6,3,-92,-89,Infinity
c1,2,-89,-89,Infinity
f6,3,-100,-89,Infinity
c1,2,-89,-89,Infinity
c7,3,-111,-89,Infinity
c1,2,-89,-89,Infinity
d8,3,-85,-89,Infinity
c1,2,-85,-85,Infinity
