*X*XO*OX
O*X**XOO
OXXXO*XX
OX*XO**O
XXO**OOO
X**OX*OX
OOXO*OOX
*O*X*X**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
e2,3,-302,-Infinity,Infinity
a1,2,-302,-302,Infinity
c4,3,-281,-302,Infinity
a1,2,-281,-281,Infinity
f4,3,-295,-281,Infinity
a1,2,-281,-281,Infinity
g4,3,-308,-281,Infinity
a1,2,-281,-281,Infinity
d5,3,-283,-281,Infinity
a1,2,-281,-281,Infinity
h5,3,-291,-281,Infinity
a1,2,-281,-281,Infinity
f6,3,-282,-281,Infinity
a1,2,-281,-281,Infinity
c1,1,-281,-Infinity,-281
f1,2,-Infinity,-Infinity,-281
e2,3,-223,-Infinity,-281
f1,2,-223,-Infinity,-281
c1,1,-281,-Infinity,-281
f3,2,-Infinity,-Infinity,-281
a1,3,-64,-Infinity,-281
f3,2,-64,-Infinity,-281
c1,1,-281,-Infinity,-281
f4,2,-Infinity,-Infinity,-281
a1,3,-101,-Infinity,-281
f4,2,-101,-Infinity,-281
c1,1,-281,-Infinity,-281
g4,2,-Infinity,-Infinity,-281
a1,3,-102,-Infinity,-281
g4,2,-102,-Infinity,-281
c1,1,-281,-Infinity,-281
d5,2,-Infinity,-Infinity,-281
a1,3,-107,-Infinity,-281
d5,2,-107,-Infinity,-281
c1,1,-281,-Infinity,-281
e5,2,-Infinity,-Infinity,-281
a1,3,-113,-Infinity,-281
e5,2,-113,-Infinity,-281
c1,1,-281,-Infinity,-281
h5,2,-Infinity,-Infinity,-281
a1,3,-115,-Infinity,-281
h5,2,-115,-Infinity,-281
c1,1,-281,-Infinity,-281
b6,2,-Infinity,-Infinity,-281
a1,3,-101,-Infinity,-281
b6,2,-101,-Infinity,-281
c1,1,-281,-Infinity,-281
c6,2,-Infinity,-Infinity,-281
a1,3,-112,-Infinity,-281
c6,2,-112,-Infinity,-281
c1,1,-281,-Infinity,-281
f6,2,-Infinity,-Infinity,-281
a1,3,-88,-Infinity,-281
f6,2,-88,-Infinity,-281
c1,1,-281,-Infinity,-281
e7,2,-Infinity,-Infinity,-281
a1,3,-48,-Infinity,-281
e7,2,-48,-Infinity,-281
c1,1,-281,-Infinity,-281
a8,2,-Infinity,-Infinity,-281
a1,3,-180,-Infinity,-281
a8,2,-180,-Infinity,-281
c1,1,-281,-Infinity,-281
c8,2,-Infinity,-Infinity,-281
a1,3,-51,-Infinity,-281
c8,2,-51,-Infinity,-281
c1,1,-281,-Infinity,-281
g8,2,-Infinity,-Infinity,-281
a1,3,-25,-Infinity,-281
g8,2,-25,-Infinity,-281
c1,1,-281,-Infinity,-281
root,0,-281,-281,Infinity
e2,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
c1,3,-302,-281,Infinity
a1,2,-302,-281,Infinity
c4,3,-310,-281,Infinity
a1,2,-302,-281,Infinity
f4,3,-326,-281,Infinity
a1,2,-302,-281,Infinity
g4,3,-339,-281,Infinity
a1,2,-302,-281,Infinity
d5,3,-314,-281,Infinity
a1,2,-302,-281,Infinity
h5,3,-322,-281,Infinity
a1,2,-302,-281,Infinity
f6,3,-313,-281,Infinity
a1,2,-302,-281,Infinity
e2,1,-302,-281,Infinity
root,0,-281,-281,Infinity
c4,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
c1,3,-295,-281,Infinity
a1,2,-295,-281,Infinity
b2,3,-331,-281,Infinity
a1,2,-295,-281,Infinity
d2,3,-302,-281,Infinity
a1,2,-295,-281,Infinity
e2,3,-324,-281,Infinity
a1,2,-295,-281,Infinity
f4,3,-325,-281,Infinity
a1,2,-295,-281,Infinity
g4,3,-338,-281,Infinity
a1,2,-295,-281,Infinity
d5,3,-313,-281,Infinity
a1,2,-295,-281,Infinity
h5,3,-321,-281,Infinity
a1,2,-295,-281,Infinity
b6,3,-331,-281,Infinity
a1,2,-295,-281,Infinity
f6,3,-312,-281,Infinity
a1,2,-295,-281,Infinity
c4,1,-295,-281,Infinity
root,0,-281,-281,Infinity
f4,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
c1,3,-295,-281,Infinity
a1,2,-295,-281,Infinity
e2,3,-326,-281,Infinity
a1,2,-295,-281,Infinity
c4,3,-311,-281,Infinity
a1,2,-295,-281,Infinity
g4,3,-324,-281,Infinity
a1,2,-295,-281,Infinity
d5,3,-307,-281,Infinity
a1,2,-295,-281,Infinity
h5,3,-315,-281,Infinity
a1,2,-295,-281,Infinity
f6,3,-306,-281,Infinity
a1,2,-295,-281,Infinity
f4,1,-295,-281,Infinity
root,0,-281,-281,Infinity
g4,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
c1,3,-308,-281,Infinity
a1,2,-308,-281,Infinity
e2,3,-339,-281,Infinity
a1,2,-308,-281,Infinity
c4,3,-324,-281,Infinity
a1,2,-308,-281,Infinity
d5,3,-320,-281,Infinity
a1,2,-308,-281,Infinity
f6,3,-313,-281,Infinity
a1,2,-308,-281,Infinity
g4,1,-308,-281,Infinity
root,0,-281,-281,Infinity
d5,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
c1,3,-283,-281,Infinity
a1,2,-283,-281,Infinity
d2,3,-298,-281,Infinity
a1,2,-283,-281,Infinity
e2,3,-314,-281,Infinity
a1,2,-283,-281,Infinity
c4,3,-299,-281,Infinity
a1,2,-283,-281,Infinity
f4,3,-307,-281,Infinity
a1,2,-283,-281,Infinity
g4,3,-320,-281,Infinity
a1,2,-283,-281,Infinity
h5,3,-303,-281,Infinity
a1,2,-283,-281,Infinity
f6,3,-302,-281,Infinity
a1,2,-283,-281,Infinity
d5,1,-283,-281,Infinity
root,0,-281,-281,Infinity
h5,1,Infinity,-281,Infinity
a1,2,-Infinity,-281,Infinity
