OOXOOXO*
*X*X*OO*
*OXO*X*O
OX***OO*
O*XXXO**
*OX**O*O
XX*OXXX*
XOO*OO*O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
h1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
a3,3,-193,-Infinity,Infinity
e2,2,-193,-193,Infinity
e3,3,-189,-193,Infinity
e2,2,-189,-189,Infinity
g3,3,-189,-189,Infinity
e2,2,-189,-189,Infinity
c4,3,-187,-189,Infinity
e2,2,-187,-187,Infinity
d4,3,-185,-187,Infinity
e2,2,-185,-185,Infinity
e4,3,-179,-185,Infinity
e2,2,-179,-179,Infinity
g5,3,-174,-179,Infinity
e2,2,-174,-174,Infinity
a6,3,-193,-174,Infinity
e2,2,-174,-174,Infinity
c7,3,-251,-174,Infinity
e2,2,-174,-174,Infinity
a8,3,-142,-174,Infinity
e2,2,-142,-142,Infinity
h1,1,-142,-Infinity,-142
h2,2,-Infinity,-Infinity,-142
a3,3,-126,-Infinity,-142
h2,2,-126,-Infinity,-142
h1,1,-142,-Infinity,-142
c4,2,-Infinity,-Infinity,-142
a2,3,-188,-Infinity,-142
c4,2,-188,-188,-142
e2,3,-191,-188,-142
c4,2,-188,-188,-142
a3,3,-186,-188,-142
c4,2,-186,-186,-142
e3,3,-176,-186,-142
c4,2,-176,-176,-142
g3,3,-176,-176,-142
c4,2,-176,-176,-142
d4,3,-172,-176,-142
c4,2,-172,-172,-142
b5,3,-197,-172,-142
c4,2,-172,-172,-142
g5,3,-161,-172,-142
c4,2,-161,-161,-142
h5,3,-180,-161,-142
c4,2,-161,-161,-142
a6,3,-180,-161,-142
c4,2,-161,-161,-142
c7,3,-238,-161,-142
c4,2,-161,-161,-142
a8,3,-129,-161,-142
c4,2,-129,-161,-142
h1,1,-142,-Infinity,-142
d4,2,-Infinity,-Infinity,-142
e2,3,-167,-Infinity,-142
d4,2,-167,-167,-142
a3,3,-196,-167,-142
d4,2,-167,-167,-142
e3,3,-160,-167,-142
d4,2,-160,-160,-142
c4,3,-144,-160,-142
d4,2,-144,-144,-142
b5,3,-151,-144,-142
d4,2,-144,-144,-142
g5,3,-137,-144,-142
d4,2,-137,-144,-142
h1,1,-142,-Infinity,-142
e4,2,-Infinity,-Infinity,-142
e2,3,-207,-Infinity,-142
e4,2,-207,-207,-142
a3,3,-196,-207,-142
e4,2,-196,-196,-142
e3,3,-192,-196,-142
e4,2,-192,-192,-142
g3,3,-192,-192,-142
e4,2,-192,-192,-142
d4,3,-188,-192,-142
e4,2,-188,-188,-142
g5,3,-177,-188,-142
e4,2,-177,-177,-142
h5,3,-196,-177,-142
e4,2,-177,-177,-142
c7,3,-240,-177,-142
e4,2,-177,-177,-142
a8,3,-131,-177,-142
e4,2,-131,-177,-142
h1,1,-142,-Infinity,-142
b5,2,-Infinity,-Infinity,-142
e2,3,-206,-Infinity,-142
b5,2,-206,-206,-142
a3,3,-195,-206,-142
b5,2,-195,-195,-142
e3,3,-191,-195,-142
b5,2,-191,-191,-142
d4,3,-173,-191,-142
b5,2,-173,-173,-142
g5,3,-184,-173,-142
b5,2,-173,-173,-142
h5,3,-195,-173,-142
b5,2,-173,-173,-142
c7,3,-253,-173,-142
b5,2,-173,-173,-142
h1,1,-173,-Infinity,-173
d6,2,-Infinity,-Infinity,-173
e2,3,-205,-Infinity,-173
d6,2,-205,-205,-173
a3,3,-194,-205,-173
d6,2,-194,-194,-173
e3,3,-190,-194,-173
d6,2,-190,-190,-173
d4,3,-172,-190,-173
d6,2,-172,-190,-173
h1,1,-173,-Infinity,-173
e6,2,-Infinity,-Infinity,-173
e2,3,-191,-Infinity,-173
e6,2,-191,-191,-173
a3,3,-180,-191,-173
e6,2,-180,-180,-173
e3,3,-176,-180,-173
e6,2,-176,-176,-173
g3,3,-176,-176,-173
e6,2,-176,-176,-173
d4,3,-172,-176,-173
e6,2,-172,-176,-173
h1,1,-173,-Infinity,-173
g6,2,-Infinity,-Infinity,-173
e2,3,-181,-Infinity,-173
g6,2,-181,-181,-173
a3,3,-170,-181,-173
g6,2,-170,-181,-173
h1,1,-173,-Infinity,-173
h7,2,-Infinity,-Infinity,-173
e2,3,-123,-Infinity,-173
h7,2,-123,-Infinity,-173
h1,1,-173,-Infinity,-173
d8,2,-Infinity,-Infinity,-173
e2,3,-193,-Infinity,-173
d8,2,-193,-193,-173
a3,3,-182,-193,-173
d8,2,-182,-182,-173
e3,3,-178,-182,-173
d8,2,-178,-178,-173
g3,3,-178,-178,-173
d8,2,-178,-178,-173
d4,3,-174,-178,-173
d8,2,-174,-174,-173
g5,3,-177,-174,-173
d8,2,-174,-174,-173
h5,3,-182,-174,-173
d8,2,-174,-174,-173
a6,3,-182,-174,-173
d8,2,-174,-174,-173
c7,3,-246,-174,-173
d8,2,-174,-174,-173
a8,3,-131,-174,-173
d8,2,-131,-174,-173
h1,1,-173,-Infinity,-173
root,0,-173,-173,Infinity
a3,1,Infinity,-173,Infinity
a2,2,-Infinity,-173,Infinity
h1,3,-190,-173,Infinity
a2,2,-190,-173,Infinity
e3,3,-213,-173,Infinity
a2,2,-190,-173,Infinity
g3,3,-221,-173,Infinity
a2,2,-190,-173,Infinity
d4,3,-217,-173,Infinity
a2,2,-190,-173,Infinity
g5,3,-206,-173,Infinity
a2,2,-190,-173,Infinity
h5,3,-225,-173,Infinity
a2,2,-190,-173,Infinity
a6,3,-225,-173,Infinity
a2,2,-190,-173,Infinity
c7,3,-283,-173,Infinity
a2,2,-190,-173,Infinity
a8,3,-174,-173,Infinity
a2,2,-174,-173,Infinity
a3,1,-174,-173,Infinity
root,0,-173,-173,Infinity
e3,1,Infinity,-173,Infinity
e2,2,-Infinity,-173,Infinity
h1,3,-133,-173,Infinity
e2,2,-133,-133,Infinity
h2,3,-286,-133,Infinity
e2,2,-133,-133,Infinity
a3,3,-216,-133,Infinity
e2,2,-133,-133,Infinity
g3,3,-198,-133,Infinity
e2,2,-133,-133,Infinity
g5,3,-189,-133,Infinity
e2,2,-133,-133,Infinity
a6,3,-216,-133,Infinity
e2,2,-133,-133,Infinity
c7,3,-274,-133,Infinity
e2,2,-133,-133,Infinity
a8,3,-165,-133,Infinity
e2,2,-133,-133,Infinity
e3,1,-133,-173,-133
g3,2,-Infinity,-173,-133
h1,3,-162,-173,-133
g3,2,-162,-162,-133
h2,3,-253,-162,-133
g3,2,-162,-162,-133
d4,3,-223,-162,-133
g3,2,-162,-162,-133
g5,3,-210,-162,-133
g3,2,-162,-162,-133
a6,3,-245,-162,-133
g3,2,-162,-162,-133
c7,3,-303,-162,-133
g3,2,-162,-162,-133
a8,3,-194,-162,-133
g3,2,-162,-162,-133
e3,1,-162,-173,-162
c4,2,-Infinity,-173,-162
h1,3,-168,-173,-162
c4,2,-168,-168,-162
a2,3,-211,-168,-162
c4,2,-168,-168,-162
a3,3,-209,-168,-162
c4,2,-168,-168,-162
g3,3,-199,-168,-162
c4,2,-168,-168,-162
b5,3,-212,-168,-162
c4,2,-168,-168,-162
g5,3,-176,-168,-162
c4,2,-168,-168,-162
h5,3,-203,-168,-162
c4,2,-168,-168,-162
a6,3,-203,-168,-162
c4,2,-168,-168,-162
c7,3,-261,-168,-162
c4,2,-168,-168,-162
a8,3,-152,-168,-162
c4,2,-152,-168,-162
e3,1,-162,-173,-162
d4,2,-Infinity,-173,-162
h1,3,-154,-173,-162
d4,2,-154,-173,-162
e3,1,-162,-173,-162
e4,2,-Infinity,-173,-162
h1,3,-150,-173,-162
e4,2,-150,-173,-162
