X*OOO**X
XXO*OOO*
*X***O*O
X**XOOO*
*XOXOOX*
***OXOOX
XOO**XO*
OXXOOOO*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
g1,3,-123,-Infinity,Infinity
f1,2,-123,-123,Infinity
a3,3,-171,-123,Infinity
f1,2,-123,-123,Infinity
c3,3,-124,-123,Infinity
f1,2,-123,-123,Infinity
d3,3,-127,-123,Infinity
f1,2,-123,-123,Infinity
e3,3,-127,-123,Infinity
f1,2,-123,-123,Infinity
g3,3,-135,-123,Infinity
f1,2,-123,-123,Infinity
c4,3,-127,-123,Infinity
f1,2,-123,-123,Infinity
a5,3,-131,-123,Infinity
f1,2,-123,-123,Infinity
h5,3,-123,-123,Infinity
f1,2,-123,-123,Infinity
a6,3,-139,-123,Infinity
f1,2,-123,-123,Infinity
c6,3,-124,-123,Infinity
f1,2,-123,-123,Infinity
d7,3,-118,-123,Infinity
f1,2,-118,-118,Infinity
e7,3,-134,-118,Infinity
f1,2,-118,-118,Infinity
e1,1,-118,-Infinity,-118
d2,2,-Infinity,-Infinity,-118
a3,3,-116,-Infinity,-118
d2,2,-116,-Infinity,-118
e1,1,-118,-Infinity,-118
e3,2,-Infinity,-Infinity,-118
a3,3,-139,-Infinity,-118
e3,2,-139,-139,-118
c3,3,-92,-139,-118
e3,2,-92,-139,-118
e1,1,-118,-Infinity,-118
g3,2,-Infinity,-Infinity,-118
a3,3,-125,-Infinity,-118
g3,2,-125,-125,-118
c3,3,-78,-125,-118
g3,2,-78,-125,-118
e1,1,-118,-Infinity,-118
h4,2,-Infinity,-Infinity,-118
a3,3,-135,-Infinity,-118
h4,2,-135,-135,-118
c3,3,-88,-135,-118
h4,2,-88,-135,-118
e1,1,-118,-Infinity,-118
h5,2,-Infinity,-Infinity,-118
a3,3,-125,-Infinity,-118
h5,2,-125,-125,-118
c3,3,-78,-125,-118
h5,2,-78,-125,-118
e1,1,-118,-Infinity,-118
a6,2,-Infinity,-Infinity,-118
a3,3,-87,-Infinity,-118
a6,2,-87,-Infinity,-118
e1,1,-118,-Infinity,-118
b6,2,-Infinity,-Infinity,-118
a3,3,-83,-Infinity,-118
b6,2,-83,-Infinity,-118
e1,1,-118,-Infinity,-118
c6,2,-Infinity,-Infinity,-118
a3,3,-134,-Infinity,-118
c6,2,-134,-134,-118
c3,3,-87,-134,-118
c6,2,-87,-134,-118
e1,1,-118,-Infinity,-118
d7,2,-Infinity,-Infinity,-118
a3,3,-76,-Infinity,-118
d7,2,-76,-Infinity,-118
e1,1,-118,-Infinity,-118
e7,2,-Infinity,-Infinity,-118
a3,3,-138,-Infinity,-118
e7,2,-138,-138,-118
c3,3,-91,-138,-118
e7,2,-91,-138,-118
e1,1,-118,-Infinity,-118
h7,2,-Infinity,-Infinity,-118
a3,3,-71,-Infinity,-118
h7,2,-71,-Infinity,-118
e1,1,-118,-Infinity,-118
h8,2,-Infinity,-Infinity,-118
