*XXXXOOO
X*XO**XX
OXXXOX**
*XOXX*O*
*XXXX*OX
OXXXOOO*
OX*O*XOO
XXOOX***
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e2,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
a5,3,-140,-Infinity,Infinity
a1,2,-140,-140,Infinity
e5,3,-138,-140,Infinity
a1,2,-138,-138,Infinity
f5,3,-134,-138,Infinity
a1,2,-134,-134,Infinity
h6,3,-124,-134,Infinity
a1,2,-124,-124,Infinity
e2,1,-124,-Infinity,-124
b2,2,-Infinity,-Infinity,-124
a4,3,-7,-Infinity,-124
b2,2,-7,-Infinity,-124
e2,1,-124,-Infinity,-124
f2,2,-Infinity,-Infinity,-124
g3,3,-55,-Infinity,-124
f2,2,-55,-Infinity,-124
e2,1,-124,-Infinity,-124
g3,2,-Infinity,-Infinity,-124
b2,3,-55,-Infinity,-124
g3,2,-55,-Infinity,-124
e2,1,-124,-Infinity,-124
h3,2,-Infinity,-Infinity,-124
a4,3,39,-Infinity,-124
h3,2,39,-Infinity,-124
e2,1,-124,-Infinity,-124
a4,2,-Infinity,-Infinity,-124
a5,3,-19,-Infinity,-124
a4,2,-19,-Infinity,-124
e2,1,-124,-Infinity,-124
f4,2,-Infinity,-Infinity,-124
a4,3,-21,-Infinity,-124
f4,2,-21,-Infinity,-124
e2,1,-124,-Infinity,-124
a5,2,-Infinity,-Infinity,-124
a4,3,-11,-Infinity,-124
a5,2,-11,-Infinity,-124
e2,1,-124,-Infinity,-124
c7,2,-Infinity,-Infinity,-124
a4,3,21,-Infinity,-124
c7,2,21,-Infinity,-124
e2,1,-124,-Infinity,-124
e7,2,-Infinity,-Infinity,-124
a4,3,-14,-Infinity,-124
e7,2,-14,-Infinity,-124
e2,1,-124,-Infinity,-124
f8,2,-Infinity,-Infinity,-124
a4,3,-29,-Infinity,-124
f8,2,-29,-Infinity,-124
e2,1,-124,-Infinity,-124
g8,2,-Infinity,-Infinity,-124
a4,3,-1,-Infinity,-124
g8,2,-1,-Infinity,-124
e2,1,-124,-Infinity,-124
root,0,-124,-124,Infinity
f2,1,Infinity,-124,Infinity
a1,2,-Infinity,-124,Infinity
e2,3,-142,-124,Infinity
a1,2,-142,-124,Infinity
a5,3,-127,-124,Infinity
a1,2,-127,-124,Infinity
e5,3,-133,-124,Infinity
a1,2,-127,-124,Infinity
f5,3,-121,-124,Infinity
a1,2,-121,-121,Infinity
h6,3,-111,-121,Infinity
a1,2,-111,-111,Infinity
f2,1,-111,-124,-111
b2,2,-Infinity,-124,-111
a1,3,57,-124,-111
b2,2,57,-124,-111
f2,1,-111,-124,-111
e2,2,-Infinity,-124,-111
g3,3,-35,-124,-111
e2,2,-35,-124,-111
f2,1,-111,-124,-111
g3,2,-Infinity,-124,-111
b2,3,-28,-124,-111
g3,2,-28,-124,-111
f2,1,-111,-124,-111
h3,2,-Infinity,-124,-111
e2,3,21,-124,-111
h3,2,21,-124,-111
f2,1,-111,-124,-111
a4,2,-Infinity,-124,-111
e2,3,-43,-124,-111
a4,2,-43,-124,-111
f2,1,-111,-124,-111
f4,2,-Infinity,-124,-111
e2,3,-53,-124,-111
f4,2,-53,-124,-111
f2,1,-111,-124,-111
a5,2,-Infinity,-124,-111
b2,3,-52,-124,-111
a5,2,-52,-124,-111
f2,1,-111,-124,-111
c7,2,-Infinity,-124,-111
e2,3,-5,-124,-111
c7,2,-5,-124,-111
f2,1,-111,-124,-111
e7,2,-Infinity,-124,-111
e2,3,-34,-124,-111
e7,2,-34,-124,-111
f2,1,-111,-124,-111
f8,2,-Infinity,-124,-111
e2,3,-47,-124,-111
f8,2,-47,-124,-111
f2,1,-111,-124,-111
g8,2,-Infinity,-124,-111
e2,3,-19,-124,-111
g8,2,-19,-124,-111
f2,1,-111,-124,-111
root,0,-111,-111,Infinity
a4,1,Infinity,-111,Infinity
a1,2,-Infinity,-111,Infinity
e2,3,-140,-111,Infinity
a1,2,-140,-111,Infinity
f2,3,-127,-111,Infinity
a1,2,-127,-111,Infinity
a5,3,-133,-111,Infinity
a1,2,-127,-111,Infinity
e5,3,-131,-111,Infinity
a1,2,-127,-111,Infinity
f5,3,-127,-111,Infinity
a1,2,-127,-111,Infinity
h6,3,-117,-111,Infinity
a1,2,-117,-111,Infinity
a4,1,-117,-111,Infinity
root,0,-111,-111,Infinity
f4,1,Infinity,-111,Infinity
a1,2,-Infinity,-111,Infinity
h4,3,-139,-111,Infinity
a1,2,-139,-111,Infinity
a5,3,-133,-111,Infinity
a1,2,-133,-111,Infinity
e5,3,-131,-111,Infinity
a1,2,-131,-111,Infinity
f5,3,-127,-111,Infinity
a1,2,-127,-111,Infinity
h6,3,-123,-111,Infinity
a1,2,-123,-111,Infinity
f4,1,-123,-111,Infinity
root,0,-111,-111,Infinity
a5,1,Infinity,-111,Infinity
a1,2,-Infinity,-111,Infinity
e2,3,-140,-111,Infinity
a1,2,-140,-111,Infinity
f2,3,-127,-111,Infinity
a1,2,-127,-111,Infinity
e5,3,-131,-111,Infinity
a1,2,-127,-111,Infinity
f5,3,-127,-111,Infinity
a1,2,-127,-111,Infinity
h6,3,-117,-111,Infinity
a1,2,-117,-111,Infinity
a5,1,-117,-111,Infinity
root,0,-111,-111,Infinity
e5,1,Infinity,-111,Infinity
a1,2,-Infinity,-111,Infinity
e2,3,-138,-111,Infinity
a1,2,-138,-111,Infinity
f2,3,-133,-111,Infinity
a1,2,-133,-111,Infinity
a5,3,-131,-111,Infinity
a1,2,-131,-111,Infinity
f5,3,-125,-111,Infinity
a1,2,-125,-111,Infinity
h6,3,-115,-111,Infinity
a1,2,-115,-111,Infinity
e7,3,-132,-111,Infinity
a1,2,-115,-111,Infinity
h8,3,-72,-111,Infinity
a1,2,-72,-72,Infinity
e5,1,-72,-111,-72
b2,2,-Infinity,-111,-72
e2,3,-69,-111,-72
b2,2,-69,-111,-72
e5,1,-72,-111,-72
e2,2,-Infinity,-111,-72
f2,3,-57,-111,-72
e2,2,-57,-111,-72
e5,1,-72,-111,-72
g3,2,-Infinity,-111,-72
e2,3,15,-111,-72
g3,2,15,-111,-72
e5,1,-72,-111,-72
h3,2,-Infinity,-111,-72
e2,3,25,-111,-72
h3,2,25,-111,-72
e5,1,-72,-111,-72
