OOOOOX*O
O*OOXXX*
XXXOOXO*
*X*OXO**
XXO*XXO*
XX*XO*OX
XOXXX*XX
*OX*X*OX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
b2,2,-Infinity,-Infinity,Infinity
g1,3,76,-Infinity,Infinity
b2,2,76,76,Infinity
h2,3,-8,76,Infinity
b2,2,76,76,Infinity
a4,3,130,76,Infinity
b2,2,130,130,Infinity
c4,3,126,130,Infinity
b2,2,130,130,Infinity
g4,3,137,130,Infinity
b2,2,137,137,Infinity
d5,3,98,137,Infinity
b2,2,137,137,Infinity
c6,3,139,137,Infinity
b2,2,139,139,Infinity
f6,3,139,139,Infinity
b2,2,139,139,Infinity
f7,3,100,139,Infinity
b2,2,139,139,Infinity
d8,3,146,139,Infinity
b2,2,146,146,Infinity
f8,3,134,146,Infinity
b2,2,146,146,Infinity
c1,1,146,-Infinity,146
h2,2,-Infinity,-Infinity,146
g1,3,94,-Infinity,146
h2,2,94,94,146
b2,3,56,94,146
h2,2,94,94,146
h3,3,92,94,146
h2,2,94,94,146
a4,3,108,94,146
h2,2,108,108,146
c4,3,104,108,146
h2,2,108,108,146
g4,3,115,108,146
h2,2,115,115,146
h4,3,84,115,146
h2,2,115,115,146
d5,3,68,115,146
h2,2,115,115,146
c6,3,109,115,146
h2,2,115,115,146
f6,3,101,115,146
h2,2,115,115,146
f7,3,70,115,146
h2,2,115,115,146
d8,3,116,115,146
h2,2,116,116,146
f8,3,104,116,146
h2,2,116,116,146
c1,1,116,-Infinity,116
h3,2,-Infinity,-Infinity,116
g1,3,86,-Infinity,116
h3,2,86,86,116
b2,3,48,86,116
h3,2,86,86,116
h2,3,8,86,116
h3,2,86,86,116
a4,3,100,86,116
h3,2,100,100,116
c4,3,96,100,116
h3,2,100,100,116
g4,3,99,100,116
h3,2,100,100,116
h4,3,76,100,116
h3,2,100,100,116
d5,3,60,100,116
h3,2,100,100,116
c6,3,101,100,116
h3,2,101,101,116
f6,3,101,101,116
h3,2,101,101,116
f7,3,62,101,116
h3,2,101,101,116
d8,3,108,101,116
h3,2,108,108,116
f8,3,96,108,116
h3,2,108,108,116
c1,1,108,-Infinity,108
c4,2,-Infinity,-Infinity,108
g1,3,26,-Infinity,108
c4,2,26,26,108
b2,3,22,26,108
c4,2,26,26,108
h2,3,4,26,108
c4,2,26,26,108
a4,3,90,26,108
c4,2,90,90,108
g4,3,87,90,108
c4,2,90,90,108
d5,3,56,90,108
c4,2,90,90,108
c6,3,89,90,108
c4,2,90,90,108
f6,3,89,90,108
c4,2,90,90,108
f7,3,50,90,108
c4,2,90,90,108
d8,3,96,90,108
c4,2,96,96,108
f8,3,84,96,108
c4,2,96,96,108
c1,1,96,-Infinity,96
g4,2,-Infinity,-Infinity,96
g1,3,-21,-Infinity,96
g4,2,-21,-21,96
b2,3,65,-21,96
g4,2,65,65,96
h2,3,33,65,96
g4,2,65,65,96
h3,3,119,65,96
g4,2,119,65,96
c1,1,96,-Infinity,96
h4,2,-Infinity,-Infinity,96
g1,3,88,-Infinity,96
h4,2,88,88,96
b2,3,50,88,96
h4,2,88,88,96
h2,3,10,88,96
h4,2,88,88,96
h3,3,102,88,96
h4,2,102,88,96
c1,1,96,-Infinity,96
d5,2,-Infinity,-Infinity,96
g1,3,30,-Infinity,96
d5,2,30,30,96
b2,3,40,30,96
d5,2,40,40,96
h2,3,8,40,96
d5,2,40,40,96
a4,3,92,40,96
d5,2,92,92,96
c4,3,88,92,96
d5,2,92,92,96
g4,3,91,92,96
d5,2,92,92,96
c6,3,59,92,96
d5,2,92,92,96
f6,3,93,92,96
d5,2,93,93,96
f7,3,54,93,96
d5,2,93,93,96
d8,3,102,93,96
d5,2,102,93,96
c1,1,96,-Infinity,96
h5,2,-Infinity,-Infinity,96
g1,3,38,-Infinity,96
h5,2,38,38,96
b2,3,48,38,96
h5,2,48,48,96
h2,3,16,48,96
h5,2,48,48,96
a4,3,100,48,96
h5,2,100,48,96
c1,1,96,-Infinity,96
f6,2,-Infinity,-Infinity,96
g1,3,31,-Infinity,96
f6,2,31,31,96
b2,3,41,31,96
f6,2,41,41,96
h2,3,9,41,96
f6,2,41,41,96
a4,3,93,41,96
f6,2,93,93,96
c4,3,89,93,96
f6,2,93,93,96
g4,3,84,93,96
f6,2,93,93,96
d5,3,53,93,96
f6,2,93,93,96
f7,3,77,93,96
f6,2,93,93,96
d8,3,109,93,96
f6,2,109,93,96
c1,1,96,-Infinity,96
a8,2,-Infinity,-Infinity,96
g1,3,-45,-Infinity,96
a8,2,-45,-45,96
b2,3,-35,-45,96
a8,2,-35,-35,96
h2,3,-67,-35,96
a8,2,-35,-35,96
a4,3,17,-35,96
a8,2,17,17,96
c4,3,13,17,96
a8,2,17,17,96
g4,3,16,17,96
a8,2,17,17,96
d5,3,-23,17,96
a8,2,17,17,96
c6,3,18,17,96
a8,2,18,18,96
f6,3,18,18,96
a8,2,18,18,96
f7,3,-21,18,96
a8,2,18,18,96
f8,3,13,18,96
a8,2,18,18,96
c1,1,18,-Infinity,18
f8,2,-Infinity,-Infinity,18
g1,3,46,-Infinity,18
f8,2,46,-Infinity,18
c1,1,18,-Infinity,18
root,0,18,18,Infinity
g1,1,Infinity,18,Infinity
c1,2,-Infinity,18,Infinity
b2,3,-26,18,Infinity
c1,2,-26,18,Infinity
a4,3,54,18,Infinity
c1,2,54,54,Infinity
c4,3,28,54,Infinity
c1,2,54,54,Infinity
g4,3,45,54,Infinity
c1,2,54,54,Infinity
d5,3,54,54,Infinity
c1,2,54,54,Infinity
c6,3,47,54,Infinity
c1,2,54,54,Infinity
f6,3,69,54,Infinity
c1,2,69,69,Infinity
f7,3,8,69,Infinity
c1,2,69,69,Infinity
d8,3,54,69,Infinity
c1,2,69,69,Infinity
f8,3,42,69,Infinity
