XOOXOX*X
OOX*XXXX
O***OX*O
XO*XXOOX
*OXXO*XX
O*X**OO*
X*X**XOO
*X*XOO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
h1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
d2,3,314,-Infinity,Infinity
g1,2,314,314,Infinity
c3,3,260,314,Infinity
g1,2,314,314,Infinity
d3,3,313,314,Infinity
g1,2,314,314,Infinity
g3,3,291,314,Infinity
g1,2,314,314,Infinity
c4,3,299,314,Infinity
g1,2,314,314,Infinity
a5,3,317,314,Infinity
g1,2,317,317,Infinity
f5,3,327,317,Infinity
g1,2,327,327,Infinity
e6,3,305,327,Infinity
g1,2,327,327,Infinity
h6,3,293,327,Infinity
g1,2,327,327,Infinity
e7,3,312,327,Infinity
g1,2,327,327,Infinity
g8,3,265,327,Infinity
g1,2,327,327,Infinity
h1,1,327,-Infinity,327
d2,2,-Infinity,-Infinity,327
b3,3,300,-Infinity,327
d2,2,300,300,327
c3,3,271,300,327
d2,2,300,300,327
d3,3,318,300,327
d2,2,318,318,327
g3,3,302,318,327
d2,2,318,318,327
c4,3,310,318,327
d2,2,318,318,327
a5,3,328,318,327
d2,2,328,318,327
h1,1,327,-Infinity,327
c3,2,-Infinity,-Infinity,327
d2,3,315,-Infinity,327
c3,2,315,315,327
b3,3,290,315,327
c3,2,315,315,327
d3,3,314,315,327
c3,2,315,315,327
g3,3,292,315,327
c3,2,315,315,327
c4,3,300,315,327
c3,2,315,315,327
a5,3,318,315,327
c3,2,318,318,327
f5,3,328,318,327
c3,2,328,318,327
h1,1,327,-Infinity,327
d3,2,-Infinity,-Infinity,327
d2,3,326,-Infinity,327
d3,2,326,326,327
b3,3,293,326,327
d3,2,326,326,327
c3,3,280,326,327
d3,2,326,326,327
g3,3,295,326,327
d3,2,326,326,327
c4,3,311,326,327
d3,2,326,326,327
a5,3,321,326,327
d3,2,326,326,327
f5,3,331,326,327
d3,2,331,326,327
h1,1,327,-Infinity,327
g3,2,-Infinity,-Infinity,327
g1,3,291,-Infinity,327
g3,2,291,291,327
d2,3,312,291,327
g3,2,312,312,327
c3,3,258,312,327
g3,2,312,312,327
c4,3,297,312,327
g3,2,312,312,327
a5,3,315,312,327
g3,2,315,315,327
f5,3,331,315,327
g3,2,331,315,327
h1,1,327,-Infinity,327
c4,2,-Infinity,-Infinity,327
d2,3,310,-Infinity,327
c4,2,310,310,327
b3,3,301,310,327
c4,2,310,310,327
c3,3,230,310,327
c4,2,310,310,327
d3,3,309,310,327
c4,2,310,310,327
g3,3,287,310,327
c4,2,310,310,327
a5,3,313,310,327
c4,2,313,313,327
f5,3,323,313,327
c4,2,323,323,327
e6,3,309,323,327
c4,2,323,323,327
h6,3,289,323,327
c4,2,323,323,327
e7,3,308,323,327
c4,2,323,323,327
g8,3,261,323,327
c4,2,323,323,327
h1,1,323,-Infinity,323
a5,2,-Infinity,-Infinity,323
d2,3,296,-Infinity,323
a5,2,296,296,323
c3,3,242,296,323
a5,2,296,296,323
d3,3,295,296,323
a5,2,296,296,323
g3,3,273,296,323
a5,2,296,296,323
f5,3,309,296,323
a5,2,309,309,323
e6,3,287,309,323
a5,2,309,309,323
h6,3,275,309,323
a5,2,309,309,323
e7,3,294,309,323
a5,2,309,309,323
g8,3,247,309,323
a5,2,309,309,323
h1,1,309,-Infinity,309
b6,2,-Infinity,-Infinity,309
d2,3,310,-Infinity,309
b6,2,310,-Infinity,309
h1,1,309,-Infinity,309
d6,2,-Infinity,-Infinity,309
d2,3,302,-Infinity,309
d6,2,302,302,309
c3,3,248,302,309
d6,2,302,302,309
d3,3,301,302,309
d6,2,302,302,309
g3,3,295,302,309
d6,2,302,302,309
c4,3,295,302,309
d6,2,302,302,309
a5,3,313,302,309
d6,2,313,302,309
h1,1,309,-Infinity,309
h6,2,-Infinity,-Infinity,309
c3,3,234,-Infinity,309
h6,2,234,234,309
d3,3,287,234,309
h6,2,287,287,309
c4,3,273,287,309
h6,2,287,287,309
a5,3,291,287,309
h6,2,291,291,309
f5,3,301,291,309
h6,2,301,301,309
e6,3,279,301,309
h6,2,301,301,309
g8,3,295,301,309
h6,2,301,301,309
h1,1,301,-Infinity,301
d7,2,-Infinity,-Infinity,301
d2,3,303,-Infinity,301
d7,2,303,-Infinity,301
h1,1,301,-Infinity,301
e7,2,-Infinity,-Infinity,301
d2,3,325,-Infinity,301
e7,2,325,-Infinity,301
h1,1,301,-Infinity,301
a8,2,-Infinity,-Infinity,301
d2,3,231,-Infinity,301
a8,2,231,231,301
c3,3,177,231,301
a8,2,231,231,301
d3,3,230,231,301
a8,2,231,231,301
g3,3,208,231,301
a8,2,231,231,301
c4,3,216,231,301
a8,2,231,231,301
a5,3,218,231,301
a8,2,231,231,301
f5,3,244,231,301
a8,2,244,244,301
e6,3,222,244,301
a8,2,244,244,301
h6,3,210,244,301
a8,2,244,244,301
e7,3,229,244,301
a8,2,244,244,301
g8,3,182,244,301
a8,2,244,244,301
h1,1,244,-Infinity,244
c8,2,-Infinity,-Infinity,244
d2,3,294,-Infinity,244
c8,2,294,-Infinity,244
h1,1,244,-Infinity,244
root,0,244,244,Infinity
d2,1,Infinity,244,Infinity
g1,2,-Infinity,244,Infinity
h1,3,318,244,Infinity
g1,2,318,318,Infinity
c3,3,214,318,Infinity
g1,2,318,318,Infinity
g3,3,245,318,Infinity
g1,2,318,318,Infinity
c4,3,253,318,Infinity
g1,2,318,318,Infinity
a5,3,271,318,Infinity
g1,2,318,318,Infinity
f5,3,273,318,Infinity
g1,2,318,318,Infinity
d6,3,259,318,Infinity
g1,2,318,318,Infinity
e6,3,259,318,Infinity
g1,2,318,318,Infinity
h6,3,247,318,Infinity
g1,2,318,318,Infinity
e7,3,266,318,Infinity
g1,2,318,318,Infinity
g8,3,219,318,Infinity
g1,2,318,318,Infinity
d2,1,318,244,318
h1,2,-Infinity,244,318
c3,3,139,244,318
h1,2,139,244,318
g3,3,170,244,318
h1,2,170,244,318
c4,3,178,244,318
h1,2,178,244,318
a5,3,196,244,318
h1,2,196,244,318
f5,3,198,244,318
h1,2,198,244,318
d6,3,184,244,318
h1,2,198,244,318
e6,3,184,244,318
h1,2,198,244,318
h6,3,172,244,318
h1,2,198,244,318
e7,3,191,244,318
h1,2,198,244,318
g8,3,144,244,318
h1,2,198,244,318
d2,1,198,244,318
root,0,244,244,Infinity
c3,1,Infinity,244,Infinity
g1,2,-Infinity,244,Infinity
h1,3,272,244,Infinity
g1,2,272,272,Infinity
d2,3,222,272,Infinity
g1,2,272,272,Infinity
d3,3,221,272,Infinity
g1,2,272,272,Infinity
g3,3,199,272,Infinity
g1,2,272,272,Infinity
c4,3,207,272,Infinity
g1,2,272,272,Infinity
a5,3,219,272,Infinity
g1,2,272,272,Infinity
f5,3,235,272,Infinity
g1,2,272,272,Infinity
e6,3,213,272,Infinity
g1,2,272,272,Infinity
h6,3,201,272,Infinity
g1,2,272,272,Infinity
e7,3,220,272,Infinity
g1,2,272,272,Infinity
g8,3,173,272,Infinity
g1,2,272,272,Infinity
c3,1,272,244,272
h1,2,-Infinity,244,272
d2,3,139,244,272
h1,2,139,244,272
d3,3,138,244,272
h1,2,139,244,272
g3,3,116,244,272
h1,2,139,244,272
c4,3,124,244,272
h1,2,139,244,272
a5,3,136,244,272
h1,2,139,244,272
f5,3,152,244,272
h1,2,152,244,272
e6,3,130,244,272
h1,2,152,244,272
h6,3,118,244,272
h1,2,152,244,272
e7,3,137,244,272
h1,2,152,244,272
