*OXXOX*X
XX***OXO
XX*OOOOO
XXOOXXX*
*XX**XXX
X*OXXOXX
*XX*O***
OOOXX*XO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
e3,3,66,-Infinity,Infinity
a1,2,66,66,Infinity
h4,3,50,66,Infinity
a1,2,66,66,Infinity
e5,3,64,66,Infinity
a1,2,66,66,Infinity
b6,3,12,66,Infinity
a1,2,66,66,Infinity
d7,3,63,66,Infinity
a1,2,66,66,Infinity
g7,3,-44,66,Infinity
a1,2,66,66,Infinity
h7,3,48,66,Infinity
a1,2,66,66,Infinity
f8,3,72,66,Infinity
a1,2,72,72,Infinity
g1,1,72,-Infinity,72
c2,2,-Infinity,-Infinity,72
d2,3,140,-Infinity,72
c2,2,140,-Infinity,72
g1,1,72,-Infinity,72
e2,2,-Infinity,-Infinity,72
d2,3,77,-Infinity,72
e2,2,77,-Infinity,72
g1,1,72,-Infinity,72
c3,2,-Infinity,-Infinity,72
a1,3,189,-Infinity,72
c3,2,189,-Infinity,72
g1,1,72,-Infinity,72
e3,2,-Infinity,-Infinity,72
h4,3,129,-Infinity,72
e3,2,129,-Infinity,72
g1,1,72,-Infinity,72
h4,2,-Infinity,-Infinity,72
e5,3,141,-Infinity,72
h4,2,141,-Infinity,72
g1,1,72,-Infinity,72
d5,2,-Infinity,-Infinity,72
c3,3,146,-Infinity,72
d5,2,146,-Infinity,72
g1,1,72,-Infinity,72
b6,2,-Infinity,-Infinity,72
e3,3,139,-Infinity,72
b6,2,139,-Infinity,72
g1,1,72,-Infinity,72
d7,2,-Infinity,-Infinity,72
e3,3,138,-Infinity,72
d7,2,138,-Infinity,72
g1,1,72,-Infinity,72
f7,2,-Infinity,-Infinity,72
e3,3,139,-Infinity,72
f7,2,139,-Infinity,72
g1,1,72,-Infinity,72
f8,2,-Infinity,-Infinity,72
e3,3,147,-Infinity,72
