*O*OXX*X
*XXOX*X*
X*XOXOOO
OXOOOOXX
**OOOOXO
X*O*XXXO
XOOOXX*X
OOOO*O*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
g1,3,-183,-Infinity,Infinity
a1,2,-183,-183,Infinity
a2,3,-167,-183,Infinity
a1,2,-167,-167,Infinity
f2,3,-137,-167,Infinity
a1,2,-137,-137,Infinity
d4,3,-119,-137,Infinity
a1,2,-119,-119,Infinity
a5,3,-127,-119,Infinity
a1,2,-119,-119,Infinity
d6,3,-115,-119,Infinity
a1,2,-115,-115,Infinity
g7,3,-171,-115,Infinity
a1,2,-115,-115,Infinity
e8,3,-135,-115,Infinity
a1,2,-115,-115,Infinity
g8,3,-135,-115,Infinity
a1,2,-115,-115,Infinity
c1,1,-115,-Infinity,-115
f2,2,-Infinity,-Infinity,-115
a1,3,17,-Infinity,-115
f2,2,17,-Infinity,-115
c1,1,-115,-Infinity,-115
h2,2,-Infinity,-Infinity,-115
a1,3,27,-Infinity,-115
h2,2,27,-Infinity,-115
c1,1,-115,-Infinity,-115
b3,2,-Infinity,-Infinity,-115
g1,3,-62,-Infinity,-115
b3,2,-62,-Infinity,-115
c1,1,-115,-Infinity,-115
d4,2,-Infinity,-Infinity,-115
g1,3,-74,-Infinity,-115
d4,2,-74,-Infinity,-115
c1,1,-115,-Infinity,-115
a5,2,-Infinity,-Infinity,-115
a1,3,17,-Infinity,-115
a5,2,17,-Infinity,-115
c1,1,-115,-Infinity,-115
b5,2,-Infinity,-Infinity,-115
a1,3,14,-Infinity,-115
b5,2,14,-Infinity,-115
c1,1,-115,-Infinity,-115
d6,2,-Infinity,-Infinity,-115
a1,3,23,-Infinity,-115
d6,2,23,-Infinity,-115
c1,1,-115,-Infinity,-115
root,0,-115,-115,Infinity
g1,1,Infinity,-115,Infinity
c1,2,-Infinity,-115,Infinity
a2,3,-84,-115,Infinity
c1,2,-84,-84,Infinity
b3,3,-114,-84,Infinity
c1,2,-84,-84,Infinity
a5,3,-86,-84,Infinity
c1,2,-84,-84,Infinity
d6,3,-80,-84,Infinity
c1,2,-80,-80,Infinity
g7,3,-136,-80,Infinity
c1,2,-80,-80,Infinity
e8,3,-100,-80,Infinity
c1,2,-80,-80,Infinity
g8,3,-100,-80,Infinity
c1,2,-80,-80,Infinity
g1,1,-80,-115,-80
f2,2,-Infinity,-115,-80
c1,3,-60,-115,-80
f2,2,-60,-115,-80
g1,1,-80,-115,-80
h2,2,-Infinity,-115,-80
c1,3,-52,-115,-80
h2,2,-52,-115,-80
g1,1,-80,-115,-80
b3,2,-Infinity,-115,-80
c1,3,-40,-115,-80
b3,2,-40,-115,-80
g1,1,-80,-115,-80
d4,2,-Infinity,-115,-80
c1,3,-50,-115,-80
d4,2,-50,-115,-80
g1,1,-80,-115,-80
a5,2,-Infinity,-115,-80
c1,3,-62,-115,-80
a5,2,-62,-115,-80
g1,1,-80,-115,-80
b5,2,-Infinity,-115,-80
c1,3,-49,-115,-80
b5,2,-49,-115,-80
g1,1,-80,-115,-80
d6,2,-Infinity,-115,-80
c1,3,-56,-115,-80
d6,2,-56,-115,-80
g1,1,-80,-115,-80
root,0,-80,-80,Infinity
a2,1,Infinity,-80,Infinity
c1,2,-Infinity,-80,Infinity
g1,3,-44,-80,Infinity
c1,2,-44,-44,Infinity
f2,3,-116,-44,Infinity
c1,2,-44,-44,Infinity
b3,3,-66,-44,Infinity
c1,2,-44,-44,Infinity
a5,3,-38,-44,Infinity
c1,2,-38,-38,Infinity
d6,3,-32,-38,Infinity
c1,2,-32,-32,Infinity
g7,3,-88,-32,Infinity
c1,2,-32,-32,Infinity
e8,3,-52,-32,Infinity
c1,2,-32,-32,Infinity
g8,3,-52,-32,Infinity
c1,2,-32,-32,Infinity
a2,1,-32,-80,-32
f2,2,-Infinity,-80,-32
c1,3,-72,-80,-32
f2,2,-72,-72,-32
g1,3,-22,-72,-32
f2,2,-22,-72,-32
a2,1,-32,-80,-32
h2,2,-Infinity,-80,-32
c1,3,-64,-80,-32
h2,2,-64,-64,-32
g1,3,-60,-64,-32
h2,2,-60,-60,-32
f2,3,-104,-60,-32
h2,2,-60,-60,-32
b3,3,-62,-60,-32
h2,2,-60,-60,-32
d4,3,-30,-60,-32
h2,2,-30,-60,-32
a2,1,-32,-80,-32
b3,2,-Infinity,-80,-32
c1,3,-52,-80,-32
b3,2,-52,-52,-32
g1,3,-56,-52,-32
b3,2,-52,-52,-32
f2,3,-100,-52,-32
b3,2,-52,-52,-32
d4,3,-24,-52,-32
b3,2,-24,-52,-32
a2,1,-32,-80,-32
d4,2,-Infinity,-80,-32
c1,3,-62,-80,-32
d4,2,-62,-62,-32
g1,3,-68,-62,-32
d4,2,-62,-62,-32
f2,3,-104,-62,-32
d4,2,-62,-62,-32
b3,3,-62,-62,-32
d4,2,-62,-62,-32
a5,3,-34,-62,-32
d4,2,-34,-34,-32
d6,3,-20,-34,-32
d4,2,-20,-34,-32
a2,1,-32,-80,-32
b5,2,-Infinity,-80,-32
c1,3,-61,-80,-32
b5,2,-61,-61,-32
g1,3,-73,-61,-32
b5,2,-61,-61,-32
f2,3,-117,-61,-32
b5,2,-61,-61,-32
b3,3,-75,-61,-32
b5,2,-61,-61,-32
d4,3,-41,-61,-32
b5,2,-41,-41,-32
a5,3,-35,-41,-32
b5,2,-35,-35,-32
d6,3,-31,-35,-32
b5,2,-31,-35,-32
a2,1,-32,-80,-32
d6,2,-Infinity,-80,-32
c1,3,-68,-80,-32
d6,2,-68,-68,-32
g1,3,-64,-68,-32
d6,2,-64,-64,-32
f2,3,-108,-64,-32
d6,2,-64,-64,-32
b3,3,-66,-64,-32
d6,2,-64,-64,-32
d4,3,-34,-64,-32
d6,2,-34,-34,-32
