X*XXXOXX
XX*OX*X*
XX*XO*X*
*OOXOOXX
**OXO***
X**O*XO*
*OX**OOX
XXXO**OO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
c2,3,163,-Infinity,Infinity
b1,2,163,163,Infinity
f2,3,225,163,Infinity
b1,2,225,225,Infinity
c3,3,172,225,Infinity
b1,2,225,225,Infinity
f3,3,236,225,Infinity
b1,2,236,236,Infinity
a4,3,229,236,Infinity
b1,2,236,236,Infinity
b5,3,234,236,Infinity
b1,2,236,236,Infinity
f5,3,217,236,Infinity
b1,2,236,236,Infinity
b6,3,177,236,Infinity
b1,2,236,236,Infinity
c6,3,180,236,Infinity
b1,2,236,236,Infinity
e6,3,233,236,Infinity
b1,2,236,236,Infinity
h6,3,221,236,Infinity
b1,2,236,236,Infinity
a7,3,165,236,Infinity
b1,2,236,236,Infinity
d7,3,226,236,Infinity
b1,2,236,236,Infinity
e7,3,172,236,Infinity
b1,2,236,236,Infinity
e8,3,239,236,Infinity
b1,2,239,239,Infinity
f8,3,221,239,Infinity
b1,2,239,239,Infinity
a1,1,239,-Infinity,239
c2,2,-Infinity,-Infinity,239
f2,3,197,-Infinity,239
c2,2,197,197,239
c3,3,186,197,239
c2,2,197,197,239
f3,3,200,197,239
c2,2,200,200,239
a4,3,201,200,239
c2,2,201,201,239
b5,3,208,201,239
c2,2,208,208,239
f5,3,189,208,239
c2,2,208,208,239
g5,3,200,208,239
c2,2,208,208,239
b6,3,149,208,239
c2,2,208,208,239
c6,3,152,208,239
c2,2,208,208,239
e6,3,205,208,239
c2,2,208,208,239
h6,3,193,208,239
c2,2,208,208,239
a7,3,137,208,239
c2,2,208,208,239
d7,3,198,208,239
c2,2,208,208,239
e7,3,144,208,239
c2,2,208,208,239
e8,3,211,208,239
c2,2,211,211,239
f8,3,193,211,239
c2,2,211,211,239
a1,1,211,-Infinity,211
f2,2,-Infinity,-Infinity,211
c2,3,183,-Infinity,211
f2,2,183,183,211
c3,3,208,183,211
f2,2,208,208,211
f3,3,216,208,211
f2,2,216,208,211
a1,1,211,-Infinity,211
h2,2,-Infinity,-Infinity,211
c2,3,203,-Infinity,211
h2,2,203,203,211
f2,3,209,203,211
h2,2,209,209,211
c3,3,214,209,211
h2,2,214,209,211
a1,1,211,-Infinity,211
c3,2,-Infinity,-Infinity,211
c2,3,172,-Infinity,211
c3,2,172,172,211
f3,3,219,172,211
c3,2,219,172,211
a1,1,211,-Infinity,211
h3,2,-Infinity,-Infinity,211
c2,3,227,-Infinity,211
h3,2,227,-Infinity,211
a1,1,211,-Infinity,211
f5,2,-Infinity,-Infinity,211
c2,3,169,-Infinity,211
f5,2,169,169,211
f2,3,183,169,211
f5,2,183,183,211
c3,3,180,183,211
f5,2,183,183,211
f3,3,194,183,211
f5,2,194,194,211
a4,3,187,194,211
f5,2,194,194,211
b5,3,186,194,211
f5,2,194,194,211
g5,3,194,194,211
f5,2,194,194,211
b6,3,135,194,211
f5,2,194,194,211
c6,3,138,194,211
f5,2,194,194,211
e6,3,199,194,211
f5,2,199,199,211
a7,3,123,199,211
f5,2,199,199,211
d7,3,184,199,211
f5,2,199,199,211
e7,3,130,199,211
f5,2,199,199,211
e8,3,197,199,211
f5,2,199,199,211
a1,1,199,-Infinity,199
b6,2,-Infinity,-Infinity,199
c2,3,199,-Infinity,199
b6,2,199,-Infinity,199
a1,1,199,-Infinity,199
c6,2,-Infinity,-Infinity,199
c2,3,180,-Infinity,199
c6,2,180,180,199
f2,3,194,180,199
c6,2,194,194,199
c3,3,221,194,199
c6,2,221,194,199
a1,1,199,-Infinity,199
e6,2,-Infinity,-Infinity,199
c2,3,169,-Infinity,199
e6,2,169,169,199
f2,3,183,169,199
e6,2,183,183,199
c3,3,180,183,199
e6,2,183,183,199
f3,3,194,183,199
e6,2,194,194,199
a4,3,187,194,199
e6,2,194,194,199
b5,3,178,194,199
e6,2,194,194,199
f5,3,175,194,199
e6,2,194,194,199
g5,3,186,194,199
e6,2,194,194,199
b6,3,135,194,199
e6,2,194,194,199
c6,3,138,194,199
e6,2,194,194,199
a7,3,123,194,199
e6,2,194,194,199
d7,3,184,194,199
e6,2,194,194,199
e7,3,146,194,199
e6,2,194,194,199
e8,3,197,194,199
e6,2,197,197,199
a1,1,197,-Infinity,197
h6,2,-Infinity,-Infinity,197
c2,3,195,-Infinity,197
h6,2,195,195,197
f2,3,209,195,197
h6,2,209,195,197
a1,1,197,-Infinity,197
d7,2,-Infinity,-Infinity,197
c2,3,198,-Infinity,197
d7,2,198,-Infinity,197
a1,1,197,-Infinity,197
root,0,197,197,Infinity
c2,1,Infinity,197,Infinity
b1,2,-Infinity,197,Infinity
a1,3,251,197,Infinity
b1,2,251,251,Infinity
f2,3,132,251,Infinity
b1,2,251,251,Infinity
c3,3,127,251,Infinity
b1,2,251,251,Infinity
f3,3,135,251,Infinity
b1,2,251,251,Infinity
a4,3,136,251,Infinity
b1,2,251,251,Infinity
b5,3,149,251,Infinity
b1,2,251,251,Infinity
f5,3,124,251,Infinity
b1,2,251,251,Infinity
g5,3,141,251,Infinity
b1,2,251,251,Infinity
b6,3,84,251,Infinity
b1,2,251,251,Infinity
c6,3,87,251,Infinity
b1,2,251,251,Infinity
e6,3,140,251,Infinity
b1,2,251,251,Infinity
h6,3,128,251,Infinity
b1,2,251,251,Infinity
a7,3,72,251,Infinity
b1,2,251,251,Infinity
d7,3,133,251,Infinity
b1,2,251,251,Infinity
e7,3,79,251,Infinity
b1,2,251,251,Infinity
e8,3,146,251,Infinity
b1,2,251,251,Infinity
f8,3,128,251,Infinity
b1,2,251,251,Infinity
c2,1,251,197,251
f2,2,-Infinity,197,251
a1,3,259,197,251
f2,2,259,197,251
c2,1,251,197,251
h2,2,-Infinity,197,251
a1,3,203,197,251
h2,2,203,203,251
f2,3,116,203,251
h2,2,203,203,251
f3,3,135,203,251
h2,2,203,203,251
h3,3,112,203,251
h2,2,203,203,251
a4,3,128,203,251
h2,2,203,203,251
b5,3,127,203,251
h2,2,203,203,251
f5,3,116,203,251
h2,2,203,203,251
g5,3,133,203,251
h2,2,203,203,251
b6,3,76,203,251
h2,2,203,203,251
c6,3,79,203,251
h2,2,203,203,251
e6,3,132,203,251
h2,2,203,203,251
h6,3,120,203,251
h2,2,203,203,251
a7,3,64,203,251
h2,2,203,203,251
d7,3,125,203,251
h2,2,203,203,251
e7,3,71,203,251
h2,2,203,203,251
e8,3,138,203,251
h2,2,203,203,251
f8,3,120,203,251
h2,2,203,203,251
c2,1,203,197,203
